method,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28
categorical,0.7187076670888153,0.7187288961250002,0.7252313699509958,0.4803481342357591,0.7949670962628057,0.8104945617915569
compare_sdv_categorical,0.7184464297183154,0.718724086,0.7182413689267395,0.4805055294556291,0.7990654773892916,0.8168666543037244
compare_sdv_gaussian,0.6298398821077321,0.6410265615489957,0.6366511029849886,0.3651602464704934,0.4018261464037401,0.4015969845857017
compare_sdv_pca_gmm,0.7335438573780975,0.7385048971654855,0.7373800995114624,0.4977414989490513,0.799049102,0.7768115553102355
compare_sdv_rf,0.7687176324771305,0.7743844958620149,0.7742031118438276,0.6304821161853542,0.8750969956702879,0.8749029796028042
compare_sdv_tvae_categoricalNB,0.713755799,0.7139286074592206,0.7138453212749053,0.4906651132544689,0.8129681964715146,0.8322378836697109
compare_sdv_tvae_gaussianNB,0.6342046824960796,0.6395166837847434,0.6335335057306133,0.379948622,0.4038516591998338,0.4407853126919483
compare_sdv_tvae_pca_gmm,0.7291849478767339,0.726899842,0.722083823,0.4345079476952128,0.8134890539953397,0.831846886
compare_sdv_tvae_rf,0.7711347277895999,0.776525897,0.7767563368081146,0.5519491857160768,0.9330500265880256,0.9481754792743964
compare_sdv_tvae_xgb,0.7737227777157561,0.7730231223616542,0.7739655755547414,0.6331176053371088,0.9449140713758448,0.9610001411003516
compare_sdv_xgb,0.7692390179912588,0.7734106448478515,0.772598978,0.6037591743818826,0.8770008373139151,0.8707822087272559
ctgan,0.7761298938352998,0.7733715607676727,0.7735016414682718,0.4835195285184258,0.4815952377192015,0.4453581081026362
gaussian,0.5886325070164034,0.6541053797622616,0.6496346771318513,0.3601275943805416,0.3236030574819976,0.4865010567349731
none,0.7968830642878052,0.7978481474767674,0.7969395105715615,0.9087902643511816,0.9598955126444318,0.9791516826589722
pca_gmm,0.7557740442737708,0.7542975510755553,0.7584297149447787,0.4792203624228391,0.787593435,0.7985447929975746
rf,0.7760147845942743,0.7771708615522934,0.7766772835932956,0.6527164450673965,0.8837177043389772,0.8675718944451896
sdv_tvae_categorical,0.7128105876738027,0.7125060206784795,0.7128143277877794,0.4906254341566285,0.8166074611458665,0.8309354815861824
sdv_tvae_gaussian,0.6277281804323811,0.6463865557353358,0.6424063862056548,0.3856187786438099,0.4049447098298322,0.4492458899687309
sdv_tvae_pca_gmm,0.7292292660974358,0.7283813892193907,0.7267711094421043,0.4589683885829355,0.8157239140622128,0.8326137357706891
sdv_tvae_rf,0.7719946249589884,0.7839526068765121,0.7750975232635555,0.5633304213580282,0.9314213700128904,0.9477908484801294
sdv_tvae_xgb,0.7675032857546704,0.7767275563103134,0.776773004,0.5855505973885963,0.9403850928842428,0.9616767058547572
tvae,0.7503944115852196,0.7383791024283467,0.7496643680503863,0.2972320714416863,0.9248462943223508,0.935625921
xgb,0.7724283097243554,0.7739578363107567,0.779581555,0.646754193,0.8807323097061156,0.8801609984967349
