source,source_row,source_col,method,metric,train,dataset,value
Mar23.csv,5,2,categorical,test_f1_macro_end,mix,Adult_mix,0.7347982198431702
Mar23.csv,5,6,categorical,test_f1_macro_end,synthetic,Adult,0.7187076670888153
Mar23.csv,5,7,categorical,test_f1_macro_end,synthetic,Census,0.7165263753134499
Mar23.csv,5,8,categorical,test_f1_macro_end,synthetic,Covertype,0.4801810746254698
Mar23.csv,5,9,categorical,test_f1_macro_end,synthetic,MNIST12,0.791463152
Mar23.csv,5,10,categorical,test_f1_macro_end,synthetic,MNIST28,0.8051613021162994
Mar23.csv,5,11,categorical,test_f1_macro_max,mix,Adult_mix,0.7433453135316489
Mar23.csv,5,15,categorical,test_f1_macro_max,synthetic,Adult,0.7187076670888153
Mar23.csv,5,16,categorical,test_f1_macro_max,synthetic,Census,0.7187288961250002
Mar23.csv,5,17,categorical,test_f1_macro_max,synthetic,Covertype,0.4803481342357591
Mar23.csv,5,18,categorical,test_f1_macro_max,synthetic,MNIST12,0.7949670962628057
Mar23.csv,5,19,categorical,test_f1_macro_max,synthetic,MNIST28,0.8104945617915569
Mar23.csv,5,20,categorical,test_f1_micro_end,mix,Adult_mix,0.7793407516271258
Mar23.csv,5,24,categorical,test_f1_micro_end,synthetic,Adult,0.7630694940163762
Mar23.csv,5,25,categorical,test_f1_micro_end,synthetic,Census,0.7595003149275666
Mar23.csv,5,26,categorical,test_f1_micro_end,synthetic,Covertype,0.6309647771572162
Mar23.csv,5,27,categorical,test_f1_micro_end,synthetic,MNIST12,0.7922
Mar23.csv,5,28,categorical,test_f1_micro_end,synthetic,MNIST28,0.8084
Mar23.csv,5,29,categorical,test_f1_micro_max,mix,Adult_mix,0.791727903
Mar23.csv,5,33,categorical,test_f1_micro_max,synthetic,Adult,0.7634893974385891
Mar23.csv,5,34,categorical,test_f1_micro_max,synthetic,Census,0.7644341801385681
Mar23.csv,5,35,categorical,test_f1_micro_max,synthetic,Covertype,0.6312401573109128
Mar23.csv,5,36,categorical,test_f1_micro_max,synthetic,MNIST12,0.7957
Mar23.csv,5,37,categorical,test_f1_micro_max,synthetic,MNIST28,0.8136
Mar23.csv,6,6,compare_sdv_categorical,test_f1_macro_end,synthetic,Adult,0.7170661259844104
Mar23.csv,6,7,compare_sdv_categorical,test_f1_macro_end,synthetic,Census,0.7170731252988158
Mar23.csv,6,8,compare_sdv_categorical,test_f1_macro_end,synthetic,Covertype,0.4798331316582189
Mar23.csv,6,9,compare_sdv_categorical,test_f1_macro_end,synthetic,MNIST12,0.7961158189656352
Mar23.csv,6,10,compare_sdv_categorical,test_f1_macro_end,synthetic,MNIST28,0.8069919844070228
Mar23.csv,6,15,compare_sdv_categorical,test_f1_macro_max,synthetic,Adult,0.7184464297183154
Mar23.csv,6,16,compare_sdv_categorical,test_f1_macro_max,synthetic,Census,0.718724086
Mar23.csv,6,17,compare_sdv_categorical,test_f1_macro_max,synthetic,Covertype,0.4805055294556291
Mar23.csv,6,18,compare_sdv_categorical,test_f1_macro_max,synthetic,MNIST12,0.7990654773892916
Mar23.csv,6,19,compare_sdv_categorical,test_f1_macro_max,synthetic,MNIST28,0.8168666543037244
Mar23.csv,6,24,compare_sdv_categorical,test_f1_micro_end,synthetic,Adult,0.7608650010497585
Mar23.csv,6,25,compare_sdv_categorical,test_f1_micro_end,synthetic,Census,0.7589754356498005
Mar23.csv,6,26,compare_sdv_categorical,test_f1_micro_end,synthetic,Covertype,0.6312229460513068
Mar23.csv,6,27,compare_sdv_categorical,test_f1_micro_end,synthetic,MNIST12,0.8007
Mar23.csv,6,28,compare_sdv_categorical,test_f1_micro_end,synthetic,MNIST28,0.8084
Mar23.csv,6,33,compare_sdv_categorical,test_f1_micro_max,synthetic,Adult,0.7624396388830569
Mar23.csv,6,34,compare_sdv_categorical,test_f1_micro_max,synthetic,Census,0.7606550493386521
Mar23.csv,6,35,compare_sdv_categorical,test_f1_micro_max,synthetic,Covertype,0.6316876500606697
Mar23.csv,6,36,compare_sdv_categorical,test_f1_micro_max,synthetic,MNIST12,0.8034
Mar23.csv,6,37,compare_sdv_categorical,test_f1_micro_max,synthetic,MNIST28,0.8183
Mar23.csv,7,6,compare_sdv_gaussian,test_f1_macro_end,synthetic,Adult,0.5979305848299343
Mar23.csv,7,7,compare_sdv_gaussian,test_f1_macro_end,synthetic,Census,0.599631069
Mar23.csv,7,8,compare_sdv_gaussian,test_f1_macro_end,synthetic,Covertype,0.3609857698298801
Mar23.csv,7,9,compare_sdv_gaussian,test_f1_macro_end,synthetic,MNIST12,0.3978987848435641
Mar23.csv,7,10,compare_sdv_gaussian,test_f1_macro_end,synthetic,MNIST28,0.3638834597293214
Mar23.csv,7,15,compare_sdv_gaussian,test_f1_macro_max,synthetic,Adult,0.6298398821077321
Mar23.csv,7,16,compare_sdv_gaussian,test_f1_macro_max,synthetic,Census,0.6410265615489957
Mar23.csv,7,17,compare_sdv_gaussian,test_f1_macro_max,synthetic,Covertype,0.3651602464704934
Mar23.csv,7,18,compare_sdv_gaussian,test_f1_macro_max,synthetic,MNIST12,0.4018261464037401
Mar23.csv,7,19,compare_sdv_gaussian,test_f1_macro_max,synthetic,MNIST28,0.4015969845857017
Mar23.csv,7,24,compare_sdv_gaussian,test_f1_micro_end,synthetic,Adult,0.7855343271047659
Mar23.csv,7,25,compare_sdv_gaussian,test_f1_micro_end,synthetic,Census,0.7862691580936385
Mar23.csv,7,26,compare_sdv_gaussian,test_f1_micro_end,synthetic,Covertype,0.4508231284906586
Mar23.csv,7,27,compare_sdv_gaussian,test_f1_micro_end,synthetic,MNIST12,0.4826
Mar23.csv,7,28,compare_sdv_gaussian,test_f1_micro_end,synthetic,MNIST28,0.3788
Mar23.csv,7,33,compare_sdv_gaussian,test_f1_micro_max,synthetic,Adult,0.7964518160823011
Mar23.csv,7,34,compare_sdv_gaussian,test_f1_micro_max,synthetic,Census,0.8003359227377703
Mar23.csv,7,35,compare_sdv_gaussian,test_f1_micro_max,synthetic,Covertype,0.4531380429076702
Mar23.csv,7,36,compare_sdv_gaussian,test_f1_micro_max,synthetic,MNIST12,0.4868
Mar23.csv,7,37,compare_sdv_gaussian,test_f1_micro_max,synthetic,MNIST28,0.4051
Mar23.csv,8,6,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Adult,0.7172054947855945
Mar23.csv,8,7,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Census,0.7279380377241917
Mar23.csv,8,8,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Covertype,0.4855231191601863
Mar23.csv,8,9,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,MNIST12,0.7946713220102058
Mar23.csv,8,10,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,MNIST28,0.76696388
Mar23.csv,8,15,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Adult,0.7335438573780975
Mar23.csv,8,16,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Census,0.7385048971654855
Mar23.csv,8,17,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Covertype,0.4977414989490513
Mar23.csv,8,18,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,MNIST12,0.799049102
Mar23.csv,8,19,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,MNIST28,0.7768115553102355
Mar23.csv,8,24,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Adult,0.746903212
Mar23.csv,8,25,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Census,0.7608650010497585
Mar23.csv,8,26,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Covertype,0.6879770746022048
Mar23.csv,8,27,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,MNIST12,0.7994
Mar23.csv,8,28,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,MNIST28,0.7685
Mar23.csv,8,33,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Adult,0.7672685282385051
Mar23.csv,8,34,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Census,0.774721814
Mar23.csv,8,35,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Covertype,0.6941042830219529
Mar23.csv,8,36,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,MNIST12,0.8035
Mar23.csv,8,37,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,MNIST28,0.7781
Mar23.csv,9,6,compare_sdv_rf,test_f1_macro_end,synthetic,Adult,0.7424405782154562
Mar23.csv,9,7,compare_sdv_rf,test_f1_macro_end,synthetic,Census,0.7482532033108433
Mar23.csv,9,8,compare_sdv_rf,test_f1_macro_end,synthetic,Covertype,0.6303536041873461
Mar23.csv,9,9,compare_sdv_rf,test_f1_macro_end,synthetic,MNIST12,0.873409404
Mar23.csv,9,10,compare_sdv_rf,test_f1_macro_end,synthetic,MNIST28,0.8711462608676582
