   Var1 Var2        Var3 Freq
1     0    0       ctgan    0
2     1    0       ctgan    4
3     0    1       ctgan    0
4     1    1       ctgan    0
5     0    0        tvae    0
6     1    0        tvae    0
7     0    1        tvae    0
8     1    1        tvae    4
9     0    0 categorical    4
10    1    0 categorical    4
11    0    1 categorical    4
12    1    1 categorical    4
13    0    0     pca_gmm    4
14    1    0     pca_gmm    4
15    0    1     pca_gmm    4
16    1    1     pca_gmm    4
17    0    0          rf    4
18    1    0          rf    4
19    0    1          rf    4
20    1    1          rf    4
21    0    0         xgb    4
22    1    0         xgb    4
23    0    1         xgb    4
24    1    1         xgb    4
