"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"has_y",1,0.0118488412261478,0.0118488412261478,NA,NA
"tvae",1,0.0189921124045676,0.0189921124045676,NA,NA
"dataset",3,1.20943564262003,0.403145214206676,NA,NA
"y_synth",5,0.280920789734971,0.0561841579469941,NA,NA
"has_y:tvae",1,0.000155231398117722,0.000155231398117722,NA,NA
"has_y:dataset",3,0.00352267163245494,0.00117422387748498,NA,NA
"tvae:dataset",3,0.0733033646028584,0.0244344548676195,NA,NA
"has_y:y_synth",3,0.000104909392456719,3.4969797485573e-05,NA,NA
"tvae:y_synth",3,0.00225562231994264,0.000751874106647545,NA,NA
"dataset:y_synth",15,0.170567799512505,0.011371186634167,NA,NA
"has_y:tvae:dataset",3,0.000121623406306684,4.05411354355614e-05,NA,NA
"has_y:tvae:y_synth",3,0.000657036341142426,0.000219012113714142,NA,NA
"has_y:dataset:y_synth",9,0.000375852067798742,4.17613408665269e-05,NA,NA
"tvae:dataset:y_synth",9,0.00731793621545832,0.000813104023939813,NA,NA
"has_y:tvae:dataset:y_synth",9,0.00194501293076992,0.000216112547863324,NA,NA
"Residuals",0,0,NA,NA,NA
