"dataset","tvae","y_synth","macro_max.0","macro_max.1","gain_with_y"
"Adult",0,"categorical",0.720889311054937,0.718470628215018,-0.00241868283991886
"Covertype",0,"categorical",0.480348134235759,0.480505529455629,0.00015739521986996
"MNIST12",0,"categorical",0.794967096262806,0.799065477389292,0.00409838112648586
"MNIST28",0,"categorical",0.810494561791557,0.816866654303724,0.00637209251216753
"Adult",1,"categorical",0.712710312046687,0.713843242578042,0.00113293053135477
"Covertype",1,"categorical",0.490625434156629,0.490665113254469,3.96790978403616e-05
"MNIST12",1,"categorical",0.816607461145866,0.812968196471515,-0.00363926467435183
"MNIST28",1,"categorical",0.830935481586182,0.832237883669711,0.0013024020835285
"Adult",0,"gauss",0.630790854636839,0.635839182213905,0.00504832757706675
"Covertype",0,"gauss",0.360127594380542,0.365160246470493,0.00503265208995179
"MNIST12",0,"gauss",0.323603057481998,0.40182614640374,0.0782230889217425
"MNIST28",0,"gauss",0.486501056734973,0.401596984585702,-0.0849040721492714
"Adult",1,"gauss",0.638840374124457,0.635751624003812,-0.00308875012064513
"Covertype",1,"gauss",0.38561877864381,0.379948622,-0.00567015664380988
"MNIST12",1,"gauss",0.404944709829832,0.403851659199834,-0.00109305062999843
"MNIST28",1,"gauss",0.449245889968731,0.440785312691948,-0.00846057727678257
"Adult",0,"pca_gmm",0.756167103431368,0.736476284685015,-0.0196908187463531
"Covertype",0,"pca_gmm",0.479220362422839,0.497741498949051,0.0185211365262122
"MNIST12",0,"pca_gmm",0.787593435,0.799049102,0.011455667
"MNIST28",0,"pca_gmm",0.798544792997575,0.776811555310235,-0.0217332376873391
"Adult",1,"pca_gmm",0.728127254919644,0.726056204292245,-0.00207105062739898
"Covertype",1,"pca_gmm",0.458968388582935,0.434507947695213,-0.0244604408877227
"MNIST12",1,"pca_gmm",0.815723914062213,0.81348905399534,-0.00223486006687312
"MNIST28",1,"pca_gmm",0.832613735770689,0.831846886,-0.000766849770689082
"Adult",0,"rf",0.776620976579954,0.772435080060991,-0.00418589651896339
"Covertype",0,"rf",0.652716445067396,0.630482116185354,-0.0222343288820422
"MNIST12",0,"rf",0.883717704338977,0.875096995670288,-0.00862070866868936
"MNIST28",0,"rf",0.86757189444519,0.874902979602804,0.0073310851576146
"Adult",1,"rf",0.777014918366352,0.774805653865905,-0.00220926450044723
"Covertype",1,"rf",0.563330421358028,0.551949185716077,-0.0113812356419515
"MNIST12",1,"rf",0.93142137001289,0.933050026588026,0.00162865657513522
"MNIST28",1,"rf",0.947790848480129,0.948175479274396,0.000384630794266982
"Adult",0,"xgb",0.775322567011704,0.77174954694637,-0.00357302006533389
"Covertype",0,"xgb",0.646754193,0.603759174381883,-0.0429950186181174
"MNIST12",0,"xgb",0.880732309706116,0.877000837313915,-0.00373147239220051
"MNIST28",0,"xgb",0.880160998496735,0.870782208727256,-0.00937878976947903
"Adult",1,"xgb",0.773667948688328,0.773570491877384,-9.74568109440854e-05
"Covertype",1,"xgb",0.585550597388596,0.633117605337109,0.0475670079485125
"MNIST12",1,"xgb",0.940385092884243,0.944914071375845,0.00452897849160205
"MNIST28",1,"xgb",0.961676705854757,0.961000141100352,-0.000676564754405584
