"dataset","method","has_y","tvae","approach","y_synth","macro_max","macro_end","configuration","substituted"
"Adult","categorical",0,0,"new","categorical",0.720889311054937,0.718510577554964,"CTGAN / categorical / without y",FALSE
"Covertype","categorical",0,0,"new","categorical",0.480348134235759,0.48018107462547,"CTGAN / categorical / without y",FALSE
"MNIST12","categorical",0,0,"new","categorical",0.794967096262806,0.791463152,"CTGAN / categorical / without y",FALSE
"MNIST28","categorical",0,0,"new","categorical",0.810494561791557,0.805161302116299,"CTGAN / categorical / without y",FALSE
"Adult","compare_sdv_categorical",1,0,"new","categorical",0.718470628215018,0.717138671422937,"CTGAN / categorical / with y",FALSE
"Covertype","compare_sdv_categorical",1,0,"new","categorical",0.480505529455629,0.479833131658219,"CTGAN / categorical / with y",FALSE
"MNIST12","compare_sdv_categorical",1,0,"new","categorical",0.799065477389292,0.796115818965635,"CTGAN / categorical / with y",FALSE
"MNIST28","compare_sdv_categorical",1,0,"new","categorical",0.816866654303724,0.806991984407023,"CTGAN / categorical / with y",FALSE
"Adult","sdv_tvae_categorical",0,1,"new","categorical",0.712710312046687,0.711293672908023,"TVAE / categorical / without y",FALSE
"Covertype","sdv_tvae_categorical",0,1,"new","categorical",0.490625434156629,0.487556135,"TVAE / categorical / without y",FALSE
"MNIST12","sdv_tvae_categorical",0,1,"new","categorical",0.816607461145866,0.814009528273677,"TVAE / categorical / without y",FALSE
"MNIST28","sdv_tvae_categorical",0,1,"new","categorical",0.830935481586182,0.828504185,"TVAE / categorical / without y",FALSE
"Adult","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.713843242578042,0.712568275101917,"TVAE / categorical / with y",FALSE
"Covertype","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.490665113254469,0.490489877,"TVAE / categorical / with y",FALSE
"MNIST12","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.812968196471515,0.809303102656574,"TVAE / categorical / with y",FALSE
"MNIST28","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.832237883669711,0.82856272009548,"TVAE / categorical / with y",FALSE
"Adult","ctgan",1,0,"old","ctgan",0.774334365357081,0.76652670227745,"CTGAN / ctgan / with y",FALSE
"Covertype","ctgan",1,0,"old","ctgan",0.483519528518426,0.474843098747026,"CTGAN / ctgan / with y",FALSE
"MNIST12","ctgan",1,0,"old","ctgan",0.481595237719201,0.470391688519029,"CTGAN / ctgan / with y",FALSE
"MNIST28","ctgan",1,0,"old","ctgan",0.445358108102636,0.391620406619296,"CTGAN / ctgan / with y",FALSE
"Adult","gaussian",0,0,"new","gauss",0.630790854636839,0.607927331200566,"CTGAN / gauss / without y",FALSE
"Covertype","gaussian",0,0,"new","gauss",0.360127594380542,0.357312574741977,"CTGAN / gauss / without y",FALSE
"MNIST12","gaussian",0,0,"new","gauss",0.323603057481998,0.305418302926715,"CTGAN / gauss / without y",FALSE
"MNIST28","gaussian",0,0,"new","gauss",0.486501056734973,0.472324554838479,"CTGAN / gauss / without y",FALSE
"Adult","compare_sdv_gaussian",1,0,"new","gauss",0.635839182213905,0.598063203753783,"CTGAN / gauss / with y",FALSE
"Covertype","compare_sdv_gaussian",1,0,"new","gauss",0.365160246470493,0.36098576982988,"CTGAN / gauss / with y",FALSE
"MNIST12","compare_sdv_gaussian",1,0,"new","gauss",0.40182614640374,0.397898784843564,"CTGAN / gauss / with y",FALSE
"MNIST28","compare_sdv_gaussian",1,0,"new","gauss",0.401596984585702,0.363883459729321,"CTGAN / gauss / with y",FALSE
"Adult","sdv_tvae_gaussian",0,1,"new","gauss",0.638840374124457,0.607959131701428,"TVAE / gauss / without y",FALSE
"Covertype","sdv_tvae_gaussian",0,1,"new","gauss",0.38561877864381,0.375935724783275,"TVAE / gauss / without y",FALSE
"MNIST12","sdv_tvae_gaussian",0,1,"new","gauss",0.404944709829832,0.40214002706624,"TVAE / gauss / without y",FALSE
"MNIST28","sdv_tvae_gaussian",0,1,"new","gauss",0.449245889968731,0.446583699668016,"TVAE / gauss / without y",FALSE
"Adult","compare_sdv_tvae_gaussianNB",1,1,"new","gauss",0.635751624003812,0.601093547558485,"TVAE / gauss / with y",FALSE
"Covertype","compare_sdv_tvae_gaussianNB",1,1,"new","gauss",0.379948622,0.373325845084689,"TVAE / gauss / with y",FALSE
"MNIST12","compare_sdv_tvae_gaussianNB",1,1,"new","gauss",0.403851659199834,0.398004142859975,"TVAE / gauss / with y",FALSE
"MNIST28","compare_sdv_tvae_gaussianNB",1,1,"new","gauss",0.440785312691948,0.437118576001423,"TVAE / gauss / with y",FALSE
"Adult","pca_gmm",0,0,"new","pca_gmm",0.756167103431368,0.731776554206533,"CTGAN / pca_gmm / without y",FALSE
"Covertype","pca_gmm",0,0,"new","pca_gmm",0.479220362422839,0.46786135564948,"CTGAN / pca_gmm / without y",FALSE
"MNIST12","pca_gmm",0,0,"new","pca_gmm",0.787593435,0.782912279024365,"CTGAN / pca_gmm / without y",FALSE
"MNIST28","pca_gmm",0,0,"new","pca_gmm",0.798544792997575,0.784158404927209,"CTGAN / pca_gmm / without y",FALSE
"Adult","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.736476284685015,0.724482567766083,"CTGAN / pca_gmm / with y",FALSE
"Covertype","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.497741498949051,0.485523119160186,"CTGAN / pca_gmm / with y",FALSE
"MNIST12","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.799049102,0.794671322010206,"CTGAN / pca_gmm / with y",FALSE
"MNIST28","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.776811555310235,0.76696388,"CTGAN / pca_gmm / with y",FALSE
"Adult","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.728127254919644,0.708239720227377,"TVAE / pca_gmm / without y",FALSE
"Covertype","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.458968388582935,0.420312048512177,"TVAE / pca_gmm / without y",FALSE
"MNIST12","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.815723914062213,0.813437075,"TVAE / pca_gmm / without y",FALSE
"MNIST28","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.832613735770689,0.830115617330462,"TVAE / pca_gmm / without y",FALSE
"Adult","compare_sdv_tvae_pca_gmm",1,1,"new","pca_gmm",0.726056204292245,0.700796183302546,"TVAE / pca_gmm / with y",FALSE
"Covertype","compare_sdv_tvae_pca_gmm",1,1,"new","pca_gmm",0.434507947695213,0.397543914847909,"TVAE / pca_gmm / with y",FALSE
"MNIST12","compare_sdv_tvae_pca_gmm",1,1,"new","pca_gmm",0.81348905399534,0.810464260135289,"TVAE / pca_gmm / with y",FALSE
"MNIST28","compare_sdv_tvae_pca_gmm",1,1,"new","pca_gmm",0.831846886,0.830451752843594,"TVAE / pca_gmm / with y",FALSE
"Adult","rf",0,0,"new","rf",0.776620976579954,0.751890228168875,"CTGAN / rf / without y",FALSE
"Covertype","rf",0,0,"new","rf",0.652716445067396,0.641457689013503,"CTGAN / rf / without y",FALSE
"MNIST12","rf",0,0,"new","rf",0.883717704338977,0.881621557248648,"CTGAN / rf / without y",FALSE
"MNIST28","rf",0,0,"new","rf",0.86757189444519,0.858753428773511,"CTGAN / rf / without y",FALSE
"Adult","compare_sdv_rf",1,0,"new","rf",0.772435080060991,0.745073962845586,"CTGAN / rf / with y",FALSE
"Covertype","compare_sdv_rf",1,0,"new","rf",0.630482116185354,0.630353604187346,"CTGAN / rf / with y",FALSE
"MNIST12","compare_sdv_rf",1,0,"new","rf",0.875096995670288,0.873409404,"CTGAN / rf / with y",FALSE
"MNIST28","compare_sdv_rf",1,0,"new","rf",0.874902979602804,0.871146260867658,"CTGAN / rf / with y",FALSE
"Adult","sdv_tvae_rf",0,1,"new","rf",0.777014918366352,0.740909893001007,"TVAE / rf / without y",FALSE
"Covertype","sdv_tvae_rf",0,1,"new","rf",0.563330421358028,0.552207159665297,"TVAE / rf / without y",FALSE
"MNIST12","sdv_tvae_rf",0,1,"new","rf",0.93142137001289,0.930246086026619,"TVAE / rf / without y",FALSE
"MNIST28","sdv_tvae_rf",0,1,"new","rf",0.947790848480129,0.94698106682175,"TVAE / rf / without y",FALSE
"Adult","compare_sdv_tvae_rf",1,1,"new","rf",0.774805653865905,0.747805859793071,"TVAE / rf / with y",FALSE
"Covertype","compare_sdv_tvae_rf",1,1,"new","rf",0.551949185716077,0.549324491569127,"TVAE / rf / with y",FALSE
"MNIST12","compare_sdv_tvae_rf",1,1,"new","rf",0.933050026588026,0.932331290053536,"TVAE / rf / with y",FALSE
"MNIST28","compare_sdv_tvae_rf",1,1,"new","rf",0.948175479274396,0.946054331048483,"TVAE / rf / with y",FALSE
"Adult","tvae",1,1,"old","tvae",0.746145960687984,0.720651244238144,"TVAE / tvae / with y",FALSE
"Covertype","tvae",1,1,"old","tvae",0.433,0.433,"TVAE / tvae / with y",TRUE
"MNIST12","tvae",1,1,"old","tvae",0.924846294322351,0.921689996836233,"TVAE / tvae / with y",FALSE
"MNIST28","tvae",1,1,"old","tvae",0.935625921,0.928944942288383,"TVAE / tvae / with y",FALSE
"Adult","xgb",0,0,"new","xgb",0.775322567011704,0.726484036081695,"CTGAN / xgb / without y",FALSE
"Covertype","xgb",0,0,"new","xgb",0.646754193,0.634647358314043,"CTGAN / xgb / without y",FALSE
"MNIST12","xgb",0,0,"new","xgb",0.880732309706116,0.878791543637358,"CTGAN / xgb / without y",FALSE
"MNIST28","xgb",0,0,"new","xgb",0.880160998496735,0.87275874427491,"CTGAN / xgb / without y",FALSE
"Adult","compare_sdv_xgb",1,0,"new","xgb",0.77174954694637,0.714122390982724,"CTGAN / xgb / with y",FALSE
"Covertype","compare_sdv_xgb",1,0,"new","xgb",0.603759174381883,0.592599912737626,"CTGAN / xgb / with y",FALSE
"MNIST12","compare_sdv_xgb",1,0,"new","xgb",0.877000837313915,0.875495611914472,"CTGAN / xgb / with y",FALSE
"MNIST28","compare_sdv_xgb",1,0,"new","xgb",0.870782208727256,0.860829316860696,"CTGAN / xgb / with y",FALSE
"Adult","sdv_tvae_xgb",0,1,"new","xgb",0.773667948688328,0.729883199331039,"TVAE / xgb / without y",FALSE
"Covertype","sdv_tvae_xgb",0,1,"new","xgb",0.585550597388596,0.573318105612451,"TVAE / xgb / without y",FALSE
"MNIST12","sdv_tvae_xgb",0,1,"new","xgb",0.940385092884243,0.93964940071846,"TVAE / xgb / without y",FALSE
"MNIST28","sdv_tvae_xgb",0,1,"new","xgb",0.961676705854757,0.960965805402292,"TVAE / xgb / without y",FALSE
"Adult","compare_sdv_tvae_xgb",1,1,"new","xgb",0.773570491877384,0.730457513341642,"TVAE / xgb / with y",FALSE
"Covertype","compare_sdv_tvae_xgb",1,1,"new","xgb",0.633117605337109,0.6239965758383,"TVAE / xgb / with y",FALSE
"MNIST12","compare_sdv_tvae_xgb",1,1,"new","xgb",0.944914071375845,0.942936223583674,"TVAE / xgb / with y",FALSE
