method,has_y,tvae,approach,dataset,macro_max,y_synth
categorical,0,0,new,Adult,0.7187076670888153,categorical
compare_sdv_categorical,1,0,new,Adult,0.7184464297183154,categorical
compare_sdv_gaussian,1,0,new,Adult,0.6298398821077321,gauss
compare_sdv_pca_gmm,1,0,new,Adult,0.7335438573780975,pca_gmm
compare_sdv_rf,1,0,new,Adult,0.7687176324771305,rf
compare_sdv_tvae_categoricalNB,1,1,new,Adult,0.713755799,categorical
compare_sdv_tvae_gaussianNB,1,1,new,Adult,0.6342046824960796,gauss
compare_sdv_tvae_pca_gmm,1,1,new,Adult,0.7291849478767339,pca_gmm
compare_sdv_tvae_rf,1,1,new,Adult,0.7711347277895999,rf
compare_sdv_tvae_xgb,1,1,new,Adult,0.7737227777157561,xgb
compare_sdv_xgb,1,0,new,Adult,0.7692390179912588,xgb
ctgan,1,0,old,Adult,0.7761298938352998,ctgan
gaussian,0,0,new,Adult,0.5886325070164034,gauss
pca_gmm,0,0,new,Adult,0.7557740442737708,pca_gmm
rf,0,0,new,Adult,0.7760147845942743,rf
sdv_tvae_categorical,0,1,new,Adult,0.7128105876738027,categorical
sdv_tvae_gaussian,0,1,new,Adult,0.6277281804323811,gauss
sdv_tvae_pca_gmm,0,1,new,Adult,0.7292292660974358,pca_gmm
sdv_tvae_rf,0,1,new,Adult,0.7719946249589884,rf
sdv_tvae_xgb,0,1,new,Adult,0.7675032857546704,xgb
tvae,1,1,old,Adult,0.7503944115852196,tvae
xgb,0,0,new,Adult,0.7724283097243554,xgb
categorical,0,0,new,Census,0.7187288961250002,categorical
compare_sdv_categorical,1,0,new,Census,0.718724086,categorical
compare_sdv_gaussian,1,0,new,Census,0.6410265615489957,gauss
compare_sdv_pca_gmm,1,0,new,Census,0.7385048971654855,pca_gmm
compare_sdv_rf,1,0,new,Census,0.7743844958620149,rf
compare_sdv_tvae_categoricalNB,1,1,new,Census,0.7139286074592206,categorical
compare_sdv_tvae_gaussianNB,1,1,new,Census,0.6395166837847434,gauss
compare_sdv_tvae_pca_gmm,1,1,new,Census,0.726899842,pca_gmm
compare_sdv_tvae_rf,1,1,new,Census,0.776525897,rf
compare_sdv_tvae_xgb,1,1,new,Census,0.7730231223616542,xgb
compare_sdv_xgb,1,0,new,Census,0.7734106448478515,xgb
ctgan,1,0,old,Census,0.7733715607676727,ctgan
gaussian,0,0,new,Census,0.6541053797622616,gauss
pca_gmm,0,0,new,Census,0.7542975510755553,pca_gmm
rf,0,0,new,Census,0.7771708615522934,rf
sdv_tvae_categorical,0,1,new,Census,0.7125060206784795,categorical
sdv_tvae_gaussian,0,1,new,Census,0.6463865557353358,gauss
sdv_tvae_pca_gmm,0,1,new,Census,0.7283813892193907,pca_gmm
sdv_tvae_rf,0,1,new,Census,0.7839526068765121,rf
sdv_tvae_xgb,0,1,new,Census,0.7767275563103134,xgb
tvae,1,1,old,Census,0.7383791024283467,tvae
xgb,0,0,new,Census,0.7739578363107567,xgb
categorical,0,0,new,Census_Kdd,0.7252313699509958,categorical
compare_sdv_categorical,1,0,new,Census_Kdd,0.7182413689267395,categorical
compare_sdv_gaussian,1,0,new,Census_Kdd,0.6366511029849886,gauss
compare_sdv_pca_gmm,1,0,new,Census_Kdd,0.7373800995114624,pca_gmm
compare_sdv_rf,1,0,new,Census_Kdd,0.7742031118438276,rf
compare_sdv_tvae_categoricalNB,1,1,new,Census_Kdd,0.7138453212749053,categorical
compare_sdv_tvae_gaussianNB,1,1,new,Census_Kdd,0.6335335057306133,gauss
compare_sdv_tvae_pca_gmm,1,1,new,Census_Kdd,0.722083823,pca_gmm
compare_sdv_tvae_rf,1,1,new,Census_Kdd,0.7767563368081146,rf
compare_sdv_tvae_xgb,1,1,new,Census_Kdd,0.7739655755547414,xgb
compare_sdv_xgb,1,0,new,Census_Kdd,0.772598978,xgb
ctgan,1,0,old,Census_Kdd,0.7735016414682718,ctgan
gaussian,0,0,new,Census_Kdd,0.6496346771318513,gauss
pca_gmm,0,0,new,Census_Kdd,0.7584297149447787,pca_gmm
rf,0,0,new,Census_Kdd,0.7766772835932956,rf
sdv_tvae_categorical,0,1,new,Census_Kdd,0.7128143277877794,categorical
sdv_tvae_gaussian,0,1,new,Census_Kdd,0.6424063862056548,gauss
sdv_tvae_pca_gmm,0,1,new,Census_Kdd,0.7267711094421043,pca_gmm
sdv_tvae_rf,0,1,new,Census_Kdd,0.7750975232635555,rf
sdv_tvae_xgb,0,1,new,Census_Kdd,0.776773004,xgb
tvae,1,1,old,Census_Kdd,0.7496643680503863,tvae
xgb,0,0,new,Census_Kdd,0.779581555,xgb
categorical,0,0,new,Covertype,0.4803481342357591,categorical
compare_sdv_categorical,1,0,new,Covertype,0.4805055294556291,categorical
compare_sdv_gaussian,1,0,new,Covertype,0.3651602464704934,gauss
compare_sdv_pca_gmm,1,0,new,Covertype,0.4977414989490513,pca_gmm
compare_sdv_rf,1,0,new,Covertype,0.6304821161853542,rf
compare_sdv_tvae_categoricalNB,1,1,new,Covertype,0.4906651132544689,categorical
compare_sdv_tvae_gaussianNB,1,1,new,Covertype,0.379948622,gauss
compare_sdv_tvae_pca_gmm,1,1,new,Covertype,0.4345079476952128,pca_gmm
compare_sdv_tvae_rf,1,1,new,Covertype,0.5519491857160768,rf
compare_sdv_tvae_xgb,1,1,new,Covertype,0.6331176053371088,xgb
compare_sdv_xgb,1,0,new,Covertype,0.6037591743818826,xgb
ctgan,1,0,old,Covertype,0.4835195285184258,ctgan
gaussian,0,0,new,Covertype,0.3601275943805416,gauss
pca_gmm,0,0,new,Covertype,0.4792203624228391,pca_gmm
rf,0,0,new,Covertype,0.6527164450673965,rf
sdv_tvae_categorical,0,1,new,Covertype,0.4906254341566285,categorical
sdv_tvae_gaussian,0,1,new,Covertype,0.3856187786438099,gauss
sdv_tvae_pca_gmm,0,1,new,Covertype,0.4589683885829355,pca_gmm
sdv_tvae_rf,0,1,new,Covertype,0.5633304213580282,rf
sdv_tvae_xgb,0,1,new,Covertype,0.5855505973885963,xgb
tvae,1,1,old,Covertype,0.2972320714416863,tvae
xgb,0,0,new,Covertype,0.646754193,xgb
categorical,0,0,new,MNIST12,0.7949670962628057,categorical
compare_sdv_categorical,1,0,new,MNIST12,0.7990654773892916,categorical
compare_sdv_gaussian,1,0,new,MNIST12,0.4018261464037401,gauss
compare_sdv_pca_gmm,1,0,new,MNIST12,0.799049102,pca_gmm
compare_sdv_rf,1,0,new,MNIST12,0.8750969956702879,rf
compare_sdv_tvae_categoricalNB,1,1,new,MNIST12,0.8129681964715146,categorical
compare_sdv_tvae_gaussianNB,1,1,new,MNIST12,0.4038516591998338,gauss
compare_sdv_tvae_pca_gmm,1,1,new,MNIST12,0.8134890539953397,pca_gmm
compare_sdv_tvae_rf,1,1,new,MNIST12,0.9330500265880256,rf
compare_sdv_tvae_xgb,1,1,new,MNIST12,0.9449140713758448,xgb
compare_sdv_xgb,1,0,new,MNIST12,0.8770008373139151,xgb
ctgan,1,0,old,MNIST12,0.4815952377192015,ctgan
gaussian,0,0,new,MNIST12,0.3236030574819976,gauss
pca_gmm,0,0,new,MNIST12,0.787593435,pca_gmm
rf,0,0,new,MNIST12,0.8837177043389772,rf
sdv_tvae_categorical,0,1,new,MNIST12,0.8166074611458665,categorical
sdv_tvae_gaussian,0,1,new,MNIST12,0.4049447098298322,gauss
sdv_tvae_pca_gmm,0,1,new,MNIST12,0.8157239140622128,pca_gmm
sdv_tvae_rf,0,1,new,MNIST12,0.9314213700128904,rf
sdv_tvae_xgb,0,1,new,MNIST12,0.9403850928842428,xgb
tvae,1,1,old,MNIST12,0.9248462943223508,tvae
xgb,0,0,new,MNIST12,0.8807323097061156,xgb
categorical,0,0,new,MNIST28,0.8104945617915569,categorical
compare_sdv_categorical,1,0,new,MNIST28,0.8168666543037244,categorical
compare_sdv_gaussian,1,0,new,MNIST28,0.4015969845857017,gauss
compare_sdv_pca_gmm,1,0,new,MNIST28,0.7768115553102355,pca_gmm
compare_sdv_rf,1,0,new,MNIST28,0.8749029796028042,rf
compare_sdv_tvae_categoricalNB,1,1,new,MNIST28,0.8322378836697109,categorical
compare_sdv_tvae_gaussianNB,1,1,new,MNIST28,0.4407853126919483,gauss
compare_sdv_tvae_pca_gmm,1,1,new,MNIST28,0.831846886,pca_gmm
compare_sdv_tvae_rf,1,1,new,MNIST28,0.9481754792743964,rf
compare_sdv_tvae_xgb,1,1,new,MNIST28,0.9610001411003516,xgb
compare_sdv_xgb,1,0,new,MNIST28,0.8707822087272559,xgb
ctgan,1,0,old,MNIST28,0.4453581081026362,ctgan
gaussian,0,0,new,MNIST28,0.4865010567349731,gauss
pca_gmm,0,0,new,MNIST28,0.7985447929975746,pca_gmm
rf,0,0,new,MNIST28,0.8675718944451896,rf
sdv_tvae_categorical,0,1,new,MNIST28,0.8309354815861824,categorical
sdv_tvae_gaussian,0,1,new,MNIST28,0.4492458899687309,gauss
sdv_tvae_pca_gmm,0,1,new,MNIST28,0.8326137357706891,pca_gmm
sdv_tvae_rf,0,1,new,MNIST28,0.9477908484801294,rf
sdv_tvae_xgb,0,1,new,MNIST28,0.9616767058547572,xgb
tvae,1,1,old,MNIST28,0.935625921,tvae
xgb,0,0,new,MNIST28,0.8801609984967349,xgb
