"method","has_y","tvae","approach","dataset","y_synth","macro_max"
"categorical",0,0,"new","Adult","categorical",0.720889311054937
"compare_sdv_categorical",1,0,"new","Adult","categorical",0.718470628215018
"sdv_tvae_categorical",0,1,"new","Adult","categorical",0.712710312046687
"compare_sdv_tvae_categoricalNB",1,1,"new","Adult","categorical",0.713843242578042
"categorical",0,0,"new","Covertype","categorical",0.480348134235759
"compare_sdv_categorical",1,0,"new","Covertype","categorical",0.480505529455629
"sdv_tvae_categorical",0,1,"new","Covertype","categorical",0.490625434156629
"compare_sdv_tvae_categoricalNB",1,1,"new","Covertype","categorical",0.490665113254469
"categorical",0,0,"new","MNIST12","categorical",0.794967096262806
"compare_sdv_categorical",1,0,"new","MNIST12","categorical",0.799065477389292
"sdv_tvae_categorical",0,1,"new","MNIST12","categorical",0.816607461145866
"compare_sdv_tvae_categoricalNB",1,1,"new","MNIST12","categorical",0.812968196471515
"categorical",0,0,"new","MNIST28","categorical",0.810494561791557
"compare_sdv_categorical",1,0,"new","MNIST28","categorical",0.816866654303724
"sdv_tvae_categorical",0,1,"new","MNIST28","categorical",0.830935481586182
"compare_sdv_tvae_categoricalNB",1,1,"new","MNIST28","categorical",0.832237883669711
"ctgan",1,0,"old","Adult","ctgan",0.774334365357081
"ctgan",1,0,"old","Covertype","ctgan",0.483519528518426
"ctgan",1,0,"old","MNIST12","ctgan",0.481595237719201
"ctgan",1,0,"old","MNIST28","ctgan",0.445358108102636
"gaussian",0,0,"new","Adult","gauss",0.630790854636839
"compare_sdv_gaussian",1,0,"new","Adult","gauss",0.635839182213905
"sdv_tvae_gaussian",0,1,"new","Adult","gauss",0.638840374124457
"compare_sdv_tvae_gaussianNB",1,1,"new","Adult","gauss",0.635751624003812
"gaussian",0,0,"new","Covertype","gauss",0.360127594380542
"compare_sdv_gaussian",1,0,"new","Covertype","gauss",0.365160246470493
"sdv_tvae_gaussian",0,1,"new","Covertype","gauss",0.38561877864381
"compare_sdv_tvae_gaussianNB",1,1,"new","Covertype","gauss",0.379948622
"gaussian",0,0,"new","MNIST12","gauss",0.323603057481998
"compare_sdv_gaussian",1,0,"new","MNIST12","gauss",0.40182614640374
"sdv_tvae_gaussian",0,1,"new","MNIST12","gauss",0.404944709829832
"compare_sdv_tvae_gaussianNB",1,1,"new","MNIST12","gauss",0.403851659199834
"gaussian",0,0,"new","MNIST28","gauss",0.486501056734973
"compare_sdv_gaussian",1,0,"new","MNIST28","gauss",0.401596984585702
"sdv_tvae_gaussian",0,1,"new","MNIST28","gauss",0.449245889968731
"compare_sdv_tvae_gaussianNB",1,1,"new","MNIST28","gauss",0.440785312691948
"pca_gmm",0,0,"new","Adult","pca_gmm",0.756167103431368
"compare_sdv_pca_gmm",1,0,"new","Adult","pca_gmm",0.736476284685015
"sdv_tvae_pca_gmm",0,1,"new","Adult","pca_gmm",0.728127254919644
"compare_sdv_tvae_pca_gmm",1,1,"new","Adult","pca_gmm",0.726056204292245
"pca_gmm",0,0,"new","Covertype","pca_gmm",0.479220362422839
"compare_sdv_pca_gmm",1,0,"new","Covertype","pca_gmm",0.497741498949051
"sdv_tvae_pca_gmm",0,1,"new","Covertype","pca_gmm",0.458968388582935
"compare_sdv_tvae_pca_gmm",1,1,"new","Covertype","pca_gmm",0.434507947695213
"pca_gmm",0,0,"new","MNIST12","pca_gmm",0.787593435
"compare_sdv_pca_gmm",1,0,"new","MNIST12","pca_gmm",0.799049102
"sdv_tvae_pca_gmm",0,1,"new","MNIST12","pca_gmm",0.815723914062213
"compare_sdv_tvae_pca_gmm",1,1,"new","MNIST12","pca_gmm",0.81348905399534
"pca_gmm",0,0,"new","MNIST28","pca_gmm",0.798544792997575
"compare_sdv_pca_gmm",1,0,"new","MNIST28","pca_gmm",0.776811555310235
"sdv_tvae_pca_gmm",0,1,"new","MNIST28","pca_gmm",0.832613735770689
"compare_sdv_tvae_pca_gmm",1,1,"new","MNIST28","pca_gmm",0.831846886
"rf",0,0,"new","Adult","rf",0.776620976579954
"compare_sdv_rf",1,0,"new","Adult","rf",0.772435080060991
"sdv_tvae_rf",0,1,"new","Adult","rf",0.777014918366352
"compare_sdv_tvae_rf",1,1,"new","Adult","rf",0.774805653865905
"rf",0,0,"new","Covertype","rf",0.652716445067396
"compare_sdv_rf",1,0,"new","Covertype","rf",0.630482116185354
"sdv_tvae_rf",0,1,"new","Covertype","rf",0.563330421358028
"compare_sdv_tvae_rf",1,1,"new","Covertype","rf",0.551949185716077
"rf",0,0,"new","MNIST12","rf",0.883717704338977
"compare_sdv_rf",1,0,"new","MNIST12","rf",0.875096995670288
"sdv_tvae_rf",0,1,"new","MNIST12","rf",0.93142137001289
"compare_sdv_tvae_rf",1,1,"new","MNIST12","rf",0.933050026588026
"rf",0,0,"new","MNIST28","rf",0.86757189444519
"compare_sdv_rf",1,0,"new","MNIST28","rf",0.874902979602804
"sdv_tvae_rf",0,1,"new","MNIST28","rf",0.947790848480129
"compare_sdv_tvae_rf",1,1,"new","MNIST28","rf",0.948175479274396
"tvae",1,1,"old","Adult","tvae",0.746145960687984
"tvae",1,1,"old","Covertype","tvae",0.297232071441686
"tvae",1,1,"old","MNIST12","tvae",0.924846294322351
"tvae",1,1,"old","MNIST28","tvae",0.935625921
"xgb",0,0,"new","Adult","xgb",0.775322567011704
"compare_sdv_xgb",1,0,"new","Adult","xgb",0.77174954694637
"sdv_tvae_xgb",0,1,"new","Adult","xgb",0.773667948688328
"compare_sdv_tvae_xgb",1,1,"new","Adult","xgb",0.773570491877384
"xgb",0,0,"new","Covertype","xgb",0.646754193
"compare_sdv_xgb",1,0,"new","Covertype","xgb",0.603759174381883
"sdv_tvae_xgb",0,1,"new","Covertype","xgb",0.585550597388596
"compare_sdv_tvae_xgb",1,1,"new","Covertype","xgb",0.633117605337109
"xgb",0,0,"new","MNIST12","xgb",0.880732309706116
"compare_sdv_xgb",1,0,"new","MNIST12","xgb",0.877000837313915
"sdv_tvae_xgb",0,1,"new","MNIST12","xgb",0.940385092884243
"compare_sdv_tvae_xgb",1,1,"new","MNIST12","xgb",0.944914071375845
"xgb",0,0,"new","MNIST28","xgb",0.880160998496735
"compare_sdv_xgb",1,0,"new","MNIST28","xgb",0.870782208727256
"sdv_tvae_xgb",0,1,"new","MNIST28","xgb",0.961676705854757
"compare_sdv_tvae_xgb",1,1,"new","MNIST28","xgb",0.961000141100352
