"panel","dataset","x","score","approach","unit"
"CTGAN-based","Adult","CTGAN_e2e",0.774334365357081,"e2e","Task/configuration"
"CTGAN-based","Covertype","CTGAN_e2e",0.483519528518426,"e2e","Task/configuration"
"CTGAN-based","MNIST12","CTGAN_e2e",0.481595237719201,"e2e","Task/configuration"
"CTGAN-based","MNIST28","CTGAN_e2e",0.445358108102636,"e2e","Task/configuration"
"CTGAN-based","Adult","CTGAN-RF",0.776620976579954,"hybrid","Task/configuration"
"CTGAN-based","Covertype","CTGAN-RF",0.652716445067396,"hybrid","Task/configuration"
"CTGAN-based","MNIST12","CTGAN-RF",0.883717704338977,"hybrid","Task/configuration"
"CTGAN-based","MNIST28","CTGAN-RF",0.86757189444519,"hybrid","Task/configuration"
"CTGAN-based","Adult","CTGAN-RF",0.772435080060991,"hybrid","Task/configuration"
"CTGAN-based","Covertype","CTGAN-RF",0.630482116185354,"hybrid","Task/configuration"
"CTGAN-based","MNIST12","CTGAN-RF",0.875096995670288,"hybrid","Task/configuration"
"CTGAN-based","MNIST28","CTGAN-RF",0.874902979602804,"hybrid","Task/configuration"
"TVAE-based","Adult","TVAE-RF",0.777014918366352,"hybrid","Task/configuration"
"TVAE-based","Covertype","TVAE-RF",0.563330421358028,"hybrid","Task/configuration"
"TVAE-based","MNIST12","TVAE-RF",0.93142137001289,"hybrid","Task/configuration"
"TVAE-based","MNIST28","TVAE-RF",0.947790848480129,"hybrid","Task/configuration"
"TVAE-based","Adult","TVAE-RF",0.774805653865905,"hybrid","Task/configuration"
"TVAE-based","Covertype","TVAE-RF",0.551949185716077,"hybrid","Task/configuration"
"TVAE-based","MNIST12","TVAE-RF",0.933050026588026,"hybrid","Task/configuration"
"TVAE-based","MNIST28","TVAE-RF",0.948175479274396,"hybrid","Task/configuration"
"TVAE-based","Adult","TVAE_e2e",0.746145960687984,"e2e","Task/configuration"
"TVAE-based","Covertype","TVAE_e2e",0.49,"e2e","Task/configuration"
"TVAE-based","MNIST12","TVAE_e2e",0.924846294322351,"e2e","Task/configuration"
"TVAE-based","MNIST28","TVAE_e2e",0.935625921,"e2e","Task/configuration"
"CTGAN-based","Adult","CTGAN-XGB",0.775322567011704,"hybrid","Task/configuration"
"CTGAN-based","Covertype","CTGAN-XGB",0.646754193,"hybrid","Task/configuration"
"CTGAN-based","MNIST12","CTGAN-XGB",0.880732309706116,"hybrid","Task/configuration"
"CTGAN-based","MNIST28","CTGAN-XGB",0.880160998496735,"hybrid","Task/configuration"
"CTGAN-based","Adult","CTGAN-XGB",0.77174954694637,"hybrid","Task/configuration"
"CTGAN-based","Covertype","CTGAN-XGB",0.603759174381883,"hybrid","Task/configuration"
"CTGAN-based","MNIST12","CTGAN-XGB",0.877000837313915,"hybrid","Task/configuration"
"CTGAN-based","MNIST28","CTGAN-XGB",0.870782208727256,"hybrid","Task/configuration"
"TVAE-based","Adult","TVAE-XGB",0.773667948688328,"hybrid","Task/configuration"
"TVAE-based","Covertype","TVAE-XGB",0.585550597388596,"hybrid","Task/configuration"
"TVAE-based","MNIST12","TVAE-XGB",0.940385092884243,"hybrid","Task/configuration"
"TVAE-based","MNIST28","TVAE-XGB",0.961676705854757,"hybrid","Task/configuration"
"TVAE-based","Adult","TVAE-XGB",0.773570491877384,"hybrid","Task/configuration"
"TVAE-based","Covertype","TVAE-XGB",0.633117605337109,"hybrid","Task/configuration"
"TVAE-based","MNIST12","TVAE-XGB",0.944914071375845,"hybrid","Task/configuration"
"TVAE-based","MNIST28","TVAE-XGB",0.961000141100352,"hybrid","Task/configuration"
"Generator training inputs","Adult","Target omitted from generator training",0.775656602661585,"hybrid","Task mean"
"Generator training inputs","Covertype","Target omitted from generator training",0.612087914203505,"hybrid","Task mean"
"Generator training inputs","MNIST12","Target omitted from generator training",0.909064119235557,"hybrid","Task mean"
"Generator training inputs","MNIST28","Target omitted from generator training",0.914300111819203,"hybrid","Task mean"
"Generator training inputs","Adult","Target included in generator training",0.773140193187662,"hybrid","Task mean"
"Generator training inputs","Covertype","Target included in generator training",0.604827020405106,"hybrid","Task mean"
"Generator training inputs","MNIST12","Target included in generator training",0.907515482737019,"hybrid","Task mean"
"Generator training inputs","MNIST28","Target included in generator training",0.913715202176202,"hybrid","Task mean"
"End-to-end vs hybrid","Adult","hybrid",0.774398397924624,"hybrid","Task mean"
"End-to-end vs hybrid","Covertype","hybrid",0.608457467304305,"hybrid","Task mean"
"End-to-end vs hybrid","MNIST12","hybrid",0.908289800986288,"hybrid","Task mean"
"End-to-end vs hybrid","MNIST28","hybrid",0.914007656997702,"hybrid","Task mean"
"End-to-end vs hybrid","Adult","e2e",0.760240163022533,"e2e","Task mean"
"End-to-end vs hybrid","Covertype","e2e",0.486759764259213,"e2e","Task mean"
"End-to-end vs hybrid","MNIST12","e2e",0.703220766020776,"e2e","Task mean"
"End-to-end vs hybrid","MNIST28","e2e",0.690492014551318,"e2e","Task mean"
