"generator","dataset","approach","macro_max"
"CTGAN-based","Adult","old",0.774334365357081
"TVAE-based","Adult","old",0.746145960687984
"CTGAN-based","Covertype","old",0.483519528518426
"TVAE-based","Covertype","old",0.49
"CTGAN-based","MNIST12","old",0.481595237719201
"TVAE-based","MNIST12","old",0.924846294322351
"CTGAN-based","MNIST28","old",0.445358108102636
"TVAE-based","MNIST28","old",0.935625921
"CTGAN-based","Adult","new",0.774032042649755
"TVAE-based","Adult","new",0.774764753199492
"CTGAN-based","Covertype","new",0.633427982158658
"TVAE-based","Covertype","new",0.583486952449953
"CTGAN-based","MNIST12","new",0.879136961757324
"TVAE-based","MNIST12","new",0.937442640215251
"CTGAN-based","MNIST28","new",0.873354520317996
"TVAE-based","MNIST28","new",0.954660793677409
