,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max
train_option,mix,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic
dataset_name,Adult_mix,Covertype,MNIST12,MNIST28,Adult,Census,Covertype,MNIST12,MNIST28,Adult_mix,Covertype,MNIST12,MNIST28,Adult,Census,Covertype,MNIST12,MNIST28,Adult_mix,Covertype,MNIST12,MNIST28,Adult,Census,Covertype,MNIST12,MNIST28,Adult_mix,Covertype,MNIST12,MNIST28,Adult,Census,Covertype,MNIST12,MNIST28
augment_option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categorical,0.7347982198431702,,,,0.7187076670888153,0.7165263753134499,0.4801810746254698,0.791463152,0.8051613021162994,0.7433453135316489,,,,0.7187076670888153,0.7187288961250002,0.4803481342357591,0.7949670962628057,0.8104945617915569,0.7793407516271258,,,,0.7630694940163762,0.7595003149275666,0.6309647771572162,0.7922,0.8084,0.791727903,,,,0.7634893974385891,0.7644341801385681,0.6312401573109128,0.7957,0.8136
compare_sdv_categorical,,,,,0.7170661259844104,0.7170731252988158,0.4798331316582189,0.7961158189656352,0.8069919844070228,,,,,0.7184464297183154,0.718724086,0.4805055294556291,0.7990654773892916,0.8168666543037244,,,,,0.7608650010497585,0.7589754356498005,0.6312229460513068,0.8007,0.8084,,,,,0.7624396388830569,0.7606550493386521,0.6316876500606697,0.8034,0.8183
compare_sdv_gaussian,,,,,0.5979305848299343,0.599631069,0.3609857698298801,0.3978987848435641,0.3638834597293214,,,,,0.6298398821077321,0.6410265615489957,0.3651602464704934,0.4018261464037401,0.4015969845857017,,,,,0.7855343271047659,0.7862691580936385,0.4508231284906586,0.4826,0.3788,,,,,0.7964518160823011,0.8003359227377703,0.4531380429076702,0.4868,0.4051
compare_sdv_pca_gmm,,,,,0.7172054947855945,0.7279380377241917,0.4855231191601863,0.7946713220102058,0.76696388,,,,,0.7335438573780975,0.7385048971654855,0.4977414989490513,0.799049102,0.7768115553102355,,,,,0.746903212,0.7608650010497585,0.6879770746022048,0.7994,0.7685,,,,,0.7672685282385051,0.774721814,0.6941042830219529,0.8035,0.7781
compare_sdv_rf,,,,,0.7424405782154562,0.7482532033108433,0.6303536041873461,0.873409404,0.8711462608676582,,,,,0.7687176324771305,0.7743844958620149,0.6304821161853542,0.8750969956702879,0.8749029796028042,,,,,0.8359227377703128,0.834138148,0.7799196234176399,0.8749,0.8706,,,,,0.8410665546924208,0.8422212891035062,0.7808920595853808,0.8766,0.8744
compare_sdv_tvae_categoricalNB,,,,,,,,0.8093031026565743,0.8285627200954797,,,,,,,,0.8129681964715146,0.8322378836697109,,,,,,,,0.812,0.831,,,,,,,,0.8154,0.8347
compare_sdv_tvae_gaussianNB,,,,,,,,0.3980041428599746,0.4371185760014226,,,,,,,,0.4038516591998338,0.4407853126919483,,,,,,,,0.4731,0.5138,,,,,,,,0.4778,0.5165
compare_sdv_tvae_pca_gmm,,,,,,,,0.8104642601352893,0.8304517528435943,,,,,,,,0.8134890539953397,0.831846886,,,,,,,,0.813,0.833,,,,,,,,0.816,0.8343
compare_sdv_tvae_rf,,,,,,,,0.9323312900535364,0.9460543310484828,,,,,,,,0.9330500265880256,0.9481754792743964,,,,,,,,0.9327,0.9465,,,,,,,,0.9334,0.9486
compare_sdv_tvae_xgb,,,,,,,,0.9429362235836736,0.9598570628761118,,,,,,,,0.9449140713758448,0.9610001411003516,,,,,,,,0.9432,0.9601,,,,,,,,0.9452,0.9612
compare_sdv_xgb,,,,,0.6884643658748745,0.728075274,0.5925999127376259,0.8754956119144719,0.8608293168606955,,,,,0.7692390179912588,0.7734106448478515,0.6037591743818826,0.8770008373139151,0.8707822087272559,,,,,0.8104136048708797,0.8244803695150116,0.7671574744197655,0.8766,0.855,,,,,0.839806844,0.8418013856812933,0.7678459248040068,0.8779,0.867
ctgan,0.7798523671447183,,,,0.7690919815680533,0.7598101739997537,0.4748430987470255,0.4703916885190288,0.3916204066192958,0.7869957962018506,,,,0.7761298938352998,0.7733715607676727,0.4835195285184258,0.4815952377192015,0.4453581081026362,0.8482049128700399,,,,0.8189166491706907,0.8095737980264539,0.6764025025171467,0.5326,0.4077,0.8498845265588915,,,,0.8328784379592694,0.8260550073483098,0.6803783034861406,0.5544,0.5341
gaussian,0.6655876388468094,,,,0.5681211657622532,0.6345683180015191,0.3573125747419766,0.3054183029267149,0.4723245548384792,0.6655876388468094,,,,0.5886325070164034,0.6541053797622616,0.3601275943805416,0.3236030574819976,0.4865010567349731,0.8108335082930926,,,,0.7777661137938274,0.7979214780600462,0.4427596533652315,0.3752,0.4939,0.8112534117153055,,,,0.7831198824270418,0.801595633,0.4441795822827293,0.3885,0.5075
none,,0.9067320812111248,0.9589100035025108,0.977846374,,,,,,,0.9087902643511816,0.9598955126444318,0.9791516826589722,,,,,,,0.9400445771623795,0.9591,0.9779,,,,,,,0.9400445771623795,0.9601,0.9792,,,,,
pca_gmm,0.750671679,,,,0.7178603513405275,0.7352284277385774,0.4678613556494798,0.7829122790243647,0.7841584049272095,0.7668110871760498,,,,0.7557740442737708,0.7542975510755553,0.4792203624228391,0.787593435,0.7985447929975746,0.8282595003149276,,,,0.8104136048708797,0.8155574217929876,0.7003777871483524,0.783,0.7866,0.8339281965148015,,,,0.8252152005038841,0.8289943313038002,0.7050592497611937,0.7878,0.801
rf,0.7746396429611135,,,,0.7579927197504357,0.7456012588668144,0.6414576890135034,0.8816215572486479,0.8587534287735108,0.7843907765473556,,,,0.7760147845942743,0.7771708615522934,0.6527164450673965,0.8837177043389772,0.8675718944451896,0.8436909510812514,,,,0.8374973756036111,0.8348729792147807,0.793,0.8814,0.8586,0.8466302750367416,,,,0.8408566029813143,0.8418013856812933,0.7947,0.8836,0.8675
sdv_tvae_categorical,,,,,,,,0.8140095282736771,0.828504185,,,,,,,,0.8166074611458665,0.8309354815861824,,,,,,,,0.8166,0.8309,,,,,,,,0.8193,0.8333
sdv_tvae_gaussian,,,,,,,,0.4021400270662401,0.4465836996680165,,,,,,,,0.4049447098298322,0.4492458899687309,,,,,,,,0.4757,0.5223,,,,,,,,0.4785,0.5236
sdv_tvae_pca_gmm,,,,,,,,0.813437075,0.8301156173304616,,,,,,,,0.8157239140622128,0.8326137357706891,,,,,,,,0.816,0.8324,,,,,,,,0.8183,0.8349
sdv_tvae_rf,,,,,,,,0.9302460860266192,0.9469810668217504,,,,,,,,0.9314213700128904,0.9477908484801294,,,,,,,,0.9306,0.9474,,,,,,,,0.9318,0.9482
sdv_tvae_xgb,,,,,,,,0.9396494007184604,0.9609658054022924,,,,,,,,0.9403850928842428,0.9616767058547572,,,,,,,,0.9398,0.9612,,,,,,,,0.9407,0.9619
tvae,,,,,0.7177808494069435,0.7222924020703038,0.2672459195051856,0.9216899968362328,0.9289449422883832,,,,,0.7503944115852196,0.7383791024283467,0.2972320714416863,0.9248462943223508,0.935625921,,,,,0.807264329,0.8045349569598992,0.6439420669001661,0.9219,0.9291,,,,,0.8167121562040731,0.8144026873819021,0.6526423586310164,0.9252,0.9361
xgb,0.7732502421510552,,,,0.7374930147509772,0.7280140604893692,0.6346473583140428,0.8787915436373581,0.8727587442749101,0.7771508611456992,,,,0.7724283097243554,0.7739578363107567,0.646754193,0.8807323097061156,0.8801609984967349,0.8445307579256771,,,,0.829414235,0.8200713835817762,0.7787,0.8783,0.8712,0.8480999370144867,,,,0.8406466512702079,0.8434809993701449,0.7808,0.8803,0.8793
