dataset,metric,method,paper_score,source,table,version
Adult,Binary F1,ctgan,0.601,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Census_KDD,Binary F1,ctgan,0.391,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Credit,Binary F1,ctgan,0.672,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Covertype,Macro-F1,ctgan,0.324,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Intrusion,Macro-F1,ctgan,0.528,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
MNIST12,Accuracy,ctgan,0.394,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
MNIST28,Accuracy,ctgan,0.371,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
News,R-squared,ctgan,-0.43,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Adult,Binary F1,tvae,0.626,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Census_KDD,Binary F1,tvae,0.377,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Credit,Binary F1,tvae,0.098,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Covertype,Macro-F1,tvae,0.433,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
Intrusion,Macro-F1,tvae,0.511,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
MNIST12,Accuracy,tvae,0.793,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
MNIST28,Accuracy,tvae,0.794,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
News,R-squared,tvae,-0.2,https://arxiv.org/pdf/1907.00503,6,1907.00503v2
