"","y_synth","has_y","emmean","SE","df","lower.CL","upper.CL","unsupported_combination"
"1","ctgan","0",0.555787549784857,0.0153446837731978,46,0.524900303350977,0.586674796218737,TRUE
"2","tvae","0",0.721475504431149,0.0153446837731977,46,0.690588257997269,0.75236275086503,TRUE
"3","categorical","0",0.70891220295828,0.00748743900681793,46,0.693840769934279,0.723983635982282,FALSE
"4","pca_gmm","0",0.705833265614314,0.00748743900681791,46,0.690761832590312,0.720904698638315,FALSE
"5","rf","0",0.798842301582964,0.00748743900681792,46,0.783770868558963,0.813913734606966,FALSE
"6","xgb","0",0.806283701237829,0.00748743900681793,46,0.791212268213827,0.82135513426183,FALSE
"7","ctgan","1",0.553238208570525,0.0138061553589254,46,0.525447859210546,0.581028557930504,FALSE
"8","tvae","1",0.718926163216817,0.0138061553589253,46,0.691135813856839,0.746716512576796,FALSE
"9","categorical","1",0.706362861743948,0.00748743900681794,46,0.691291428719947,0.72143429476795,FALSE
"10","pca_gmm","1",0.703283924399982,0.00748743900681791,46,0.68821249137598,0.718355357423983,FALSE
"11","rf","1",0.796292960368632,0.00748743900681792,46,0.78122152734463,0.811364393392633,FALSE
"12","xgb","1",0.803734360023496,0.00748743900681794,46,0.788662926999495,0.818805793047498,FALSE
