"dataset","configuration","macro_max"
"Adult","CTGAN / ctgan / with y",0.774334365357081
"Covertype","CTGAN / ctgan / with y",0.483519528518426
"MNIST12","CTGAN / ctgan / with y",0.481595237719201
"MNIST28","CTGAN / ctgan / with y",0.445358108102636
"Adult","TVAE / rf / without y",0.777014918366352
"Covertype","TVAE / rf / without y",0.563330421358028
"MNIST12","TVAE / rf / without y",0.93142137001289
"MNIST28","TVAE / rf / without y",0.947790848480129
"Adult","TVAE / rf / with y",0.774805653865905
"Covertype","TVAE / rf / with y",0.551949185716077
"MNIST12","TVAE / rf / with y",0.933050026588026
"MNIST28","TVAE / rf / with y",0.948175479274396
"Adult","TVAE / tvae / with y",0.746145960687984
"Covertype","TVAE / tvae / with y",0.297232071441686
"MNIST12","TVAE / tvae / with y",0.924846294322351
"MNIST28","TVAE / tvae / with y",0.935625921
"Adult","TVAE / xgb / without y",0.773667948688328
"Covertype","TVAE / xgb / without y",0.585550597388596
"MNIST12","TVAE / xgb / without y",0.940385092884243
"MNIST28","TVAE / xgb / without y",0.961676705854757
"Adult","TVAE / xgb / with y",0.773570491877384
"Covertype","TVAE / xgb / with y",0.633117605337109
"MNIST12","TVAE / xgb / with y",0.944914071375845
"MNIST28","TVAE / xgb / with y",0.961000141100352
"Adult","Original data",0.797223574112045
"Covertype","Original data",0.908790264351182
"MNIST12","Original data",0.959895512644432
"MNIST28","Original data",0.979151682658972
