"source","source_row","source_col","dataset_label","method","metric","value","dataset","endpoint","provenance_note","paper_metric","matches_paper_metric","paper_score","difference_from_paper"
"Mar23.csv",16,6,"Adult","ctgan","test_f1_macro_end",0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"Mar23.csv",26,6,"Adult","tvae","test_f1_macro_end",0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"Mar23.csv",16,7,"Census","ctgan","test_f1_macro_end",0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"Mar23.csv",26,7,"Census","tvae","test_f1_macro_end",0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"Mar23.csv",16,8,"Covertype","ctgan","test_f1_macro_end",0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026
"Mar23.csv",26,8,"Covertype","tvae","test_f1_macro_end",0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814
"Mar23.csv",16,9,"MNIST12","ctgan","test_f1_macro_end",0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",26,9,"MNIST12","tvae","test_f1_macro_end",0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",16,10,"MNIST28","ctgan","test_f1_macro_end",0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",26,10,"MNIST28","tvae","test_f1_macro_end",0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",16,15,"Adult","ctgan","test_f1_macro_max",0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"Mar23.csv",26,15,"Adult","tvae","test_f1_macro_max",0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"Mar23.csv",16,16,"Census","ctgan","test_f1_macro_max",0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"Mar23.csv",26,16,"Census","tvae","test_f1_macro_max",0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"Mar23.csv",16,17,"Covertype","ctgan","test_f1_macro_max",0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426
"Mar23.csv",26,17,"Covertype","tvae","test_f1_macro_max",0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314
"Mar23.csv",16,18,"MNIST12","ctgan","test_f1_macro_max",0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",26,18,"MNIST12","tvae","test_f1_macro_max",0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",16,19,"MNIST28","ctgan","test_f1_macro_max",0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",26,19,"MNIST28","tvae","test_f1_macro_max",0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"Mar23.csv",16,24,"Adult","ctgan","test_f1_micro_end",0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"Mar23.csv",26,24,"Adult","tvae","test_f1_micro_end",0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"Mar23.csv",16,25,"Census","ctgan","test_f1_micro_end",0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"Mar23.csv",26,25,"Census","tvae","test_f1_micro_end",0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"Mar23.csv",16,26,"Covertype","ctgan","test_f1_micro_end",0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"Mar23.csv",26,26,"Covertype","tvae","test_f1_micro_end",0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"Mar23.csv",16,27,"MNIST12","ctgan","test_f1_micro_end",0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386
