"dataset_label","method","metric","source_older","source_row_older","source_col_older","value_older","dataset_older","endpoint_older","provenance_note_older","paper_metric_older","matches_paper_metric_older","paper_score_older","difference_from_paper_older","source_April29","source_row_April29","source_col_April29","value_April29","dataset_April29","endpoint_April29","provenance_note_April29","paper_metric_April29","matches_paper_metric_April29","paper_score_April29","difference_from_paper_April29","absolute_difference"
"Adult","ctgan","test_f1_macro_end","Mar23.csv",16,6,0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,19,0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_macro_end","April02.csv",16,8,0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,19,0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_macro_max","April02.csv",16,19,0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,32,0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_macro_max","Mar23.csv",16,15,0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,32,0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_micro_end","April02.csv",16,30,0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,45,0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_micro_end","Mar23.csv",16,24,0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,45,0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_micro_max","April02.csv",16,41,0.832878437959269,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,58,0.832878437959269,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","ctgan","test_f1_micro_max","Mar23.csv",16,33,0.832878437959269,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",16,58,0.832878437959269,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_macro_end","April02.csv",26,8,0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,19,0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_macro_end","Mar23.csv",26,6,0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,19,0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_macro_max","April02.csv",26,19,0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,32,0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_macro_max","Mar23.csv",26,15,0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,32,0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_micro_end","April02.csv",26,30,0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,45,0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_micro_end","Mar23.csv",26,24,0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,45,0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_micro_max","April02.csv",26,41,0.816712156204073,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,58,0.816712156204073,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Adult","tvae","test_f1_micro_max","Mar23.csv",26,33,0.816712156204073,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,"April29.csv",26,58,0.816712156204073,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_macro_end","April02.csv",16,9,0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,20,0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_macro_end","Mar23.csv",16,7,0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,20,0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_macro_max","April02.csv",16,20,0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,33,0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_macro_max","Mar23.csv",16,16,0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,33,0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_micro_end","April02.csv",16,31,0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,46,0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_micro_end","Mar23.csv",16,25,0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,46,0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_micro_max","April02.csv",16,42,0.82605500734831,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,59,0.82605500734831,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","ctgan","test_f1_micro_max","Mar23.csv",16,34,0.82605500734831,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",16,59,0.82605500734831,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_macro_end","April02.csv",26,9,0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,20,0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_macro_end","Mar23.csv",26,7,0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,20,0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_macro_max","Mar23.csv",26,16,0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,33,0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_macro_max","April02.csv",26,20,0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,33,0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
