"dataset","y_synth","macro_max","macro_end"
"Adult","ctgan",0.774334365357081,0.76652670227745
"Covertype","ctgan",0.483519528518426,0.474843098747026
"MNIST12","ctgan",0.481595237719201,0.470391688519029
"MNIST28","ctgan",0.445358108102636,0.391620406619296
"Adult","rf",0.775219157218301,0.746419985952135
"Covertype","rf",0.599619542081714,0.593335736108818
"MNIST12","rf",0.905821524152545,0.904402084332201
"MNIST28","rf",0.90961030045063,0.905733771877851
"Adult","tvae",0.746145960687984,0.720651244238144
"Covertype","tvae",0.297232071441686,0.267245919505186
"MNIST12","tvae",0.924846294322351,0.921689996836233
"MNIST28","tvae",0.935625921,0.928944942288383
"Adult","xgb",0.773577638630947,0.725236784934275
"Covertype","xgb",0.617295392526897,0.606140488125605
"MNIST12","xgb",0.91075807782003,0.909218194963491
"MNIST28","xgb",0.918405013544775,0.913602732353502
