"dataset","method","metric","score","series","panel"
"Adult","CTGAN","Binary F1",0.601,"Original paper","Adult | Binary F1"
"Adult","TVAE","Binary F1",0.626,"Original paper","Adult | Binary F1"
"Covertype","CTGAN","Macro-F1",0.324,"Original paper","Covertype | Macro-F1"
"Covertype","TVAE","Macro-F1",0.433,"Original paper","Covertype | Macro-F1"
"MNIST12","CTGAN","Accuracy",0.394,"Original paper","MNIST12 | Accuracy"
"MNIST12","TVAE","Accuracy",0.793,"Original paper","MNIST12 | Accuracy"
"MNIST28","CTGAN","Accuracy",0.371,"Original paper","MNIST28 | Accuracy"
"MNIST28","TVAE","Accuracy",0.794,"Original paper","MNIST28 | Accuracy"
"Adult","CTGAN","Binary F1",0.658107960759839,"Our final epoch","Adult | Binary F1"
"Adult","CTGAN","Binary F1",0.665734421520617,"Our test maximum","Adult | Binary F1"
"Adult","TVAE","Binary F1",0.566668615377775,"Our final epoch","Adult | Binary F1"
"Adult","TVAE","Binary F1",0.623366611422562,"Our test maximum","Adult | Binary F1"
"Covertype","CTGAN","Macro-F1",0.474843098747026,"Our final epoch","Covertype | Macro-F1"
"Covertype","CTGAN","Macro-F1",0.483519528518426,"Our test maximum","Covertype | Macro-F1"
"Covertype","TVAE","Macro-F1",0.267245919505186,"Our final epoch","Covertype | Macro-F1"
"Covertype","TVAE","Macro-F1",0.297232071441686,"Our test maximum","Covertype | Macro-F1"
"MNIST12","CTGAN","Accuracy",0.5326,"Our final epoch","MNIST12 | Accuracy"
"MNIST12","CTGAN","Accuracy",0.5544,"Our test maximum","MNIST12 | Accuracy"
"MNIST12","TVAE","Accuracy",0.9219,"Our final epoch","MNIST12 | Accuracy"
"MNIST12","TVAE","Accuracy",0.9252,"Our test maximum","MNIST12 | Accuracy"
"MNIST28","CTGAN","Accuracy",0.4077,"Our final epoch","MNIST28 | Accuracy"
"MNIST28","CTGAN","Accuracy",0.5341,"Our test maximum","MNIST28 | Accuracy"
"MNIST28","TVAE","Accuracy",0.9291,"Our final epoch","MNIST28 | Accuracy"
"MNIST28","TVAE","Accuracy",0.9361,"Our test maximum","MNIST28 | Accuracy"
