"dataset","method","metric","paper_score","source","table","version","endpoint","value","aliases_averaged","difference_from_paper","status"
"Adult","ctgan","Binary F1",0.601,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.658107960759839,3,0.0571079607598393,"Matching metric; different evaluation protocol"
"Adult","ctgan","Binary F1",0.601,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.665734421520617,3,0.064734421520617,"Matching metric; different evaluation protocol"
"Adult","tvae","Binary F1",0.626,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.566668615377775,3,-0.0593313846222251,"Matching metric; different evaluation protocol"
"Adult","tvae","Binary F1",0.626,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.623366611422562,3,-0.00263338857743833,"Matching metric; different evaluation protocol"
"Census_KDD","ctgan","Binary F1",0.391,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"Census_KDD","tvae","Binary F1",0.377,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"Covertype","ctgan","Macro-F1",0.324,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.474843098747026,1,0.150843098747026,"Matching metric; different evaluation protocol"
"Covertype","ctgan","Macro-F1",0.324,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.483519528518426,1,0.159519528518426,"Matching metric; different evaluation protocol"
"Covertype","tvae","Macro-F1",0.433,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.267245919505186,1,-0.165754080494814,"Matching metric; different evaluation protocol"
"Covertype","tvae","Macro-F1",0.433,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.297232071441686,1,-0.135767928558314,"Matching metric; different evaluation protocol"
"Credit","ctgan","Binary F1",0.672,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"Credit","tvae","Binary F1",0.098,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"Intrusion","ctgan","Macro-F1",0.528,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"Intrusion","tvae","Macro-F1",0.511,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"MNIST12","ctgan","Accuracy",0.394,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.5326,1,0.1386,"Matching metric; different evaluation protocol"
"MNIST12","ctgan","Accuracy",0.394,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.5544,1,0.1604,"Matching metric; different evaluation protocol"
"MNIST12","tvae","Accuracy",0.793,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.9219,1,0.1289,"Matching metric; different evaluation protocol"
"MNIST12","tvae","Accuracy",0.793,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.9252,1,0.1322,"Matching metric; different evaluation protocol"
"MNIST28","ctgan","Accuracy",0.371,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.4077,1,0.0367,"Matching metric; different evaluation protocol"
"MNIST28","ctgan","Accuracy",0.371,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.5341,1,0.1631,"Matching metric; different evaluation protocol"
"MNIST28","tvae","Accuracy",0.794,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","end",0.9291,1,0.1351,"Matching metric; different evaluation protocol"
"MNIST28","tvae","Accuracy",0.794,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2","max",0.9361,1,0.1421,"Matching metric; different evaluation protocol"
"News","ctgan","R-squared",-0.43,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
"News","tvae","R-squared",-0.2,"https://arxiv.org/pdf/1907.00503",6,"1907.00503v2",NA,NA,NA,NA,"No credible matching final dataset/result"
