,test_f1_binary_end,test_f1_binary_end,test_f1_binary_end,test_f1_binary_end,test_f1_binary_end,test_f1_binary_max,test_f1_binary_max,test_f1_binary_max,test_f1_binary_max,test_f1_binary_max,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max
train_option,mix,original,synthetic,synthetic,synthetic,mix,original,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
dataset_name,Adult_mix,Census_Kdd,Adult,Census,Census_Kdd,Adult_mix,Census_Kdd,Adult,Census,Census_Kdd,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28
augment_option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categorical,0.6261117040199218,,0.6069998258749782,0.6061543751074437,0.6072246696035243,0.6319109461966604,,0.6080944350758853,0.6076777414357032,0.6114991939817302,0.7347982198431702,,,,,,,0.7187076670888153,0.7165263753134499,0.7202976902626278,0.4801810746254698,0.791463152,0.8051613021162994,0.7433453135316489,,,,,,,0.7187076670888153,0.7187288961250002,0.7252313699509958,0.4803481342357591,0.7949670962628057,0.8104945617915569,0.7793407516271258,,,,,,,0.7630694940163762,0.7595003149275666,0.7660088179718665,0.6309647771572162,0.7922,0.8084,0.791727903,,,,,,,0.7634893974385891,0.7644341801385681,0.7723073693050598,0.6312401573109128,0.7957,0.8136
compare_sdv_categorical,,,0.6057459328487366,0.6081911262798635,0.6085621695377793,,,0.6075510910980256,0.6101231190150479,0.6096019135486076,,,,,,,,0.7170661259844104,0.7170731252988158,0.7172767629855854,0.4798331316582189,0.7961158189656352,0.8069919844070228,,,,,,,,0.7184464297183154,0.718724086,0.7182413689267395,0.4805055294556291,0.7990654773892916,0.8168666543037244,,,,,,,,0.7608650010497585,0.7589754356498005,0.7590804115053538,0.6312229460513068,0.8007,0.8084,,,,,,,,0.7624396388830569,0.7606550493386521,0.76013017,0.6316876500606697,0.8034,0.8183
compare_sdv_gaussian,,,0.3232858562437893,0.3262739907346128,0.3205853009644163,,,0.3814992025518341,0.4018867924528302,0.393795505,,,,,,,,0.5979305848299343,0.599631069,0.5966279574314135,0.3609857698298801,0.3978987848435641,0.3638834597293214,,,,,,,,0.6298398821077321,0.6410265615489957,0.6366511029849886,0.3651602464704934,0.4018261464037401,0.4015969845857017,,,,,,,,0.7855343271047659,0.7862691580936385,0.7855343271047659,0.4508231284906586,0.4826,0.3788,,,,,,,,0.7964518160823011,0.8003359227377703,0.7989712366155785,0.4531380429076702,0.4868,0.4051
compare_sdv_pca_gmm,,,0.6255629756173319,0.633290406,0.6330423537019075,,,0.6387485742219325,0.6421804886155892,0.6408894789246599,,,,,,,,0.7172054947855945,0.7279380377241917,0.7283041707884634,0.4855231191601863,0.7946713220102058,0.76696388,,,,,,,,0.7335438573780975,0.7385048971654855,0.7373800995114624,0.4977414989490513,0.799049102,0.7768115553102355,,,,,,,,0.746903212,0.7608650010497585,0.7617048078941844,0.6879770746022048,0.7994,0.7685,,,,,,,,0.7672685282385051,0.774721814,0.7732521520050388,0.6941042830219529,0.8035,0.7781
compare_sdv_rf,,,0.5872722471613414,0.6012115093387178,0.5942915392456677,,,0.644044637,0.6656176239181747,0.660759494,,,,,,,,0.7424405782154562,0.7482532033108433,0.7445281070104595,0.6303536041873461,0.873409404,0.8711462608676582,,,,,,,,0.7687176324771305,0.7743844958620149,0.7742031118438276,0.6304821161853542,0.8750969956702879,0.8749029796028042,,,,,,,,0.8359227377703128,0.834138148,0.8328784379592694,0.7799196234176399,0.8749,0.8706,,,,,,,,0.8410665546924208,0.8422212891035062,0.842116313,0.7808920595853808,0.8766,0.8744
compare_sdv_tvae_categoricalNB,,,,,0.6044474393530997,,,,,0.6057546693589096,,,,,,,,0.7128734645945641,0.7121166376799553,0.7127147230312312,0.490489877,0.8093031026565743,0.8285627200954797,,,,,,,,0.713755799,0.7139286074592206,0.7138453212749053,0.4906651132544689,0.8129681964715146,0.8322378836697109,,,,,,,,0.7535166911610329,0.7525719084610539,0.7535166911610329,0.6347,0.812,0.831,,,,,,,,0.7543564980054588,0.7546714255721184,0.754986353,0.635,0.8154,0.8347
compare_sdv_tvae_gaussianNB,,,,,0.3319064866644715,,,,,0.3883248730964467,,,,,,,,0.6002747859716371,0.6003994756881593,0.6026063810156576,0.3733258450846893,0.3980041428599746,0.4371185760014226,,,,,,,,0.6342046824960796,0.6395166837847434,0.6335335057306133,0.379948622,0.4038516591998338,0.4407853126919483,,,,,,,,0.7862691580936385,0.7861641822380853,0.787003989,0.4586,0.4731,0.5138,,,,,,,,0.7981314297711526,0.7994961158933446,0.7976065504933865,0.4608,0.4778,0.5165
compare_sdv_tvae_pca_gmm,,,,,0.6132908643405242,,,,,0.6331178824253616,,,,,,,,0.7052208652116598,0.7004852002408257,0.6966824844551529,0.3975439148479092,0.8104642601352893,0.8304517528435943,,,,,,,,0.7291849478767339,0.726899842,0.722083823,0.4345079476952128,0.8134890539953397,0.831846886,,,,,,,,0.7300021,0.7243334033172371,0.71960949,0.6692,0.813,0.833,,,,,,,,0.7613898803275246,0.756875919,0.7508922947722024,0.6802,0.816,0.8343
compare_sdv_tvae_rf,,,,,0.593904663,,,,,0.6629550321199144,,,,,,,,0.745627614,0.7520767058893754,0.7457132594898384,0.5493244915691269,0.9323312900535364,0.9460543310484828,,,,,,,,0.7711347277895999,0.776525897,0.7767563368081146,0.5519491857160768,0.9330500265880256,0.9481754792743964,,,,,,,,0.8371824480369515,0.8376023514591644,0.8363426411925258,0.7813,0.9327,0.9465,,,,,,,,0.8425362166701659,0.8405416754146546,0.840226748,0.7813,0.9334,0.9486
compare_sdv_tvae_xgb,,,,,0.5694154488517745,,,,,0.65532479,,,,,,,,0.7310692897125062,0.7298005193162309,0.7305027309961896,0.6239965758382997,0.9429362235836736,0.9598570628761118,,,,,,,,0.7737227777157561,0.7730231223616542,0.7739655755547414,0.6331176053371088,0.9449140713758448,0.9610001411003516,,,,,,,,0.8300440898593323,0.8254251522149906,0.8267898383371824,0.782,0.9432,0.9601,,,,,,,,0.8409615788368675,0.8394919168591224,0.8397018685702289,0.7841,0.9452,0.9612
compare_sdv_xgb,,,0.4935501962983735,0.5661650233523612,0.5617154811715481,,,0.6442307692307693,0.660234899,0.6557235421166306,,,,,,,,0.6884643658748745,0.728075274,0.7258275330732971,0.5925999127376259,0.8754956119144719,0.8608293168606955,,,,,,,,0.7692390179912588,0.7734106448478515,0.772598978,0.6037591743818826,0.8770008373139151,0.8707822087272559,,,,,,,,0.8104136048708797,0.8244803695150116,0.8240604660927987,0.7671574744197655,0.8766,0.855,,,,,,,,0.839806844,0.8418013856812933,0.8422212891035062,0.7678459248040068,0.8779,0.867
