"","lambda","log_likelihood"
"1",-2,73.8184257648123
"2",-1.98,74.1857996597029
"3",-1.96,74.5509341717099
"4",-1.94,74.9138173971787
"5",-1.92,75.2744374605994
"6",-1.9,75.6327825164971
"7",-1.88,75.988840751348
"8",-1.86,76.3426003855212
"9",-1.84,76.6940496752477
"10",-1.82,77.0431769146149
"11",-1.8,77.3899704375872
"12",-1.78,77.7344186200526
"13",-1.76,78.0765098818943
"14",-1.74,78.4162326890883
"15",-1.72,78.7535755558259
"16",-1.7,79.0885270466604
"17",-1.68,79.4210757786791
"18",-1.66,79.751210423699
"19",-1.64,80.0789197104866
"20",-1.62,80.4041924270003
"21",-1.6,80.727017422657
"22",-1.58,81.0473836106199
"23",-1.56,81.3652799701096
"24",-1.54,81.6806955487355
"25",-1.52,81.9936194648491
"26",-1.5,82.3040409099171
"27",-1.48,82.6119491509148
"28",-1.46,82.9173335327377
"29",-1.44,83.2201834806329
"30",-1.42,83.5204885026471
"31",-1.4,83.8182381920921
"32",-1.38,84.1134222300261
"33",-1.36,84.4060303877516
"34",-1.34,84.696052529326
"35",-1.32,84.9834786140876
"36",-1.3,85.2682986991927
"37",-1.28,85.5505029421668
"38",-1.26,85.8300816034642
"39",-1.24,86.1070250490384
"40",-1.22,86.381323752922
"41",-1.2,86.6529682998129
"42",-1.18,86.9219493876681
"43",-1.16,87.1882578303021
"44",-1.14,87.45188455999
"45",-1.12,87.7128206300735
"46",-1.1,87.971057217568
"47",-1.08,88.2265856257712
"48",-1.06,88.4793972868698
"49",-1.04,88.7294837645443
"50",-1.02,88.9768367565702
"51",-1,89.2214480974145
"52",-0.98,89.4633097608249
"53",-0.96,89.7024138624117
"54",-0.94,89.93875266222
"55",-0.92,90.1723185672909
"56",-0.9,90.4031041342107
"57",-0.88,90.6311020716451
"58",-0.86,90.8563052428589
"59",-0.84,91.0787066682175
"60",-0.82,91.2982995276698
"61",-0.8,91.5150771632112
"62",-0.78,91.7290330813233
"63",-0.76,91.9401609553912
"64",-0.74,92.1484546280937
"65",-0.72,92.3539081137678
"66",-0.7,92.5565156007431
"67",-0.68,92.7562714536464
"68",-0.66,92.9531702156737
"69",-0.64,93.1472066108279
"70",-0.62,93.3383755461214
"71",-0.6,93.5266721137404
"72",-0.58,93.7120915931707
"73",-0.56,93.8946294532823
"74",-0.54,94.0742813543716
"75",-0.52,94.2510431501589
"76",-0.5,94.4249108897404
"77",-0.48,94.5958808194927
"78",-0.46,94.7639493849267
"79",-0.44,94.9291132324927
"80",-0.42,95.091369211331
"81",-0.4,95.25071437497
"82",-0.38,95.4071459829669
"83",-0.36,95.5606615024928
"84",-0.34,95.7112586098579
"85",-0.32,95.8589351919769
"86",-0.3,96.003689347773
"87",-0.28,96.1455193895181
"88",-0.26,96.2844238441096
"89",-0.24,96.4204014542799
"90",-0.22,96.5534511797398
"91",-0.2,96.683572198254
"92",-0.18,96.8107639066463
"93",-0.16,96.9350259217333
"94",-0.14,97.0563580811888
"95",-0.12,97.1747604443312
"96",-0.0999999999999999,97.2902332928436
"97",-0.0800000000000001,97.4027771314106
"98",-0.0600000000000001,97.5123926882872
"99",-0.04,97.6190809157861
"100",-0.02,97.7228429906879
"101",0,97.8236803145814
"102",0.02,97.9215945141087
"103",0.04,98.0165874411479
"104",0.0600000000000001,98.1086611729078
"105",0.0800000000000001,98.1978180119411
"106",0.1,98.284060486082
"107",0.12,98.3673913482998
"108",0.14,98.4478135764693
"109",0.16,98.5253303730654
"110",0.18,98.5999451647703
"111",0.2,98.671661602004
"112",0.22,98.7404835583692
"113",0.24,98.8064151300174
"114",0.26,98.8694606349326
"115",0.28,98.9296246121338
"116",0.3,98.9869118207976
"117",0.32,99.0413272392995
"118",0.34,99.0928760641758
"119",0.36,99.1415637090055
"120",0.38,99.1873958032139
"121",0.4,99.2303781907976
"122",0.42,99.2705169289722
"123",0.44,99.3078182867434
"124",0.46,99.3422887434011
"125",0.48,99.3739349869406
"126",0.5,99.4027639124078
"127",0.52,99.4287826201725
"128",0.54,99.4519984141297
"129",0.56,99.4724187998297
"130",0.58,99.4900514825396
"131",0.6,99.5049043652353
"132",0.62,99.5169855465281
"133",0.64,99.5263033185242
"134",0.66,99.5328661646214
"135",0.68,99.5366827572424
"136",0.7,99.5377619555075
"137",0.72,99.5361128028471
"138",0.74,99.5317445245568
"139",0.76,99.5246665252962
"140",0.78,99.514888386533
"141",0.8,99.5024198639338
"142",0.82,99.487270884705
"143",0.84,99.469451544883
"144",0.86,99.4489721065777
"145",0.88,99.4258429951702
"146",0.9,99.4000747964671
"147",0.92,99.371678253812
"148",0.94,99.3406642651584
"149",0.96,99.307043880103
"150",0.98,99.2708282968845
"151",1,99.2320288593475
"152",1.02,99.190657053874
"153",1.04,99.1467245062859
"154",1.06,99.1002429787181
"155",1.08,99.0512243664661
"156",1.1,98.9996806948099
"157",1.12,98.9456241158144
"158",1.14,98.8890669051113
"159",1.16,98.8300214586616
"160",1.18,98.7685002895027
"161",1.2,98.7045160244802
"162",1.22,98.6380814009694
"163",1.24,98.5692092635843
"164",1.26,98.4979125608798
"165",1.28,98.4242043420466
"166",1.3,98.3480977536021
"167",1.32,98.2696060360783
"168",1.34,98.1887425207086
"169",1.36,98.1055206261167
"170",1.38,98.0199538550069
"171",1.4,97.9320557908599
"172",1.42,97.8418400946349
"173",1.44,97.749320501479
"174",1.46,97.6545108174473
"175",1.48,97.5574249162339
"176",1.5,97.4580767359159
"177",1.52,97.3564802757121
"178",1.54,97.2526495927576
"179",1.56,97.1465987988966
"180",1.58,97.0383420574939
"181",1.6,96.9278935802665
"182",1.62,96.8152676241387
"183",1.64,96.7004784881183
"184",1.66,96.5835405101998
"185",1.68,96.4644680642914
"186",1.7,96.3432755571703
"187",1.72,96.2199774254662
"188",1.74,96.0945881326742
"189",1.76,95.9671221661974
"190",1.78,95.837594034423
"191",1.8,95.7060182638287
"192",1.82,95.5724093961251
"193",1.84,95.4367819854303
"194",1.86,95.2991505954818
"195",1.88,95.1595297968835
"196",1.9,95.0179341643908
"197",1.92,94.8743782742316
"198",1.94,94.7288767014687
"199",1.96,94.5814440173985
"200",1.98,94.4320947869914
"201",2,94.2808435663721
