"dataset","method","has_y","tvae","approach","y_synth","macro_max","macro_end","configuration"
"Adult","ctgan",1,0,"old","ctgan",0.774334365357081,0.76652670227745,"CTGAN / ctgan / with y"
"Covertype","ctgan",1,0,"old","ctgan",0.483519528518426,0.474843098747026,"CTGAN / ctgan / with y"
"MNIST12","ctgan",1,0,"old","ctgan",0.481595237719201,0.470391688519029,"CTGAN / ctgan / with y"
"MNIST28","ctgan",1,0,"old","ctgan",0.445358108102636,0.391620406619296,"CTGAN / ctgan / with y"
"Adult","rf",0,0,"new","rf",0.776620976579954,0.751890228168875,"CTGAN / rf / without y"
"Covertype","rf",0,0,"new","rf",0.652716445067396,0.641457689013503,"CTGAN / rf / without y"
"MNIST12","rf",0,0,"new","rf",0.883717704338977,0.881621557248648,"CTGAN / rf / without y"
"MNIST28","rf",0,0,"new","rf",0.86757189444519,0.858753428773511,"CTGAN / rf / without y"
"Adult","compare_sdv_rf",1,0,"new","rf",0.772435080060991,0.745073962845586,"CTGAN / rf / with y"
"Covertype","compare_sdv_rf",1,0,"new","rf",0.630482116185354,0.630353604187346,"CTGAN / rf / with y"
"MNIST12","compare_sdv_rf",1,0,"new","rf",0.875096995670288,0.873409404,"CTGAN / rf / with y"
"MNIST28","compare_sdv_rf",1,0,"new","rf",0.874902979602804,0.871146260867658,"CTGAN / rf / with y"
"Adult","sdv_tvae_rf",0,1,"new","rf",0.777014918366352,0.740909893001007,"TVAE / rf / without y"
"Covertype","sdv_tvae_rf",0,1,"new","rf",0.563330421358028,0.552207159665297,"TVAE / rf / without y"
"MNIST12","sdv_tvae_rf",0,1,"new","rf",0.93142137001289,0.930246086026619,"TVAE / rf / without y"
"MNIST28","sdv_tvae_rf",0,1,"new","rf",0.947790848480129,0.94698106682175,"TVAE / rf / without y"
"Adult","compare_sdv_tvae_rf",1,1,"new","rf",0.774805653865905,0.747805859793071,"TVAE / rf / with y"
"Covertype","compare_sdv_tvae_rf",1,1,"new","rf",0.551949185716077,0.549324491569127,"TVAE / rf / with y"
"MNIST12","compare_sdv_tvae_rf",1,1,"new","rf",0.933050026588026,0.932331290053536,"TVAE / rf / with y"
"MNIST28","compare_sdv_tvae_rf",1,1,"new","rf",0.948175479274396,0.946054331048483,"TVAE / rf / with y"
"Adult","tvae",1,1,"old","tvae",0.746145960687984,0.720651244238144,"TVAE / tvae / with y"
"Covertype","tvae",1,1,"old","tvae",0.297232071441686,0.267245919505186,"TVAE / tvae / with y"
"MNIST12","tvae",1,1,"old","tvae",0.924846294322351,0.921689996836233,"TVAE / tvae / with y"
"MNIST28","tvae",1,1,"old","tvae",0.935625921,0.928944942288383,"TVAE / tvae / with y"
"Adult","xgb",0,0,"new","xgb",0.775322567011704,0.726484036081695,"CTGAN / xgb / without y"
"Covertype","xgb",0,0,"new","xgb",0.646754193,0.634647358314043,"CTGAN / xgb / without y"
"MNIST12","xgb",0,0,"new","xgb",0.880732309706116,0.878791543637358,"CTGAN / xgb / without y"
"MNIST28","xgb",0,0,"new","xgb",0.880160998496735,0.87275874427491,"CTGAN / xgb / without y"
"Adult","compare_sdv_xgb",1,0,"new","xgb",0.77174954694637,0.714122390982724,"CTGAN / xgb / with y"
"Covertype","compare_sdv_xgb",1,0,"new","xgb",0.603759174381883,0.592599912737626,"CTGAN / xgb / with y"
"MNIST12","compare_sdv_xgb",1,0,"new","xgb",0.877000837313915,0.875495611914472,"CTGAN / xgb / with y"
"MNIST28","compare_sdv_xgb",1,0,"new","xgb",0.870782208727256,0.860829316860696,"CTGAN / xgb / with y"
"Adult","sdv_tvae_xgb",0,1,"new","xgb",0.773667948688328,0.729883199331039,"TVAE / xgb / without y"
"Covertype","sdv_tvae_xgb",0,1,"new","xgb",0.585550597388596,0.573318105612451,"TVAE / xgb / without y"
"MNIST12","sdv_tvae_xgb",0,1,"new","xgb",0.940385092884243,0.93964940071846,"TVAE / xgb / without y"
"MNIST28","sdv_tvae_xgb",0,1,"new","xgb",0.961676705854757,0.960965805402292,"TVAE / xgb / without y"
"Adult","compare_sdv_tvae_xgb",1,1,"new","xgb",0.773570491877384,0.730457513341642,"TVAE / xgb / with y"
"Covertype","compare_sdv_tvae_xgb",1,1,"new","xgb",0.633117605337109,0.6239965758383,"TVAE / xgb / with y"
"MNIST12","compare_sdv_tvae_xgb",1,1,"new","xgb",0.944914071375845,0.942936223583674,"TVAE / xgb / with y"
"MNIST28","compare_sdv_tvae_xgb",1,1,"new","xgb",0.961000141100352,0.959857062876112,"TVAE / xgb / with y"
