Dataset,Train_Augment_Option,Augment_Type,test_accuracy_max,test_accuracy_end,test_f1_macro_max,test_f1_macro_end,test_f1_micro_max,test_f1_micro_end,test_f1_weighted_max,test_f1_weighted_end,test_f1_binary_max,test_f1_binary_end,test_loss_max,test_loss_end
adult,Original,original,0.8571278605920638,0.8563930296031913,0.7939532359539487,0.7923606054858388,0.8571278605920638,0.8563930296031913,0.8520479907471765,0.8517691381073824,,,,
adult,Synthetic,categorical,0.7877038280513681,0.7753866610679543,0.7337202155859756,0.7300701260016863,0.7877038280513681,0.7753866610679543,0.7953283033401402,0.7870491479377889,0.6319109461966604,0.6261117040199218,0.6997622373272786,0.6177557757139557
adult,Synthetic,ctgan,0.8388970536776541,0.834173140177759,0.7813156670815893,0.7772840953924066,0.8388970536776541,0.834173140177759,0.8381940771452424,0.8350987486542873,0.6789324706833805,0.6571834992887624,0.661035897637675,0.3470957603257868
adult,Synthetic,gaussian,0.7838897053677654,0.7826299951011267,0.5696502787336475,0.558547007793787,0.7838897053677654,0.7826299951011267,0.7258395474125159,0.7203134770310561,0.4451970443349753,0.4451970443349753,0.5969186206712909,0.5747980950210566
adult,Synthetic,pca_gmm,0.8311288403667157,0.8269997900482888,0.7551968756303244,0.7378129846945515,0.8311288403667157,0.8269997900482888,0.8243529594960975,0.8165534324640982,,,0.9933457883521085,0.9034199297315504
census,Original,original,0.8567079571698509,0.8558681503254252,0.7990390619495371,0.7976696706879707,0.8567079571698509,0.8558681503254252,0.8545042662884162,0.8535784861235993,,,,
census,Synthetic,categorical,0.7752991811883267,0.7716775141717405,0.7293229713662164,0.7263990302199955,0.7752991811883267,0.7716775141717405,0.7867453081326246,0.7837441746261105,0.6274439461883408,0.6222850079463182,0.5537660959361107,0.5393727179487638
census,Synthetic,ctgan,0.8264224229796346,0.8231681713205963,0.7747675518977322,0.773759327018765,0.8264224229796346,0.8231681713205963,0.829308390346774,0.828231178803507,,,,
census,Synthetic,gaussian,0.8043774931765694,0.8026716356227168,0.6697806124622656,0.6631147260979914,0.8043774931765694,0.8026716356227168,0.7781832125951501,0.7748018580129119,0.477872494009674,0.4659930386199638,0.5750454559362213,0.4679817307428379
census,Synthetic,pca_gmm,0.8352578906851424,0.8317237035481839,0.7687952142445864,0.7585230734906051,0.8352578906851424,0.8317237035481839,0.8311448248718382,0.8270138170550916,,,0.9307359443792761,0.8638861593276426
covertype,Original,original,0.8286719505233657,0.8270885146396106,0.6926233278731276,0.6870656031067877,0.8286719505233657,0.8270885146396106,0.8214578346863135,0.8188813874546023,,,0.6797670515163089,0.4390902492877004
covertype,Synthetic,categorical,0.7693303959450273,0.7685429808180513,0.6608747937077917,0.6549526329034809,0.7693303959450273,0.7685429808180513,0.7623787678859042,0.761622600403939,,,3.1839611528816443,2.957513463767043
covertype,Synthetic,ctgan,0.8297835110395888,0.8295827130108516,0.728486040777338,0.7226675637541478,0.8297835110395888,0.8295827130108516,0.8288828130913433,0.8285173399998235,,,0.558395819922774,0.430727333771794
covertype,Synthetic,gaussian,0.672030842577214,0.6714886878996239,0.5961650688861015,0.5940186104759444,0.672030842577214,0.6714886878996239,0.6524954448791933,0.6517140450302623,,,3.709720392427751,3.484549925100568
covertype,Synthetic,pca_gmm,0.7321497723810917,0.7231626263234742,0.47024581127880394,0.43876989958407436,0.7321497723810917,0.7231626263234742,0.7059457940542838,0.6908580258925654,,,1.546828474640965,1.3331920933917971
credit,Original,original,0.9998,0.9995,0.9686999198717948,0.9284462094379448,0.9998,0.9995,0.9997937600160256,0.9995071303352296,0.9375,0.8571428571428571,0.0049952408716082,0.0019445751272374
credit,Synthetic,categorical,0.99895,0.9989,0.7219594512812683,0.7140104239403106,0.99895,0.9989,0.9985309070948469,0.9984789267249385,0.4444444444444444,0.42857142857142855,0.02416858415063465,0.016695876371184252
credit,Synthetic,ctgan,0.79895,0.6932499999999999,0.49620779082567,0.4240634294919481,0.79895,0.6932499999999999,0.8741409166555976,0.7829712721461692,0.1169853085560256,0.06393113704340175,0.8135152487903833,0.7830902064442634
credit,Synthetic,gaussian,0.9989,0.9984500000000001,0.8389976989886578,0.7886867444289176,0.9989,0.9984500000000001,0.9988785200864688,0.9985077434004612,0.6785714285714286,0.5781499202551834,0.021572693129815152,0.0073563076055608
credit,Synthetic,pca_gmm,0.9976499999999999,0.99605,0.7543130228511438,0.7414326203096255,0.9976499999999999,0.99605,0.9979907931892994,0.9971443697101985,0.5098039215686274,0.4848484848484848,0.04484712367057795,0.01645574334282425
mnist12,Original,original,0.958,0.9578571428571429,0.9577739117377556,0.9576452122997384,0.958,0.9578571428571429,0.9580187543461202,0.9578731765346704,,,3.343544903073992,0.1986938103778021
mnist12,Synthetic,categorical,0.8499285714285714,0.849,0.8472242076491935,0.8462628458696139,0.8499285714285714,0.849,0.8488588317541124,0.847883910404699,,,3.0340820718492783,0.5217054760796683
mnist12,Synthetic,ctgan,0.7655714285714287,0.7369642857142857,0.7292636600055656,0.725154562559251,0.7655714285714287,0.7369642857142857,0.7623192343666922,0.727547630437263,,,3.436773560523987,0.9159242759602411
mnist12,Synthetic,gaussian,0.6791785714285714,0.6483928571428571,0.620880320209491,0.6164432061887027,0.6791785714285714,0.6483928571428571,0.6426229525409508,0.6197076767848254,,,3.66352994959695,1.1408929018974303
mnist28,Original,original,0.9785,0.9776428571428571,0.97842978093498,0.9775709718368089,0.9785,0.9776428571428571,0.9784989924679224,0.9776477624026196,,,2.9826914247785297,0.0971281668032918
mnist28,Synthetic,categorical,0.8215714285714286,0.8192857142857143,0.8197141502254898,0.8173843143746675,0.8215714285714286,0.8192857142857143,0.8220125762739064,0.8196814704919239,,,3.3669020464760915,0.8196561997277396
mnist28,Synthetic,ctgan,0.5615,0.5205,0.4855122694153236,0.4682453250937959,0.5615,0.5205,0.5082427001255072,0.4756322600139737,,,3.968689880643572,1.39440265587398
mnist28,Synthetic,gaussian,0.3624285714285714,0.3590714285714286,0.3334741388026395,0.328207453692966,0.3624285714285714,0.3590714285714286,0.33056653899577,0.32551962500575,,,4.326287531716483,2.176162950515747
