global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,0.39296202727726526,0.8538950892857143,0.46467111230955843,0.8538950892857143,0.8463782308092259,0.39189323939775167,0.8576274671052632,0.4634143545884216,0.8576274671052632,0.8500431689133844,1.2415428137030966,0.6534857103517121,0.22884989421734225,0.6534857103517121,0.6102068310198613
2,0.34198018005916053,0.86859375,0.48176815208968243,0.86859375,0.8617341550998818,0.34284316081749766,0.8694490131578947,0.4777229868504686,0.8694490131578947,0.8624606919794388,1.3055520543140904,0.6465495727304803,0.2061079984891587,0.6465495727304803,0.5973243462807789
3,0.3213062790461949,0.8740736607142857,0.5096216514549793,0.8740736607142857,0.86917747048755,0.3243909807581651,0.8725328947368421,0.5012531190354604,0.8725328947368421,0.8674250152603394,1.3133331351574309,0.6464979389516622,0.20209329304283813,0.6464979389516622,0.5957070691422601
4,0.3080445831162589,0.878671875,0.5271909432103533,0.878671875,0.8747113926637725,0.313547283411026,0.8787006578947368,0.5184157595471921,0.8787006578947368,0.8746784767049899,1.3639457498968495,0.6444928272075592,0.20028552878437952,0.6444928272075592,0.5933233448100298
5,0.2983784564052309,0.8829352678571428,0.5500315247385608,0.8829352678571428,0.879568706408818,0.3055780945639861,0.8807565789473685,0.5280692876253817,0.8807565789473685,0.8772937376469817,1.4131450648110957,0.6420746452329114,0.19942907145244046,0.6420746452329114,0.5909303301971157
6,0.28579516853604997,0.8872098214285714,0.5652598310803857,0.8872098214285714,0.8840594747663588,0.29531903015939814,0.8846628289473685,0.5585404859697697,0.8846628289473685,0.8812760357750438,1.4025459119646024,0.6442776864624837,0.19940744043102201,0.6442776864624837,0.5929664904563077
7,0.27786752317632946,0.8902566964285714,0.5496210972693719,0.8902566964285714,0.8863600423571428,0.28803208627198873,0.8856907894736842,0.5255193398818797,0.8856907894736842,0.8815370406625407,1.4777186642776188,0.6445014328373622,0.19942719117091326,0.6445014328373622,0.593211321927642
8,0.2725262883731297,0.8915178571428571,0.5722578403246252,0.8915178571428571,0.8878985341345742,0.28408930803600113,0.8881578947368421,0.5571479251763594,0.8881578947368421,0.8843830871117712,1.495509102515977,0.647401530080979,0.20051222942659527,0.647401530080979,0.5959634345285632
9,0.267043342760631,0.8941294642857143,0.6027141210283489,0.8941294642857143,0.8911035801343862,0.27985813272626775,0.8891858552631579,0.558882668037438,0.8891858552631579,0.8859134641274857,1.4911173599804077,0.6451984888514066,0.19919583172616248,0.6451984888514066,0.5937411507997311
10,0.263714838879449,0.8965401785714285,0.6101849858159983,0.8965401785714285,0.8936256292990846,0.27717257408719315,0.8898026315789473,0.5630943170448307,0.8898026315789473,0.8868078818362456,1.4620792946222496,0.6483653606189169,0.199985413402154,0.6483653606189169,0.596720587547856
11,0.2572940673146929,0.8974665178571428,0.6126086518794739,0.8974665178571428,0.8944730669617046,0.2706979270044126,0.8922697368421053,0.564456027058063,0.8922697368421053,0.889106419726064,1.4625403740887724,0.6476941214942815,0.20082347213538562,0.6476941214942815,0.5963943674554137
12,0.2549073252507619,0.8984263392857142,0.6113445683275698,0.8984263392857142,0.895926034536253,0.26810703779521744,0.89453125,0.5848281246512385,0.89453125,0.8918745374308097,1.4670646921463564,0.6479178678691601,0.19985456877160532,0.6479178678691601,0.5963092558763395
13,0.25182381434100015,0.9006696428571429,0.634033221305258,0.9006696428571429,0.8985516724501255,0.26686625653191615,0.8920641447368421,0.5710134181202535,0.8920641447368421,0.8899406532384726,1.4808918433053033,0.6481760367632505,0.19993142133018058,0.6481760367632505,0.5965466770184473
14,0.2494090565613338,0.9008816964285714,0.6408166964969754,0.9008816964285714,0.8987850416580184,0.26433392025922475,0.895250822368421,0.5870014356939735,0.895250822368421,0.8929138364967014,1.4713315775897875,0.6473585019319639,0.2000682406889693,0.6473585019319639,0.5958826072284561
15,0.24655450667653764,0.9018191964285714,0.6028150178965771,0.9018191964285714,0.8992302229115304,0.26083127134724665,0.896484375,0.5774878706490412,0.896484375,0.8934898018171048,1.5361994307458677,0.6477113327538876,0.19985329461568638,0.6477113327538876,0.5961152396770242
16,0.24301292708941868,0.9027901785714286,0.6489071899556158,0.9027901785714286,0.9007474613762876,0.25793460246763733,0.8978207236842105,0.5897213844633711,0.8978207236842105,0.8954345015365635,1.4829911120732762,0.6485977126235983,0.20107198883514013,0.6485977126235983,0.5972473239071663
17,0.24253473928996494,0.9036495535714286,0.6633960443962875,0.9036495535714286,0.9020230584760548,0.2590433076808327,0.8956620065789473,0.5955072316774156,0.8956620065789473,0.8937865554833845,1.530262173077201,0.6493291911568548,0.20029604632158526,0.6493291911568548,0.5976202021349133
18,0.23945147837911335,0.904765625,0.6605988232605847,0.904765625,0.9029251259687433,0.2556333298745908,0.8983347039473685,0.5876703062241733,0.8983347039473685,0.896288937033713,1.5607834682857877,0.6488214589984768,0.20007164032966415,0.6488214589984768,0.5971313988192378
19,0.23782019657748085,0.904921875,0.6555693635975951,0.904921875,0.9028499196429256,0.25269150733947754,0.897717927631579,0.5834801858916723,0.897717927631579,0.8951921729652451,1.5294229061389364,0.6495013037529151,0.2002360638517629,0.6495013037529151,0.5977428569795048
20,0.23463029980659486,0.9056473214285714,0.6328265439052856,0.9056473214285714,0.9035473130033709,0.25283001912267583,0.8982319078947368,0.5921270483043644,0.8982319078947368,0.8958868576781258,1.57869372067648,0.6487181914408406,0.20008351960212303,0.6487181914408406,0.5970468810295657
21,0.23626000719411033,0.9056361607142858,0.6495013602361476,0.9056361607142858,0.9036327828935532,0.25401157611294795,0.8994654605263158,0.5918450068359267,0.8994654605263158,0.8973133627888741,1.4667538830201192,0.6522637109196836,0.2024506766711724,0.6522637109196836,0.6007244378418088
