global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,4.079542410662874,0.4280239218328841,0.01524753889425105,0.4280239218328841,0.3471090822127454,4.0715390255576684,0.4309210526315789,0.02016890878668012,0.4309210526315789,0.3500118732379968,4.326287531716483,0.2335,0.016891377146570255,0.2335,0.1727595376458703
2,3.792283247101982,0.45968455188679247,0.02003014489734553,0.45968455188679247,0.39023047754229284,3.779698974207828,0.46484375,0.041680474785107585,0.46484375,0.3908410851124619,4.0639498312813895,0.2847142857142857,0.03517631311243477,0.2847142857142857,0.21791230281829302
3,3.615985567678981,0.486744019541779,0.02581300476996857,0.486744019541779,0.43171450564943437,3.5996925830841064,0.4985608552631579,0.07861610648321729,0.4985608552631579,0.4406735556474061,3.8917802085876465,0.3025,0.056299168527732764,0.3025,0.23802825571961342
4,3.438945493286832,0.5174043969002695,0.029993742927954325,0.5174043969002695,0.471465900360337,3.423987601932726,0.5205592105263158,0.08896471830507123,0.5205592105263158,0.4722133132263966,3.775806465148926,0.30507142857142855,0.0672253193755105,0.30507142857142855,0.24468611034531243
5,3.2605221534996343,0.5475909703504043,0.043654053637961036,0.5475909703504043,0.5099501940674593,3.250961102937397,0.549547697368421,0.15867045892805104,0.549547697368421,0.5092831851207008,3.7015887876238143,0.3045,0.07850553727413098,0.3045,0.24758272090798508
6,3.1020625775072452,0.5768509939353099,0.05691889958532376,0.5768509939353099,0.5448683202307857,3.100243643710488,0.5764802631578947,0.2068710312836373,0.5764802631578947,0.5424052178964082,3.654034235273089,0.30614285714285716,0.12670058952320573,0.30614285714285716,0.24987563574118732
7,2.9505304808243906,0.6065427055256065,0.06910214337705613,0.6065427055256065,0.5812988115638013,2.9554981557946456,0.5995065789473685,0.21817317622668653,0.5995065789473685,0.571943611041758,3.6127926344190326,0.30192857142857144,0.10898538468754464,0.30192857142857144,0.24750641374753146
8,2.8078935911070624,0.636150185309973,0.10980921382353341,0.636150185309973,0.6162159286547836,2.820087746569985,0.6256167763157895,0.30005064965267947,0.6256167763157895,0.6026555888800815,3.5678191182272774,0.3082142857142857,0.14384470505741184,0.3082142857142857,0.2559014927871303
9,2.6759911483188845,0.6615671327493261,0.09734647349392613,0.6615671327493261,0.6449263351078706,2.6930404336828935,0.649671052631579,0.26140200256785207,0.649671052631579,0.6295984612026955,3.526199531555176,0.314,0.1554145761173587,0.314,0.2611474784853508
10,2.5668755342375555,0.6812773753369272,0.1342322842085594,0.6812773753369272,0.6662286204071536,2.5876974432091964,0.661389802631579,0.41297087154571827,0.661389802631579,0.642519921085953,3.4870692274911064,0.3162142857142857,0.22142297240705147,0.3162142857142857,0.26268490491655216
