global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,2.2549702508108957,0.8181361607142857,0.09159407621528491,0.8181361607142857,0.823409289206587,2.2599406242370605,0.8152754934210527,0.14275734758878117,0.8152754934210527,0.8198870803383362,2.125304783248901,0.7099,0.15058658671873462,0.7099,0.7127789645718401
2,1.8459236689976284,0.8710491071428571,0.14468262978361518,0.8710491071428571,0.8742333720207517,1.8583018717012907,0.8591694078947368,0.2518863228247731,0.8591694078947368,0.8619631065898602,1.7389820693969726,0.7468,0.275618368036374,0.7468,0.7484001856069914
3,1.5880451372691564,0.8985602678571428,0.319525869470072,0.8985602678571428,0.8998102705234075,1.6141983145161678,0.8793174342105263,0.5830910897714625,0.8793174342105263,0.88014415441963,1.5143574630737304,0.7665,0.4772725428061238,0.7665,0.7674664623587505
4,1.384911061695644,0.9144196428571428,0.3139699597425909,0.9144196428571428,0.9152819614600607,1.420893531096609,0.8922697368421053,0.4928335550280613,0.8922697368421053,0.8926708116009261,1.3555621091842651,0.7796,0.48556143382723177,0.7796,0.780406838475189
5,1.225556435585022,0.9241294642857143,0.41825948917357164,0.9241294642857143,0.924297714688289,1.2696156627253483,0.8983347039473685,0.6379872145916174,0.8983347039473685,0.8982422402221178,1.252800234413147,0.7886,0.6041131897377243,0.7886,0.7888134357741815
6,1.1358789069311959,0.9357700892857143,0.7168696688724793,0.9357700892857143,0.9357362400292804,1.1854637484801442,0.9072779605263158,0.8205820620981364,0.9072779605263158,0.9070885195278737,1.1917289125442505,0.7946,0.7193922096643187,0.7946,0.7947706706992261
7,1.0145909030096871,0.9388950892857143,0.6232468051091618,0.9388950892857143,0.9389211815054348,1.0679400029935335,0.9066611842105263,0.7511978353073495,0.9066611842105263,0.9066385756450549,1.1310309022903442,0.797,0.721745478237872,0.797,0.7972202933044655
8,0.9702124616077968,0.9392745535714285,0.6683372361670222,0.9392745535714285,0.9391715481508879,1.0282514754094576,0.9085115131578947,0.9037260584657083,0.9085115131578947,0.9082516684749432,1.10395606174469,0.8022,0.7988556282022033,0.8022,0.8021023146385159
9,0.8612230597223555,0.9477901785714286,0.5552546597366569,0.9477901785714286,0.9477430684417941,0.922735427555285,0.9131373355263158,0.8249716985800657,0.9131373355263158,0.9128958055676115,1.0543341079711914,0.8034,0.6668495987518703,0.8034,0.8034761229267099
10,0.8258944143567767,0.9514285714285714,0.6319185739887765,0.9514285714285714,0.9513781271543665,0.8912326505309657,0.9146792763157895,0.9097529141258291,0.9146792763157895,0.9144547806023823,1.0376406070709228,0.8046,0.8014959543529601,0.8046,0.8047027303437688
