global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,train_f1_binary,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,dev_f1_binary,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted,test_f1_binary
1,0.004631662358956797,0.9993728844294004,0.9031063698701576,0.9993728844294004,0.9993524523409271,0.8065268065268065,0.0036883916473016143,0.9995888157894737,0.9284684843671873,0.9995888157894737,0.9995594878177532,0.8571428571428571,0.0049952408716082575,0.999,0.8330829577699883,0.999,0.9989334334835588,0.6666666666666666
2,0.003392978904839079,0.9993879956479691,0.9086305256289362,0.9993879956479691,0.999379051178261,0.8175675675675675,0.0023962198496232496,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.0031794079560786485,0.9992,0.8747996794871795,0.9992,0.9991750400641025,0.75
3,0.0031614245212606713,0.9993917734526112,0.9090923330416805,0.9993917734526112,0.9993825318764766,0.818489289740699,0.002229105138930639,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.0029294291079044344,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
4,0.003026577389996762,0.9993993290618955,0.9100190723383684,0.9993993290618955,0.9993895040400245,0.8203389830508474,0.0022750918812418698,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.002829241932183504,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
5,0.0030283731140403032,0.999410662475822,0.9114170455988483,0.999410662475822,0.9993999893866177,0.8231292517006803,0.0021532984334810047,0.9997944078947368,0.9666151892652459,0.9997944078947368,0.9997875654079088,0.9333333333333333,0.0030943469770252706,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
6,0.002969994366013211,0.9994484405222437,0.9159538371799233,0.9994484405222437,0.9994345159994489,0.832183908045977,0.002265543936549588,0.9997944078947368,0.9666151892652459,0.9997944078947368,0.9997875654079088,0.9333333333333333,0.0027473441978916524,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
7,0.002789104755921019,0.9994182180851063,0.9109397665597014,0.9994182180851063,0.9994021212162959,0.8221709006928406,0.0021790650801114296,0.9997944078947368,0.9666151892652459,0.9997944078947368,0.9997875654079088,0.9333333333333333,0.002795303363725543,0.9992,0.8747996794871795,0.9992,0.9991750400641025,0.75
8,0.002695913994166069,0.9994219958897486,0.9122263943155848,0.9994219958897486,0.999408445474276,0.8247422680412371,0.0022732221523734837,0.9997944078947368,0.9666151892652459,0.9997944078947368,0.9997875654079088,0.9333333333333333,0.002664130774885416,0.9992,0.8747996794871795,0.9992,0.9991750400641025,0.75
9,0.0028220662154312803,0.9994182180851063,0.9105271711441123,0.9994182180851063,0.9994006987574751,0.8213457076566125,0.0023678222450574764,0.9997944078947368,0.9666151892652459,0.9997944078947368,0.9997875654079088,0.9333333333333333,0.00269997720643878,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
10,0.0025925595749150335,0.9994219958897486,0.9124266883186913,0.9994219958897486,0.9994091359805072,0.8251428571428572,0.002017032282310538,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.0026814808025956154,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
11,0.002540205203025328,0.9994408849129593,0.9153851037112288,0.9994408849129593,0.9994287780869754,0.8310502283105022,0.0021491948542748823,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.002609498188458383,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
12,0.0024932440000274797,0.999455996131528,0.915947694345197,0.999455996131528,0.9994382719102021,0.8321678321678322,0.0022005249331031288,0.9997944078947368,0.9666151892652459,0.9997944078947368,0.9997875654079088,0.9333333333333333,0.002438192305713892,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
13,0.0023986346633934055,0.9994484405222437,0.9161462863040202,0.9994484405222437,0.9994351794679472,0.8325688073394495,0.002280156234758722,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.0024404716096818446,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
14,0.0024142923109773855,0.9994371071083172,0.9149103545612527,0.9994371071083172,0.9994252527877048,0.830102622576967,0.0021739312048195737,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.00228593549951911,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
15,0.002258162699167831,0.9994371071083172,0.9143251757569641,0.9994371071083172,0.9994232354052017,0.8289322617680827,0.0021988486026346342,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.002150104965735227,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
16,0.0022742353561400175,0.9994371071083172,0.9151036388713447,0.9994371071083172,0.9994259191185956,0.8304891922639362,0.0021369502823003323,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.002243663460109383,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
17,0.0021250956943490574,0.999433329303675,0.9148240823065849,0.999433329303675,0.9994230667179015,0.8299319727891157,0.0022281576231379355,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.0023296922016888856,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
18,0.0021891000505404336,0.9994748851547389,0.9197070295884726,0.9994748851547389,0.9994606752857227,0.839677047289504,0.002312550021375309,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.002338098605442792,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
19,0.002125401123210068,0.9994182180851063,0.9088377732623819,0.9994182180851063,0.9993948742022302,0.817966903073286,0.002243953965884621,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.002260043521411717,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
20,0.002133259188598972,0.9993955512572534,0.9027612736074941,0.9993955512572534,0.9993625927723797,0.8058252427184466,0.002346603123824982,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.0021117424006573855,0.9996,0.9373998397435898,0.9996,0.9995875200320513,0.875
21,0.0020687879842807184,0.9993955512572534,0.9032302936150324,0.9993955512572534,0.9993642099751465,0.8067632850241546,0.0025215630582686955,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.0023126710218377413,0.9996,0.9373998397435898,0.9996,0.9995875200320513,0.875
22,0.0018997054702308304,0.9994937741779497,0.9212347418906262,0.9994937741779497,0.9994753848536246,0.8427230046948356,0.002368453824410129,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.0019911917509976775,0.9996,0.9410763002987431,0.9996,0.9996,0.8823529411764706
23,0.0017733569483050823,0.9994711073500967,0.9184722128601199,0.9994711073500967,0.9994545295984614,0.8372093023255814,0.0022441697629370823,0.9996916118421053,0.9515356831485864,0.9996916118421053,0.9996866457774778,0.9032258064516129,0.0020294159184675665,0.9995,0.9284462094379449,0.9995,0.9995071303352295,0.8571428571428571
24,0.001988686115436178,0.9994371071083172,0.9059120291016262,0.9994371071083172,0.9993942269917673,0.8121059268600253,0.0026346068445586993,0.9994860197368421,0.9136644165691901,0.9994860197368421,0.9994594742363262,0.8275862068965517,0.0024197900526691228,0.9995,0.9136679219350817,0.9995,0.9994569591424807,0.8275862068965517
25,0.0017513316095510497,0.9994862185686654,0.9220681385796639,0.9994862185686654,0.9994744809982619,0.8443935926773455,0.002331416692724911,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.0021837257460225372,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
26,0.0017114413321307766,0.9995391078336557,0.9297696447667853,0.9995391078336557,0.9995274722735121,0.8597701149425288,0.002303391828766172,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.002137903057411313,0.9996,0.9410763002987431,0.9996,0.9996,0.8823529411764706
27,0.0017308956608420546,0.9995051075918762,0.9221773844375232,0.9995051075918762,0.999484300165451,0.8446026097271648,0.002387117066207697,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.0021523379936348648,0.9998,0.9686999198717949,0.9998,0.9997937600160256,0.9375
28,0.001693818998590243,0.9994635517408124,0.9139092618972173,0.9994635517408124,0.9994350204592874,0.8280871670702179,0.0023014704268127005,0.9995888157894737,0.9332303785304918,0.9995888157894737,0.9995751308158175,0.8666666666666667,0.0019398631643969566,0.9998,0.9686999198717949,0.9998,0.9997937600160256,0.9375
29,0.001814890468156721,0.9995315522243714,0.9237156315443242,0.9995315522243714,0.999502822101714,0.8476658476658476,0.0027922939687797274,0.999280427631579,0.8701902272852913,0.999280427631579,0.9992138931504192,0.7407407407407407,0.0022942050540121274,0.9997,0.9515377867953392,0.9997,0.9996855064058969,0.9032258064516129
30,0.0018490276020809062,0.9994673295454546,0.9102859479792411,0.9994673295454546,0.9994244144037283,0.820838627700127,0.0026107625933371693,0.9993832236842105,0.892702726550781,0.9993832236842105,0.9993392317266299,0.7857142857142857,0.0023114681132603435,0.9996,0.9332331831079954,0.9996,0.9995733733934236,0.8666666666666667
