global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,3.483899262238844,0.7376379456706282,0.032555826818136235,0.7376379456706282,0.755440486419004,3.476741389224404,0.7323190789473685,0.0644531701746832,0.7323190789473685,0.7500509262929289,2.9031042123522077,0.7957142857142857,0.0777231893249316,0.7957142857142857,0.8022074320410796
2,3.2712268161449853,0.7841747134974533,0.036554364949465463,0.7841747134974533,0.7967382739184842,3.266847723408749,0.7796052631578947,0.08130478634951377,0.7796052631578947,0.7925902332885215,2.67109974861145,0.8257142857142857,0.1022234869736667,0.8257142857142857,0.8294703835972045
3,3.066155897943597,0.8073005093378608,0.04169983779083506,0.8073005093378608,0.8166540645465168,3.0656555326361405,0.799547697368421,0.11336733725736652,0.799547697368421,0.8086690165005709,2.4540922273908343,0.8362142857142857,0.1641503088651242,0.8362142857142857,0.8385075953368787
4,2.889353140505546,0.8269312393887945,0.052217082721311016,0.8269312393887945,0.8345384949299696,2.892339819356015,0.817639802631579,0.1519969648811508,0.817639802631579,0.8248774499017902,2.293787210736956,0.8452857142857143,0.18786978685081734,0.8452857142857143,0.8466401941679641
5,2.733071715398636,0.8401687181663837,0.05926305549682357,0.8401687181663837,0.8458654197747838,2.739664391467446,0.8314144736842105,0.19817485657690476,0.8314144736842105,0.8366165538274659,2.1537013124738422,0.8497857142857143,0.28299754182694864,0.8497857142857143,0.8502580579248868
6,2.5564743662932936,0.8504350594227504,0.07146272500116335,0.8504350594227504,0.8547681624157984,2.5652794085050883,0.8408717105263158,0.24704385329535056,0.8408717105263158,0.8447081498859936,1.9955003247942242,0.8529285714285715,0.3407656511248542,0.8529285714285715,0.8531628396588465
7,2.4270545800796794,0.8596336481324278,0.09754610407658913,0.8596336481324278,0.8627485853983802,2.4354982125131706,0.8540296052631579,0.30434313976925303,0.8540296052631579,0.8566690744882333,1.9030001874651228,0.8559285714285715,0.3884278062706887,0.8559285714285715,0.8557846525425518
8,2.2980860433270855,0.866723259762309,0.14409601185409354,0.866723259762309,0.8690944722655507,2.3086052317368355,0.8577302631578947,0.3886171631693827,0.8577302631578947,0.8594726869340447,1.7937365465164186,0.8598571428571429,0.42919657612184664,0.8598571428571429,0.8595601421480611
9,2.1863549451876576,0.8705432937181664,0.13774502522287752,0.8705432937181664,0.8724340631947564,2.1982672214508057,0.8628700657894737,0.4296862390015289,0.8628700657894737,0.8640602825510376,1.7079896625791278,0.8599285714285714,0.4087572186312131,0.8599285714285714,0.8595884903643515
10,2.0825105209302013,0.875656568336163,0.16145944278434735,0.875656568336163,0.8767644844816851,2.0956086610492908,0.8688322368421053,0.5765264275388522,0.8688322368421053,0.8691296516584897,1.631840650013515,0.8616428571428572,0.5373915811882736,0.8616428571428572,0.8610758030810047
