global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,2.0242494197235894,0.8868395618556701,0.12889414466097893,0.8868395618556701,0.8900507480504293,2.0001602235593294,0.8876439144736842,0.21207621011536465,0.8876439144736842,0.8912773474515061,2.0123335079193114,0.8851,0.17749269476642254,0.8851,0.8882017601708084
2,1.6708971569218587,0.9180492912371134,0.15584160766555302,0.9180492912371134,0.9199927246552578,1.6496502600218121,0.9153988486842105,0.3160874312015587,0.9153988486842105,0.9171001909021967,1.6698194791793823,0.9152,0.23500722255000647,0.9152,0.9171068832831435
3,1.43219001883084,0.9318822487113402,0.34556345549272266,0.9318822487113402,0.9334812269788552,1.4129201299265812,0.9292763157894737,0.4895496043358384,0.9292763157894737,0.9305467886301917,1.43735133934021,0.9275,0.37147925026425027,0.9275,0.9292289673195874
4,1.2382150482885617,0.9412048969072165,0.3489460361739568,0.9412048969072165,0.94247885643445,1.226796827818218,0.938219572368421,0.4941608342684842,0.938219572368421,0.9392080795428387,1.2466803939819335,0.9362,0.44619738673903475,0.9362,0.9373903816367347
5,1.1033604366263163,0.9475273840206185,0.47393774946500533,0.9475273840206185,0.9481715503108548,1.0992660459719206,0.9449013157894737,0.6749843195255604,0.9449013157894737,0.9453786904490225,1.1208663577079774,0.9424,0.6732414962059196,0.9424,0.9429698946739951
6,0.9961809724876561,0.9526014819587629,0.4538136208689744,0.9526014819587629,0.9532378091301666,0.9986076543205663,0.9491159539473685,0.5273978200563217,0.9491159539473685,0.9496457427727906,1.0143492733001709,0.9478,0.5576854978059691,0.9478,0.9483241457333206
7,0.8887571231606081,0.9581789626288659,0.38330722677724166,0.9581789626288659,0.9584798594892249,0.8967914079364977,0.9530222039473685,0.6806361145476991,0.9530222039473685,0.9532132951121808,0.9132867287635803,0.9504,0.6787741101598793,0.9504,0.9505775770261938
8,0.8080751662401809,0.9616221005154639,0.686971741460938,0.9616221005154639,0.9619713805591148,0.8200378825790003,0.9548725328947368,0.7345644396827093,0.9548725328947368,0.9552473067139521,0.8355380838394165,0.9519,0.7322498930882085,0.9519,0.9522358170256342
9,0.7351358754118693,0.9652867268041238,0.45973066265195345,0.9652867268041238,0.9655863848090034,0.7501171513607627,0.9580592105263158,0.7982608411033899,0.9580592105263158,0.9581494159232861,0.7652274910926818,0.9553,0.734809198579961,0.9553,0.9554757637301482
10,0.687783454496836,0.9681862113402062,0.5695742565623871,0.9681862113402062,0.9683758162066879,0.7049329123998943,0.9612458881578947,0.8737060347313029,0.9612458881578947,0.9613073052353227,0.7208278977394104,0.9579,0.7981747260085568,0.9579,0.9580267793658482
11,0.6164356359501475,0.9704010953608248,0.5708564008728415,0.9704010953608248,0.9705416666983204,0.6348291729625902,0.9626850328947368,0.8021728467975452,0.9626850328947368,0.9627778765315871,0.6506766994476318,0.9589,0.8716801829594235,0.9589,0.9589862243630946
12,0.5793872217542118,0.9725757087628866,0.7481271931351059,0.9725757087628866,0.9726674018648555,0.6013086155841225,0.962890625,0.9627361404945181,0.962890625,0.962906468340857,0.6163999384880066,0.9611,0.8008263008176996,0.9611,0.9611886298562741
13,0.5394956343567249,0.9738845038659794,0.8115780899318429,0.9738845038659794,0.9739769063086846,0.5620965926270736,0.9652549342105263,0.8773624625361106,0.9652549342105263,0.9653175308942189,0.581735872220993,0.9634,0.8757931617347093,0.9634,0.963488643335417
14,0.4938287913184805,0.9763208762886598,0.6974383793981562,0.9763208762886598,0.9764472368991634,0.5175674792967344,0.9662828947368421,0.8051622724929333,0.9662828947368421,0.9663885555912051,0.534755226135254,0.9645,0.876747892129248,0.9645,0.9645291782253759
15,0.46063337283036143,0.9777504832474226,0.6984274975907977,0.9777504832474226,0.9778706414125564,0.4855816301546599,0.9685444078947368,0.8803521642301054,0.9685444078947368,0.9686068095089916,0.5064660426616668,0.9636,0.8028935008701689,0.9636,0.9637034100513138
16,0.4270161743631068,0.9794619845360825,0.7534836363197125,0.9794619845360825,0.9796084999258361,0.45731470145677267,0.9678248355263158,0.8797286128749776,0.9678248355263158,0.9679500766699202,0.4757849096775055,0.9649,0.8771998188107806,0.9649,0.9651049216122177
17,0.39423971692311394,0.9805492912371134,0.7004479574788413,0.9805492912371134,0.9806934306549077,0.4276078594358344,0.9693667763157895,0.8077568667801701,0.9693667763157895,0.9694763420683951,0.4413226788043976,0.9654,0.877561874113217,0.9654,0.9655004381468001
18,0.369587549843739,0.9826433634020618,0.7558792488190664,0.9826433634020618,0.9827015025628488,0.4055057811109643,0.9711143092105263,0.970960540796767,0.9711143092105263,0.9711227642150825,0.421029691696167,0.9656,0.965442650813598,0.9656,0.965608308117084
19,0.35351427068415375,0.9834085051546392,0.7564765774329885,0.9834085051546392,0.9834399084499977,0.39287173904870687,0.9693667763157895,0.9692131276616365,0.9693667763157895,0.9693621773824413,0.4066263386726379,0.9665,0.9663390741147214,0.9665,0.96652799503213
20,0.3283129991944303,0.9846166237113402,0.7573942911944299,0.9846166237113402,0.9846431629665796,0.36682317758861344,0.9725534539473685,0.9724164196866895,0.9725534539473685,0.9725491814494097,0.37958587999343874,0.9683,0.8802242112598541,0.9683,0.9683926136738362
21,0.3059204331378347,0.985120006443299,0.8208940859616561,0.985120006443299,0.9851363212474413,0.3463167344269,0.9723478618421053,0.9721646250502405,0.9723478618421053,0.9723562756322844,0.3620477530479431,0.9674,0.9672281174613143,0.9674,0.9674087077157192
22,0.29453044761087477,0.9859455541237113,0.896293503598671,0.9859455541237113,0.9859515046269209,0.33459464656679255,0.9749177631578947,0.9747568079612442,0.9749177631578947,0.9749156605990837,0.3531105115413666,0.9692,0.9690890736113907,0.9692,0.9691928879463332
23,0.2723224720696813,0.9868315077319587,0.8223543135258335,0.9868315077319587,0.9868611244824174,0.31614430797727483,0.9735814144736842,0.8850242786915686,0.9735814144736842,0.9736381488602585,0.33328811016082766,0.9696,0.9694882313714143,0.9696,0.9696299562962538
24,0.2549917548894882,0.9873348904639175,0.7052571885445642,0.9873348904639175,0.987400101088856,0.2994948876531501,0.9749177631578947,0.9747587485328539,0.9749177631578947,0.9749186242967088,0.31388010387420656,0.9702,0.970045228692993,0.9702,0.9701975423937571
25,0.24313833034530127,0.9887040914948454,0.8239559426323987,0.9887040914948454,0.9887526885750336,0.28926309158927516,0.975328947368421,0.9751790549973232,0.975328947368421,0.9753306192383677,0.30282990188598635,0.971,0.9708972408473228,0.971,0.9710146512916977
26,0.2305586929481054,0.9885631443298969,0.8986889383145464,0.9885631443298969,0.9885722519034521,0.28139656546868774,0.9743009868421053,0.9741341024355835,0.9743009868421053,0.9742929353905637,0.29313327693939206,0.9704,0.9703160009597698,0.9704,0.9704156244670928
27,0.2171290503027513,0.9892880154639175,0.8993622658449033,0.9892880154639175,0.9892990372020151,0.26743489111724655,0.9740953947368421,0.9739497592317525,0.9740953947368421,0.9740969091331347,0.2810438000202179,0.9706,0.9705008452267148,0.9706,0.9706258712401837
28,0.20811827342534803,0.9895095038659794,0.8995961314066006,0.9895095038659794,0.9895804987632295,0.2583306243545131,0.9754317434210527,0.9752941395116068,0.9754317434210527,0.9754400891658586,0.2693804756641388,0.972,0.8836154338219788,0.972,0.9721117479156574
29,0.19615860575253202,0.9903149162371134,0.7618016286253181,0.9903149162371134,0.99035633574048,0.24720515467618642,0.9767680921052632,0.8879501126911087,0.9767680921052632,0.9768298409968273,0.2645088894367218,0.9715,0.9713788532805132,0.9715,0.9715349646715864
30,0.18512242295078396,0.9913820876288659,0.9012669461045868,0.9913820876288659,0.9913908520430993,0.23745138786341013,0.9751233552631579,0.9750187111468629,0.9751233552631579,0.975125173534533,0.25168789551258086,0.9727,0.9725922548395888,0.9727,0.9727106609697114
31,0.18124945569284184,0.9907176224226805,0.8256199314286693,0.9907176224226805,0.9907475608430251,0.23492807149887085,0.9752261513157895,0.9750981294506529,0.9752261513157895,0.9752177900031821,0.24628694636821746,0.9726,0.9725159541812,0.9726,0.9726121642046163
32,0.16720932660643587,0.9912210051546392,0.9011575784381958,0.9912210051546392,0.9912618681001355,0.21968991740753777,0.9764597039473685,0.9763097648001817,0.9764597039473685,0.9764648658373505,0.23451324949264526,0.9721,0.8837151772738298,0.9721,0.9722144012551517
33,0.15980871882020814,0.9922479059278351,0.8268976146486383,0.9922479059278351,0.9922674310726592,0.21512013438500857,0.9765625,0.9764237627747603,0.9765625,0.9765546317422014,0.2302382543563843,0.972,0.9718985270968984,0.972,0.9720088301653678
34,0.15005332892088546,0.9919257409793815,0.901757082037011,0.9919257409793815,0.9919368580825274,0.20705567300319672,0.9769736842105263,0.9768623246053505,0.9769736842105263,0.9769784816297956,0.2197867954969406,0.9727,0.9725175845163141,0.9727,0.9727186778890077
35,0.14472396003524052,0.9927915592783505,0.6205861033004554,0.9927915592783505,0.9929315809490451,0.201744996403393,0.9769736842105263,0.8881199335948817,0.9769736842105263,0.9770270425097431,0.2173478910446167,0.9727,0.810614599580826,0.9727,0.9728791706269317
36,0.1355057304974684,0.9935567010309279,0.9032434434492184,0.9935567010309279,0.9935659140647467,0.19317991953147085,0.9765625,0.9764609746782968,0.9765625,0.9765588456479255,0.20786481323242187,0.9741,0.9740615596353823,0.9741,0.9741226246285376
37,0.12688571245399946,0.9937781894329897,0.8281723097644158,0.9937781894329897,0.9937992389652577,0.18522953908694417,0.9780016447368421,0.9778965945527454,0.9780016447368421,0.9780008690136811,0.1945332629919052,0.9732,0.9730764202026425,0.9732,0.9732039642480531
38,0.12277321240951106,0.9939392719072165,0.9939556787078926,0.9939392719072165,0.9939393055580314,0.18321374999849419,0.9773848684210527,0.9772979933383168,0.9773848684210527,0.9773815361377859,0.1930780413866043,0.9731,0.973026752921162,0.9731,0.9731126986119844
39,0.11965864781559128,0.9941607603092784,0.9941767195896934,0.9941607603092784,0.9941609253539418,0.1808696836233139,0.9765625,0.9764576438826742,0.9765625,0.976567702609271,0.18954452904462815,0.9747,0.9746149603120479,0.9747,0.9747156232342165
40,0.11323974442850683,0.9941607603092784,0.9037973573033669,0.9941607603092784,0.9941708282687861,0.17633090207451269,0.9767680921052632,0.9766859961892983,0.9767680921052632,0.976781214449065,0.18589348326921462,0.9737,0.9736222199019536,0.9737,0.9737134445614202
41,0.10815336278726145,0.9945231958762887,0.9041330240971398,0.9945231958762887,0.9945334353820595,0.17055463634039225,0.977282072368421,0.9771871365653562,0.977282072368421,0.9772818456526482,0.18264498289823533,0.9745,0.9744254454389282,0.9745,0.9745171201412474
42,0.10139129671853842,0.995006443298969,0.9950171679906941,0.995006443298969,0.995006975293086,0.1644018347326078,0.9780016447368421,0.9778969981963123,0.9780016447368421,0.978000296104112,0.17605016536712648,0.9733,0.9731865833626087,0.9733,0.9733116622204834
43,0.09918272410778656,0.9947245489690721,0.9947351303577572,0.9947245489690721,0.9947251618623917,0.1644558286980579,0.9774876644736842,0.9773529975416444,0.9774876644736842,0.9774950959140383,0.17400999355316163,0.9734,0.9733235470684323,0.9734,0.9734317836645036
44,0.09396299297354885,0.995348743556701,0.9953603569181064,0.995348743556701,0.9953487258783028,0.15830067819670626,0.9773848684210527,0.9772810031478623,0.9773848684210527,0.97739144222605,0.16867778522968294,0.9756,0.9755240309570781,0.9756,0.9756217624647976
45,0.09197666880088984,0.9951675257731959,0.9951885710613005,0.9951675257731959,0.9951678225850078,0.1585588749302061,0.977796052631579,0.9776693206402459,0.977796052631579,0.9778079789565796,0.1670539602279663,0.9755,0.9754430672736356,0.9755,0.9755283440339465
46,0.08475802485475835,0.9955299613402062,0.9955429220677828,0.9955299613402062,0.9955295534903675,0.1514571952192407,0.9780016447368421,0.9779082888171116,0.9780016447368421,0.9780024986387721,0.16046352043151854,0.9751,0.9750168531900462,0.9751,0.9751171734805059
47,0.08685649777810599,0.995227931701031,0.9952210385739576,0.995227931701031,0.9952271650610987,0.152591378280991,0.9770764802631579,0.9769550816755649,0.9770764802631579,0.9770786213937223,0.1618926027417183,0.9746,0.9745130491671068,0.9746,0.9746081228700084
48,0.081302476451569,0.9957313144329897,0.9957451137834941,0.9957313144329897,0.995731298773742,0.14583760343099894,0.978515625,0.9784490041150082,0.978515625,0.9785248244256097,0.1562430519938469,0.9752,0.9751218142771838,0.9752,0.975225410966733
49,0.07920060191572327,0.9955702319587629,0.9955718025529734,0.9955702319587629,0.9955693326292602,0.14471834152936935,0.9776932565789473,0.9776176404876116,0.9776932565789473,0.977692290788345,0.15560294251441956,0.9744,0.9743709061251407,0.9744,0.9743957739747768
50,0.0756623162359921,0.9962548324742269,0.9962639401690471,0.9962548324742269,0.9962545838543617,0.14339134253953634,0.9780016447368421,0.9779143305712752,0.9780016447368421,0.9780080160172883,0.15483914442062377,0.9734,0.9733488405037403,0.9734,0.9734183071267969
51,0.0707825461460143,0.9961138853092784,0.9961452965418675,0.9961138853092784,0.9961138565223214,0.13880202409468198,0.9783100328947368,0.9782072975842814,0.9783100328947368,0.9783069534209876,0.1480091721534729,0.9752,0.9751304299709533,0.9752,0.9752013866070646
52,0.06876819738254104,0.9962346971649485,0.9962384223795595,0.9962346971649485,0.9962344814573306,0.1361502385453174,0.9787212171052632,0.9786281088737434,0.9787212171052632,0.9787274521332495,0.14944663356542587,0.973,0.9729112397179396,0.973,0.9730197515851312
53,0.06626306593264501,0.9965769974226805,0.996592403242726,0.9965769974226805,0.9965767180515595,0.13394974917173386,0.9781044407894737,0.9779780546408492,0.9781044407894737,0.9780993678919336,0.14395155742168428,0.9744,0.9743188265860587,0.9744,0.974409178730375
54,0.06487828520001825,0.9958722615979382,0.9958915042019406,0.9958722615979382,0.9958726641129685,0.1353944226315147,0.9766652960526315,0.9765857344752236,0.9766652960526315,0.976674306510298,0.14802132915258406,0.9739,0.9738893579767784,0.9739,0.9739315407519918
55,0.06016123314032849,0.9968790270618557,0.9968902734554408,0.9968790270618557,0.9968785370796818,0.12650787359789797,0.9801603618421053,0.9800732628752107,0.9801603618421053,0.9801562172037489,0.13937216868400573,0.976,0.9758887475739625,0.976,0.9760003322817956
56,0.06038206066821039,0.9969192976804123,0.9969164727538311,0.9969192976804123,0.9969191863849772,0.12926138349269567,0.9781044407894737,0.9779969448983348,0.9781044407894737,0.9781194756871907,0.13751454099416732,0.9754,0.9752624337780608,0.9754,0.9754047739084326
57,0.059319790260693464,0.9968588917525774,0.99686414813801,0.9968588917525774,0.9968586622640564,0.12951953277776115,0.9787212171052632,0.9786058834903153,0.9787212171052632,0.978735378473504,0.14247632513046266,0.9738,0.9737025320816427,0.9738,0.9738200243781548
58,0.055284559381069596,0.9969192976804123,0.9063196030270649,0.9969192976804123,0.9969293347938487,0.1276214934493366,0.9787212171052632,0.9786456373153195,0.9787212171052632,0.9787379027547434,0.13431093422174453,0.974,0.9739029157811927,0.974,0.97402734211594
