global_round,train_loss,train_mape,train_r2,train_mae,train_mse,dev_loss,dev_mape,dev_r2,dev_mae,dev_mse,test_loss,test_mape,test_r2,test_mae,test_mse
1,137475486.0,0.9981816186157669,-0.09370361221640189,3434.465499226378,137475489.1815168,179810504.42105263,0.9979227712197499,-0.06586844657528035,3336.2718009223895,179810503.5083856,131699613.82645983,0.9979054702122007,-0.0913866386758948,3323.979106151043,131699627.89493506
2,137430120.95238096,0.9967669592135732,-0.09334267776456961,3430.606481184523,137430120.72906414,179768364.21052632,0.9955990642210636,-0.06561858520055397,3332.4914422008073,179768352.24690375,131657051.651154,0.9956121372183077,-0.09103392596263093,3320.1269786070684,131657065.40475556
3,137373291.0,0.9951457621566,-0.09289051573262164,3425.796198889309,137373285.22460294,179715553.57894737,0.9929179932073536,-0.06530560520910567,3327.650274756475,179715552.96381098,131604955.50939588,0.9929244962812469,-0.09060211062885104,3315.2367071702784,131604957.4562405
4,137315195.85714287,0.9936154363438818,-0.0924283886932109,3421.266800060474,137315197.14653742,179664951.78947368,0.9902159187642636,-0.06500563601288079,3323.216231726101,179664948.5835204,131552214.93504855,0.9902636137729218,-0.09016502712841268,3310.6851429647213,131552213.78839006
5,137246221.0,0.9916731169553811,-0.09187962657142301,3416.3721957427542,137246219.2806015,179609986.84210527,0.9875407802713864,-0.06467981552877333,3318.5709302144555,179609983.12742782,131493505.74776138,0.9876562981679254,-0.08967856645377403,3305.841874876606,131493511.68634383
6,137171295.76190478,0.9898345631453761,-0.09128358522881519,3410.438594693072,137171298.54866633,179543313.89473686,0.9841757430109792,-0.06428469120009384,3312.585242965533,179543326.21051043,131427963.82923445,0.9840679536663984,-0.08913533273471264,3299.7386544163596,131427958.676874
7,137104456.04761904,0.9885052387505722,-0.09075175814426029,3406.931339914732,137104449.36960855,179498207.0526316,0.9828063444258062,-0.06401731181670045,3309.5783959116043,179498219.68567595,131384247.40648253,0.9825584077431221,-0.08877316990367423,3296.6046264534984,131384255.82364595
8,136994836.52380952,0.984053558898013,-0.08987970876619089,3397.7234154334237,136994835.19854665,179414099.15789473,0.9780959481328799,-0.06351876908961418,3300.6160566400135,179414116.230821,131285141.15449615,0.9775775235282125,-0.08795184215807739,3287.6867164480404,131285144.69781601
9,136910766.76190478,0.9832175616862542,-0.0892108864543617,3392.472851563936,136910766.1020682,179346188.9473684,0.9750604793449015,-0.0631160793316976,3295.5127618538863,179346183.0366625,131213122.89342919,0.9741674273261979,-0.08735507366936535,3282.2688716815956,131213131.54948011
10,136786911.6190476,0.9799030967717913,-0.08822550984618927,3384.8478882626155,136786907.01472184,179269591.78947368,0.9706564169508153,-0.06266207700130177,3288.275296484221,179269593.48390412,131124045.76365241,0.9697319877659099,-0.08661683402105336,3274.8222606967806,131124046.81677902
