global_round,train_loss,train_mse,train_mape,train_mae,train_r2,dev_loss,dev_mse,dev_mape,dev_mae,dev_r2,test_loss,test_mse,test_mape,test_mae,test_r2
1,35078556.83760684,35078556.75314989,1.007667668272027,3054.4028074286794,-0.3614692620048314,35935978.15384615,35935978.549490295,1.0038040298348652,3106.6197236560947,-0.3663126717373082,131742495.55555555,131742492.77522044,1.0031033096868762,3330.2337863859775,-0.09174185727718998
2,35054214.6039886,35054214.654528275,1.0115598550057423,3053.6848449937856,-0.36052449625294414,35911414.20512821,35911414.45930954,1.0050281399376486,3105.865312281084,-0.36537872673181915,131718410.21818641,131718404.89198232,1.0035462270957074,3329.4998526093605,-0.09154224248449627
3,35024529.461538464,35024529.377129376,1.013213607079561,3051.815639037256,-0.3593723509980211,35881896.615384616,35881896.64180063,1.0050919937881309,3103.9494949571895,-0.36425643732347823,131690532.39298777,131690535.53769222,1.003106529245203,3327.6960100073275,-0.09131129087599965
4,34997485.94871795,34997485.75792733,1.0153690168221217,3050.306996960849,-0.35832273380492907,35854986.025641024,35854986.23047324,1.0054091608777536,3102.3918312910673,-0.3632332834403127,131663676.53045781,131663679.37445937,1.0029195800512314,3326.2538973152973,-0.09108873551888186
5,34961831.75213675,34961831.52926547,1.016760904487419,3047.654941216811,-0.3569389215595964,35819655.51282051,35819654.99330547,1.0049818500568404,3099.69315045293,-0.36188996348635616,131625518.80338,131625512.61055078,1.0016579183213146,3323.3316492908675,-0.09077244991627897
6,34923318.376068376,34923318.37882786,1.0190665960647294,3044.9059636147344,-0.35544414881644304,35781929.12820513,35781930.04713834,1.0046748704930377,3096.91827105265,-0.3604556329332651,131585395.78786732,131585396.55367108,1.000292183786363,3320.123317065545,-0.09044001064386276
7,34881131.57549857,34881131.49842617,1.020393603210025,3041.578096598676,-0.35380679123269276,35740738.58974359,35740738.667203195,1.0040091615978652,3093.6119677056618,-0.3588895059863051,131539326.1573969,131539336.84068309,0.9984040920578064,3316.216645578205,-0.09005831666233965
8,34837953.150997154,34837953.03418836,1.0230628196757483,3038.3991117076316,-0.35213094828812586,35698138.20512821,35698138.44734876,1.0036897502623776,3090.3580001493847,-0.3572698138962247,131491454.23029386,131491462.0798463,0.9966642337353175,3312.241335671542,-0.0896615814919961
9,34786453.863247864,34786453.9730817,1.024063693192726,3034.217968577788,-0.35013216626262156,35647709.92307692,35647709.94408387,1.0024370818209267,3086.0621764635257,-0.35535248463990055,131436057.84108967,131436053.74500506,0.994401380610213,3307.488996101508,-0.08920241606166357
10,34739795.97720797,34739795.94741221,1.0273431894415017,3030.9565668139076,-0.3483212745482942,35602185.0,35602185.41957078,1.0022763582199044,3082.742092056794,-0.35362160830849976,131383482.88056502,131383493.62262024,0.992145253034593,3302.821541860959,-0.08876685359110192
