global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,train_f1_binary,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,dev_f1_binary,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted,test_f1_binary
1,0.0339364498427936,1.0,1.0,1.0,1.0,0.0,0.03412263820830144,1.0,1.0,1.0,1.0,0.0,0.04369718023538589,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
2,0.013806886438812529,1.0,1.0,1.0,1.0,0.0,0.013897138353633253,1.0,1.0,1.0,1.0,0.0,0.02379986836910248,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
3,0.0066651901895446435,1.0,1.0,1.0,1.0,0.0,0.006709869289280553,1.0,1.0,1.0,1.0,0.0,0.017031770721077918,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
4,0.0036777419330818314,1.0,1.0,1.0,1.0,0.0,0.0037030033816240334,1.0,1.0,1.0,1.0,0.0,0.014867008832097054,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
5,0.002646988779306412,1.0,1.0,1.0,1.0,0.0,0.002663661885124288,1.0,1.0,1.0,1.0,0.0,0.01452129056751728,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
6,0.0018491148050608379,1.0,1.0,1.0,1.0,0.0,0.0018613653955981135,1.0,1.0,1.0,1.0,0.0,0.014562431764602661,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
7,0.0014338457697470274,1.0,1.0,1.0,1.0,0.0,0.001445318523206209,1.0,1.0,1.0,1.0,0.0,0.014737647223472596,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
8,0.001022426520607301,1.0,1.0,1.0,1.0,0.0,0.001029275443502947,1.0,1.0,1.0,1.0,0.0,0.014712504237890243,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
9,0.0007635875259126935,1.0,1.0,1.0,1.0,0.0,0.0007687950059526452,1.0,1.0,1.0,1.0,0.0,0.014965367603302002,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
10,0.0006541085592471063,1.0,1.0,1.0,1.0,0.0,0.0006581085250026694,1.0,1.0,1.0,1.0,0.0,0.015386353865265847,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
11,0.000505343055119738,1.0,1.0,1.0,1.0,0.0,0.0005084393748180254,1.0,1.0,1.0,1.0,0.0,0.015522384297847748,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
12,0.00042155172492909645,1.0,1.0,1.0,1.0,0.0,0.00042368886122283965,1.0,1.0,1.0,1.0,0.0,0.015810215324163438,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
13,0.0003240241973461317,1.0,1.0,1.0,1.0,0.0,0.00032568857300487394,1.0,1.0,1.0,1.0,0.0,0.016245569345355034,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
14,0.00028926875425635705,1.0,1.0,1.0,1.0,0.0,0.0002908434758673569,1.0,1.0,1.0,1.0,0.0,0.016712296131253242,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
15,0.0002124725452657523,1.0,1.0,1.0,1.0,0.0,0.00021312105481659897,1.0,1.0,1.0,1.0,0.0,0.016629131044447423,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
16,0.00019433244696951337,1.0,1.0,1.0,1.0,0.0,0.00019518037917901223,1.0,1.0,1.0,1.0,0.0,0.017267631604522465,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
17,0.000171873901521654,1.0,1.0,1.0,1.0,0.0,0.00017272952276183978,1.0,1.0,1.0,1.0,0.0,0.01770525747016072,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
18,0.0001500056526024959,1.0,1.0,1.0,1.0,0.0,0.00015082734171301126,1.0,1.0,1.0,1.0,0.0,0.018128422593325377,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
19,0.00011763532787361848,1.0,1.0,1.0,1.0,0.0,0.00011811161063011049,1.0,1.0,1.0,1.0,0.0,0.018398588449507952,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
20,9.627961112918066e-05,1.0,1.0,1.0,1.0,0.0,9.665186294832413e-05,1.0,1.0,1.0,1.0,0.0,0.01854471543766558,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
21,7.66511883453599e-05,1.0,1.0,1.0,1.0,0.0,7.684993837947811e-05,1.0,1.0,1.0,1.0,0.0,0.018806940402463078,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
22,7.034476156279976e-05,1.0,1.0,1.0,1.0,0.0,7.07134202361646e-05,1.0,1.0,1.0,1.0,0.0,0.01914963235259056,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
23,5.4722439568390004e-05,1.0,1.0,1.0,1.0,0.0,5.495863795084389e-05,1.0,1.0,1.0,1.0,0.0,0.019483536441624164,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
24,5.474248098575377e-05,1.0,1.0,1.0,1.0,0.0,5.506570577333485e-05,1.0,1.0,1.0,1.0,0.0,0.020315936315059662,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
25,4.073314587003552e-05,1.0,1.0,1.0,1.0,0.0,4.098190689355282e-05,1.0,1.0,1.0,1.0,0.0,0.020147671381756663,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
26,3.4130533864039795e-05,1.0,1.0,1.0,1.0,0.0,3.43749592215509e-05,1.0,1.0,1.0,1.0,0.0,0.020549787755124272,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
27,2.782517078490595e-05,1.0,1.0,1.0,1.0,0.0,2.796980726615354e-05,1.0,1.0,1.0,1.0,0.0,0.020531892180256545,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
28,2.474347781182067e-05,1.0,1.0,1.0,1.0,0.0,2.486440098437015e-05,1.0,1.0,1.0,1.0,0.0,0.020951459402032198,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
29,2.1789885909778863e-05,1.0,1.0,1.0,1.0,0.0,2.1917376120415466e-05,1.0,1.0,1.0,1.0,0.0,0.021427836020756513,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
30,1.8003408892712156e-05,1.0,1.0,1.0,1.0,0.0,1.8102639794386433e-05,1.0,1.0,1.0,1.0,0.0,0.021524668334983288,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
31,1.3371742981170038e-05,1.0,1.0,1.0,1.0,0.0,1.344482073986192e-05,1.0,1.0,1.0,1.0,0.0,0.021860122567601503,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
32,1.4158520129318016e-05,1.0,1.0,1.0,1.0,0.0,1.4276317846164793e-05,1.0,1.0,1.0,1.0,0.0,0.022719492832105607,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
33,1.0680910631240943e-05,1.0,1.0,1.0,1.0,0.0,1.0764460919170616e-05,1.0,1.0,1.0,1.0,0.0,0.022986879589548335,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
34,8.950067640398629e-06,1.0,1.0,1.0,1.0,0.0,9.01831112730035e-06,1.0,1.0,1.0,1.0,0.0,0.02311972365071997,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
35,7.93834744659502e-06,1.0,1.0,1.0,1.0,0.0,8.005243408230231e-06,1.0,1.0,1.0,1.0,0.0,0.02361993828462437,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
36,6.667096988946599e-06,1.0,1.0,1.0,1.0,0.0,6.721314261276827e-06,1.0,1.0,1.0,1.0,0.0,0.024085353194642813,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
37,5.229880688213078e-06,1.0,1.0,1.0,1.0,0.0,5.267964178002378e-06,1.0,1.0,1.0,1.0,0.0,0.02403474376273807,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
38,4.602744549109567e-06,1.0,1.0,1.0,1.0,0.0,4.63038323735083e-06,1.0,1.0,1.0,1.0,0.0,0.024372094259667212,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
39,3.5291918356961105e-06,1.0,1.0,1.0,1.0,0.0,3.55337716715248e-06,1.0,1.0,1.0,1.0,0.0,0.02477649486468872,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
40,3.1853190492776254e-06,1.0,1.0,1.0,1.0,0.0,3.2062661926159453e-06,1.0,1.0,1.0,1.0,0.0,0.02465901362959994,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
41,2.6553974917728086e-06,1.0,1.0,1.0,1.0,0.0,2.6703934580789215e-06,1.0,1.0,1.0,1.0,0.0,0.024801206021918914,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
42,2.2811404804607655e-06,1.0,1.0,1.0,1.0,0.0,2.2935115506889384e-06,1.0,1.0,1.0,1.0,0.0,0.02520099146453431,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
43,1.9727402462064802e-06,1.0,1.0,1.0,1.0,0.0,1.986562085077917e-06,1.0,1.0,1.0,1.0,0.0,0.02546919112462783,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
44,1.5011822480508793e-06,1.0,1.0,1.0,1.0,0.0,1.5122537529590006e-06,1.0,1.0,1.0,1.0,0.0,0.025734743843687465,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
45,1.4031540812149096e-06,1.0,1.0,1.0,1.0,0.0,1.4163456697994996e-06,1.0,1.0,1.0,1.0,0.0,0.026417767479363828,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
46,1.0147204271301495e-06,1.0,1.0,1.0,1.0,0.0,1.0197005801608994e-06,1.0,1.0,1.0,1.0,0.0,0.02591741011296399,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
47,9.20206468890683e-07,1.0,1.0,1.0,1.0,0.0,9.27208971963984e-07,1.0,1.0,1.0,1.0,0.0,0.026577707978646503,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
48,8.080690681059162e-07,1.0,1.0,1.0,1.0,0.0,8.150296815457343e-07,1.0,1.0,1.0,1.0,0.0,0.02686825153956597,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
49,7.3348258346024e-07,1.0,1.0,1.0,1.0,0.0,7.383257226185953e-07,1.0,1.0,1.0,1.0,0.0,0.02711540077138052,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
50,5.815929811043524e-07,1.0,1.0,1.0,1.0,0.0,5.855988786750362e-07,1.0,1.0,1.0,1.0,0.0,0.027051121145740036,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
51,5.736072736388971e-07,1.0,1.0,1.0,1.0,0.0,5.787019529778167e-07,1.0,1.0,1.0,1.0,0.0,0.027851731324355932,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
52,4.30573147533713e-07,1.0,1.0,1.0,1.0,0.0,4.3234144629279496e-07,1.0,1.0,1.0,1.0,0.0,0.02770785907520185,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
53,3.7835621599567404e-07,1.0,1.0,1.0,1.0,0.0,3.807333212678618e-07,1.0,1.0,1.0,1.0,0.0,0.02796658486351662,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
54,3.551032078316244e-07,1.0,1.0,1.0,1.0,0.0,3.5808874462131105e-07,1.0,1.0,1.0,1.0,0.0,0.02880561804147728,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
55,2.7827009392110215e-07,1.0,1.0,1.0,1.0,0.0,2.799642432268899e-07,1.0,1.0,1.0,1.0,0.0,0.028723895921088115,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
56,2.3748822846820466e-07,1.0,1.0,1.0,1.0,0.0,2.3956517219104217e-07,1.0,1.0,1.0,1.0,0.0,0.029123523123013,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
57,2.0586093268905512e-07,1.0,1.0,1.0,1.0,0.0,2.0775746858553726e-07,1.0,1.0,1.0,1.0,0.0,0.029680543663036223,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
58,1.7803252360083986e-07,1.0,1.0,1.0,1.0,0.0,1.7984823623345093e-07,1.0,1.0,1.0,1.0,0.0,0.029614070137525414,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
59,1.6914968349673082e-07,1.0,1.0,1.0,1.0,0.0,1.705448937627807e-07,1.0,1.0,1.0,1.0,0.0,0.029761582097024803,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
60,1.2224562202131243e-07,1.0,1.0,1.0,1.0,0.0,1.230329589786475e-07,1.0,1.0,1.0,1.0,0.0,0.029689800022476266,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
61,1.1675428522396811e-07,1.0,1.0,1.0,1.0,0.0,1.1777114880978364e-07,1.0,1.0,1.0,1.0,0.0,0.030061234582972246,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
62,9.880651597476182e-08,1.0,1.0,1.0,1.0,0.0,9.972308920156904e-08,1.0,1.0,1.0,1.0,0.0,0.03055863080938543,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
63,7.887956639608872e-08,1.0,1.0,1.0,1.0,0.0,7.95326325499589e-08,1.0,1.0,1.0,1.0,0.0,0.03042250554728853,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
64,7.096352646840387e-08,1.0,1.0,1.0,1.0,0.0,7.158269598125787e-08,1.0,1.0,1.0,1.0,0.0,0.03068607528369539,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
65,6.288564967300252e-08,1.0,1.0,1.0,1.0,0.0,6.337037860541721e-08,1.0,1.0,1.0,1.0,0.0,0.0308079218352319,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
66,5.54875959884222e-08,1.0,1.0,1.0,1.0,0.0,5.59404422667261e-08,1.0,1.0,1.0,1.0,0.0,0.031136021236759008,0.9983,0.4995746384426763,0.9983,0.9974507231146476,0.0
