global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,4.210603392670418,0.35780618261455527,0.021206257167973887,0.35780618261455527,0.32148484397088767,4.191850637134753,0.3606085526315789,0.031170328988259416,0.3606085526315789,0.3223339276051313,3.968689880643572,0.40564285714285714,0.031569145159228165,0.40564285714285714,0.34581442837002424
2,3.911309876531925,0.3960895384097035,0.02447899642067297,0.3960895384097035,0.3560396811395462,3.8917508125305176,0.4004934210526316,0.04032389359889714,0.4004934210526316,0.35754448709891645,3.5613396993364606,0.45507142857142857,0.04274247682159179,0.45507142857142857,0.3943074106957837
3,3.7412279410503624,0.41482058625336926,0.029120970809452668,0.41482058625336926,0.38420025861173884,3.72124665661862,0.4165296052631579,0.058574956972832985,0.4165296052631579,0.3830533141256408,3.3217694664001467,0.5067857142857143,0.06805698982728335,0.5067857142857143,0.45492331857164375
4,3.620622850171318,0.4240334400269542,0.029063390943517724,0.4240334400269542,0.3966711122533328,3.600889306319387,0.4243421052631579,0.06497573936567032,0.4243421052631579,0.3934322581505001,3.1710216906411306,0.5257857142857143,0.07312208751766384,0.5257857142857143,0.473863267574503
5,3.510493088282665,0.43173012129380056,0.032925027006768824,0.43173012129380056,0.4060907422303848,3.494015279569124,0.43256578947368424,0.07901677779589593,0.43256578947368424,0.40382492775306483,3.048851513181414,0.5434285714285715,0.07947110349013597,0.5434285714285715,0.4909409373154241
6,3.438757083486675,0.437805340296496,0.03555034867793024,0.437805340296496,0.41253275472546425,3.4253585715042916,0.43852796052631576,0.08628586181820173,0.43852796052631576,0.40995978225258506,2.9845317371913365,0.5480714285714285,0.0857621521776177,0.5480714285714285,0.495281833790972
7,3.3594791940601687,0.4423222708894879,0.04319632663692682,0.4423222708894879,0.4162130605620066,3.3478385398262427,0.44428453947368424,0.099019718667788,0.44428453947368424,0.41474759651930454,2.9131029804774693,0.5524285714285714,0.11439789294617031,0.5524285714285714,0.49857840792372893
8,3.285839085951648,0.44703925202156336,0.0433540246449413,0.44703925202156336,0.4214816666627444,3.2771526888797156,0.44695723684210525,0.10069848600068568,0.44695723684210525,0.4191931550367814,2.849251802444458,0.5610714285714286,0.11646110628945332,0.5610714285714286,0.5076602780397027
9,3.231949655193524,0.45089285714285715,0.051992488072970404,0.45089285714285715,0.4217046808964165,3.2263918424907483,0.4496299342105263,0.13938393310328628,0.4496299342105263,0.4189809472091094,2.8171864092690604,0.5530714285714285,0.1294231291309644,0.5530714285714285,0.49866381812124877
10,3.1670061571578776,0.45418842654986524,0.06383585607930341,0.45418842654986524,0.42720103078380933,3.1636517298849007,0.4543585526315789,0.16068014193043131,0.4543585526315789,0.42617948085696894,2.7656115079607284,0.5615,0.17274629213940768,0.5615,0.5082427001255072
11,3.115246570977882,0.45690490229110514,0.06413352582777514,0.45690490229110514,0.42589232518427067,3.114046335220337,0.45600328947368424,0.15804766711123017,0.45600328947368424,0.42404458613279816,2.737818591254098,0.5554285714285714,0.17581539666255136,0.5554285714285714,0.4994984122373784
12,3.0753186147489315,0.45777880727762804,0.07404917611630175,0.45777880727762804,0.4281842559799201,3.0765202923824915,0.4588815789473684,0.16857683294177228,0.4588815789473684,0.42918872879445863,2.7164332833971296,0.5585714285714286,0.16558050425827764,0.5585714285714286,0.5039689335720838
13,3.0115322488337513,0.4607795653638814,0.09466713651535866,0.4607795653638814,0.4292577400267808,3.014414122230128,0.4588815789473684,0.20381258880488912,0.4588815789473684,0.42701844465130295,2.6702691489628383,0.5558571428571428,0.2348176647059881,0.5558571428571428,0.5003919005304845
