global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,train_f1_binary,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,dev_f1_binary,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted,test_f1_binary
1,0.03123594037124089,0.9986383928571428,0.4996593663096528,0.9986383928571428,0.9979580530949802,0.0,0.0315722478063483,0.9988692434210527,0.49971715093854463,0.9988692434210527,0.998304184965016,0.0,0.03868418918251991,0.9982,0.4995495946351717,0.9982,0.9974007206485838,0.0
2,0.009769783903445517,0.9986383928571428,0.4996593663096528,0.9986383928571428,0.9979580530949802,0.0,0.009577254225548944,0.9988692434210527,0.49971715093854463,0.9988692434210527,0.998304184965016,0.0,0.014526333487033844,0.9981,0.49952454832090487,0.9981,0.9973507131775187,0.0
3,0.005190094622916409,0.9986830357142857,0.5314165590140885,0.9986830357142857,0.9980667958652724,0.06349206349206349,0.004974811423667951,0.9989720394736842,0.5830761845985051,0.9989720394736842,0.9985439869264682,0.16666666666666666,0.010963671231269836,0.998,0.6148839645385155,0.998,0.9976927082129845,0.23076923076923078
4,0.0036768828053027392,0.9986495535714286,0.5077922378033232,0.9986495535714286,0.9979857658359442,0.016260162601626018,0.0036951119423304733,0.9988692434210527,0.49971715093854463,0.9988692434210527,0.998304184965016,0.0,0.008299596764147281,0.9981,0.6195244055068836,0.9981,0.9977584280350439,0.24
5,0.003070509090487446,0.9986383928571428,0.4996593663096528,0.9986383928571428,0.9979580530949802,0.0,0.00300062834101386,0.9988692434210527,0.49971715093854463,0.9988692434210527,0.998304184965016,0.0,0.007984746140241623,0.9983,0.630009293295986,0.9983,0.9978939462991134,0.2608695652173913
6,0.002370661464353491,0.9989285714285714,0.6754075971286614,0.9989285714285714,0.9985813683080959,0.35135135135135137,0.0025068675673346184,0.9990748355263158,0.6536147080816114,0.9990748355263158,0.9987548004108241,0.3076923076923077,0.008020168678462506,0.9979,0.6374052721273433,0.9979,0.997719228398419,0.27586206896551724
7,0.0021047985918786643,0.9995200892857142,0.9025948063018794,0.9995200892857142,0.9994951473921081,0.8054298642533937,0.0024101344346203596,0.9990748355263158,0.7350626242574811,0.9990748355263158,0.9989389009102779,0.47058823529411764,0.009379700663685799,0.9973,0.6700553207245585,0.9973,0.9975300143342632,0.34146341463414637
8,0.0021898185976481598,0.9992857142857143,0.823997071201263,0.9992857142857143,0.9991641739261531,0.6483516483516484,0.0026374407017628024,0.999280427631579,0.766486634775303,0.999280427631579,0.9991126569582552,0.5333333333333333,0.00902277580946684,0.9976,0.6464578017924589,0.9976,0.9976,0.29411764705882354
9,0.0017637627758917266,0.9992299107142857,0.8070698550112361,0.9992299107142857,0.9990902298381975,0.6145251396648045,0.0022511121933348477,0.9991776315789473,0.7140799741355239,0.9991776315789473,0.9989428383671349,0.42857142857142855,0.009055463771522046,0.9973,0.6531698350244515,0.9973,0.9974727387636662,0.3076923076923077
10,0.0019215657506720164,0.9989955357142857,0.7075408757322903,0.9989955357142857,0.9987022758770836,0.4155844155844156,0.002150224062222007,0.9991776315789473,0.7140799741355239,0.9991776315789473,0.9989428383671349,0.42857142857142855,0.009273139587044716,0.9979,0.6374052721273433,0.9979,0.997719228398419,0.27586206896551724
11,0.002044367505628283,0.9988058035714286,0.6091902735696619,0.9988058035714286,0.9983398135899816,0.21897810218978103,0.002231849992025864,0.9989720394736842,0.5830761845985051,0.9989720394736842,0.9985439869264682,0.16666666666666666,0.008400120376050473,0.9979,0.6374052721273433,0.9979,0.997719228398419,0.27586206896551724
12,0.0016878972521434273,0.9994977678571428,0.8932392228609776,0.9994977678571428,0.9994585400776077,0.7867298578199052,0.002278250889886342,0.9990748355263158,0.6997685304253897,0.9990748355263158,0.9988591303748995,0.4,0.009060773257166147,0.9977,0.6886131234676043,0.9977,0.9977930704235266,0.3783783783783784
