global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
1,109004545.18857142,-0.9402062589024529,0.9982234242117316,109004545.26449472,7286.371412913549,113497188.63157895,-0.878273619343471,0.9982141196725716,113497187.54033004,7303.002971816382,131553964.14856854,-0.09017952115974381,0.9911408746635119,131553962.80974083,3312.5462318899654
2,108162759.49714285,-0.9252230514046846,0.9951829165023599,108162759.64896862,7256.759002193934,112669338.5263158,-0.8645735132603742,0.995132088660677,112669340.36544444,7273.609088360355,131256596.26308487,-0.08771527888175812,0.9773784512932868,131256598.17327486,3288.17056522068
3,106874095.95428571,-0.9022857203878636,0.989945082926545,106874095.96921936,7209.5758521567805,111399632.42105263,-0.8435609783049527,0.9897966631589079,111399629.92710754,7226.418900942374,130826070.81851432,-0.08414756286640834,0.9559010667255966,130826075.33654085,3251.3542117356187
4,105279133.16571428,-0.8738964670911511,0.9829073161817172,105279132.73693022,7148.982098673767,109835020.21052632,-0.817668101994645,0.9825710422818164,109835018.35599004,7165.709772846726,130340894.02724177,-0.08012688236430332,0.9266251258776563,130340892.44420299,3202.6588370308314
5,103088451.13142857,-0.8349038372313191,0.9723401439089732,103088451.27353667,7063.100240761443,107696941.05263157,-0.782284926070024,0.9718245477769664,107696942.77832584,7080.308568931209,129678904.39954597,-0.07464107034631007,0.8859126329445348,129678909.44398245,3134.499692249567
6,100760626.92571428,-0.7934701627620819,0.9624605556411705,100760627.19636294,6976.809880744192,105426095.15789473,-0.7447044723869418,0.9618995222025642,105426093.7627227,6994.787277174451,129043290.687098,-0.0693737081710013,0.8551554886174261,129043287.18703632,3073.97529156451
7,97937554.76571429,-0.7432214085466871,0.9461179304292175,97937554.86669478,6853.779714063969,102678754.94736843,-0.6992385599505762,0.9453924582036195,102678755.3891549,6872.427046230002,128230957.68243158,-0.06264198877751292,0.809052424024334,128230958.2581325,2985.2557019969076
8,95016651.72571428,-0.6912313287020349,0.9307590756720004,95016651.490712,6732.853890439676,99832426.5263158,-0.6521344798907991,0.9296536809973975,99832428.55295734,6751.770125960943,127365256.04943877,-0.0554679937824043,0.7782510210715036,127365259.12100342,2909.856940387236
9,92158890.14857143,-0.6403651386761384,0.9163370901571772,92158890.42140861,6618.0209025284585,97045884.63157895,-0.6060198004150898,0.9150872878783511,97045887.56610888,6637.439483561614,126734103.63122714,-0.050237651682654594,0.7523857710279048,126734104.14449027,2847.212592644294
10,88903393.71428572,-0.5824195293544028,0.8938171599686471,88903393.86520076,6462.460501184179,93871404.63157895,-0.5534849935888533,0.8921992874459853,93871401.82486926,6481.318808710595,125761012.7577248,-0.042173771690320994,0.7133862531985734,125761020.95220543,2754.4121236836627
11,85409141.41714285,-0.5202242279922578,0.8748508732889221,85409141.37969236,6310.509165533936,90547554.10526316,-0.4984783971510405,0.8732863045170283,90547554.90099035,6331.268793298961,124825606.82280236,-0.0344220446091521,0.721121576748699,124825605.82437171,2707.398786534636
