global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,train_f1_binary,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,dev_f1_binary,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted,test_f1_binary
1,0.0666215472404709,0.975317108497191,0.8944441411455473,0.975317108497191,0.9756100971092933,0.8020503343892995,0.07038933999444309,0.9737870065789473,0.887726895528542,0.9737870065789473,0.9740800373668378,0.7894302229562346,0.009727922475337982,0.9992,0.8747996794871795,0.9992,0.9991750400641025,0.75
2,0.054264945331228415,0.9815824701544944,0.9187802616095868,0.9815824701544944,0.9815209527583193,0.8473605238030283,0.058634841520535316,0.9800575657894737,0.9119303100194653,0.9800575657894737,0.9799779406658528,0.8344709897610921,0.00847713085860014,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
3,0.0485240955277231,0.9831515537219101,0.925585786741186,0.9831515537219101,0.9830822514543288,0.860135719816004,0.0514327677849092,0.9821134868421053,0.9211355990671977,0.9821134868421053,0.9820564581885867,0.8517887563884157,0.006987567813694477,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
4,0.04393800858439605,0.9843036780196629,0.9304876506520793,0.9843036780196629,0.9842177753210005,0.8693249292043482,0.04712785721609467,0.9829358552631579,0.9236651729158394,0.9829358552631579,0.9827560795117545,0.856401384083045,0.00525903206653893,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
5,0.041005571276012266,0.9848852264747191,0.933022988690698,0.9848852264747191,0.9847979228423578,0.8740859232175503,0.04429223211972337,0.9830386513157895,0.924552846873612,0.9830386513157895,0.9829089104769801,0.8581255374032674,0.004302433716505766,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
6,0.03794356181254883,0.9862238851825843,0.9380339114015175,0.9862238851825843,0.9860389069643365,0.8833882877443924,0.04110656217917016,0.9847861842105263,0.9312736193470139,0.9847861842105263,0.9845492926139731,0.8706293706293706,0.0038908809728920458,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
7,0.03528168790821991,0.9865695224719101,0.9410510583750946,0.9865695224719101,0.9865564496399559,0.8892508143322475,0.03842321949961938,0.9861225328947368,0.9385671937456868,0.9861225328947368,0.9860503025630464,0.8845166809238666,0.0035280168175697325,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
8,0.03568681797766116,0.9868136630969101,0.94124264166616,0.9868136630969101,0.986700247616357,0.8894967931771683,0.03824439585993165,0.985094572368421,0.9333759778212136,0.985094572368421,0.9849437189249862,0.874675885911841,0.0033285311192274092,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
9,0.03358188925541184,0.9874692766853933,0.9438240084873709,0.9874692766853933,0.9873225808592058,0.8943081906524757,0.03659728326295551,0.9853001644736842,0.9335409890778887,0.9853001644736842,0.9850650325178968,0.8748906386701663,0.0031308707043528556,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
10,0.031268822553755946,0.9880316230688202,0.9475095921670114,0.9880316230688202,0.9880246648463482,0.9013899875692168,0.0334769000152224,0.9867393092105263,0.9411088687112004,0.9867393092105263,0.9866487197572403,0.8892703862660944,0.003292932279035449,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
11,0.03105856339823915,0.9882044417134831,0.9476684906482138,0.9882044417134831,0.9881291411685545,0.9016108365367015,0.03445127537768138,0.9864309210526315,0.9393000170174145,0.9864309210526315,0.9862879668406722,0.8858131487889274,0.003399123356863856,0.9993,0.8937641047121689,0.9993,0.9992894114683167,0.7878787878787878
12,0.030340565020595206,0.9882593047752809,0.9487194907312795,0.9882593047752809,0.9882765978236844,0.9036903690369037,0.03346471262997702,0.987047697368421,0.9433426421167226,0.987047697368421,0.9870579279525156,0.893581081081081,0.0031191294856369495,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
13,0.02832625022032455,0.9893730249297753,0.9533028051691648,0.9893730249297753,0.9893565879246096,0.912261629750419,0.03148155512386247,0.9883840460526315,0.9485784658760192,0.9883840460526315,0.9883235865898091,0.9033361847733106,0.003204325868561864,0.9994,0.9116144504481147,0.9994,0.9994,0.8235294117647058
