global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
1,201355926.08,7395.595199766154,1.03724616252876,-0.36004880340996515,201355925.22721663,208290624.0,7410.927677543717,0.9982430024991474,-0.34656810513899194,208290624.74352515,131585286.35792659,3314.7008120061446,0.9922413976103819,-0.09043908169944603,131585284.45624411
2,200543950.6742857,7373.720178590081,1.0837159975349178,-0.3545643657061055,200543951.4028635,207487813.0526316,7389.412729785343,0.9974555214896612,-0.34137805466492943,207487814.36091822,131374461.3971497,3297.676943810166,0.9826857937566453,-0.08869198395947131,131374458.96681911
3,199259529.28,7336.249269825294,1.1601066670002926,-0.3458887995640556,199259529.37107867,206232128.0,7352.105216074628,0.9962176788866876,-0.33326023208625255,206232128.64400816,131047296.86593518,3269.731947113762,0.9669003721771386,-0.08598086184262055,131047302.8872833
4,197489565.80571428,7281.257109721594,1.2479242932332908,-0.33393367067568236,197489566.3870346,204508218.10526314,7297.396871071958,1.0218070201381033,-0.3221154221042106,204508220.7146964,130625874.58595031,3229.2201346667225,0.9427945168522914,-0.08248853924278787,130625877.91231287
5,195383763.01714286,7221.261870909263,1.3801113350758563,-0.31971011981587005,195383762.362787,202461396.21052632,7236.938114483154,1.0143097121009843,-0.30888300939069935,202461397.01492006,130239627.62946147,3191.0684218363076,0.9199388026230028,-0.0792876865170753,130239625.14176928
6,193105069.62285715,7154.606668345803,1.342947515304103,-0.30431880574041736,193105070.39353177,200298506.9473684,7171.250134910273,1.0271027791974838,-0.294900245545866,200298507.06842095,129783687.3671333,3146.4747530543905,0.8959237374737169,-0.0755093525791235,129783686.65392525
7,190175346.92571428,7066.998322788793,1.4751803332511861,-0.2845301302380785,190175346.8021398,197584074.9473684,7085.932966091817,1.0664162650576972,-0.27735186014422997,197584077.59055233,129214886.22196998,3084.3110034749416,0.8598462635700651,-0.07079572453185334,129214884.51006378
8,186822244.89142856,6974.528702247681,1.6421991213988545,-0.2618817727241316,186822245.81733423,194589462.7368421,6995.420345743616,1.0935069984921932,-0.25799212523719595,194589463.90316,128567087.10076933,3027.9979810510476,0.8332759246316378,-0.06542748372482143,128567089.0435605
9,183630909.25714287,6882.8986428568205,1.8212934991557888,-0.24032604780822253,183630909.65093794,191665754.9473684,6907.173361456781,1.1282254432258394,-0.23909079395049937,191665757.26911348,128024715.06747383,2973.917875712359,0.8076856601889781,-0.06093286672305509,128024715.3643472
10,179933969.0057143,6786.818705727722,1.9377336934571816,-0.21535523761704445,179933968.35213202,188396624.0,6813.366289097503,1.142056229764993,-0.21795635948059067,188396628.47975755,127410302.0131164,2933.502496734816,0.7966782400485419,-0.055841228058367776,127410297.98580174
11,176077335.54285714,6669.127902338936,2.1288055349350476,-0.1893058027462735,176077336.1144511,185011641.68421054,6703.79643057707,1.186275156121787,-0.19607288599921535,185011636.4057595,126747763.11741708,2864.666354948522,0.7613999365191033,-0.05035084826396674,126747763.78362225
12,172183248.82285714,6553.985973757873,2.2921831233380843,-0.1630033729431679,172183247.84684667,181326629.89473686,6587.4800966906505,1.2399837096153727,-0.172249877673732,181326632.08369964,126239103.71421364,2806.7944648536763,0.7313321299048317,-0.04613562494392398,126239105.05254489
13,168354258.8342857,6437.921089136542,2.410794419384932,-0.13714065595468306,168354259.28772342,178174879.57894737,6478.573722712205,1.2566877433625954,-0.1518742538733837,178174878.08424225,125545456.16824315,2749.441968791075,0.708111288764974,-0.040387344062037034,125545449.45300542
14,163815708.52571428,6304.630544926891,2.656019298342854,-0.10648523495034157,163815708.43272266,174334919.57894737,6350.50441733934,1.3158478041483601,-0.12704946958495378,174334916.474557,124911124.40988776,2689.86733371611,0.6836641885215176,-0.03513074134213734,124911125.55928227
15,160890894.4457143,6176.080074647096,2.982955823434645,-0.08672971872704993,160890894.08965743,171943305.2631579,6227.8947413578435,1.3697899522132526,-0.11158809519630886,171943311.2386139,124212339.42666163,2629.12966603724,0.6697229208539115,-0.029339887589296287,124212332.61330265
16,155114671.81714284,6029.296781566084,3.1748656213908504,-0.04771451208203703,155114672.66860187,166814666.10526314,6087.536665958695,1.4629324064199571,-0.0784321655755964,166814666.59873682,123538354.07113129,2588.352870756898,0.6715905589700115,-0.0237546347436004,123538349.90597384
17,151394701.18857142,5909.13041121511,3.4119569134987966,-0.02258814382421881,151394700.91797954,164128690.9473684,5978.276547646738,1.531790450803121,-0.061067749801619,164128694.0169826,123022431.60348089,2548.62821283243,0.670217305180624,-0.019479251124184804,123022431.5212039
18,148189178.72,5759.438495897848,3.6123081756498654,-0.0009366052036292594,148189179.4832995,160948990.31578946,5828.752784611265,1.630309797843563,-0.04051142750620218,160948989.1086299,122310634.59730105,2495.5722536781514,0.6838339151774449,-0.01358069125934147,122310641.48109643
19,143445378.69714287,5624.862658233244,3.871431351387893,0.031105159920206238,143445379.6679937,156836084.63157895,5703.698490056454,1.707740151863208,-0.013922094846894328,156836082.60951972,121753118.299155,2473.4476603174708,0.7163007873963138,-0.008960566960132255,121753122.606051
20,139929103.70285714,5507.579293185925,4.223999718377957,0.05485566665188468,139929104.924336,154797060.21052632,5590.633895279448,1.7811239043872178,-0.0007400844581804122,154797055.27123484,121426645.12977678,2481.3342111110987,0.7663659155843545,-0.00625503380438186,121426640.95670444
21,135948906.30857143,5396.957931283824,4.3300565889109235,0.08173972792797424,135948905.81784815,150583334.31578946,5487.515931607763,1.8242550782638778,0.026501000321014878,150583334.07459012,120984525.90061799,2503.21806092394,0.8199905145764894,-0.0025912416505087243,120984524.43607806
