global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,3.201243519101824,0.8179352678571429,0.06621090507096261,0.8179352678571429,0.8234349714867052,3.2237648461994373,0.8111636513157895,0.12469353550405837,0.8111636513157895,0.8168973775524887,2.9569944835662842,0.7258,0.16961105375621094,0.7258,0.7310858123127512
2,2.8149073001316616,0.8609151785714285,0.12976610492451474,0.8609151785714285,0.8629883829946734,2.8347240121741044,0.856188322368421,0.2894766543522883,0.856188322368421,0.8587017009634825,2.588176919937134,0.7481,0.44044497719053965,0.7481,0.7508073752921659
3,2.6062941551208496,0.8824330357142857,0.18770167595908466,0.8824330357142857,0.8840458862556966,2.623432711551064,0.8774671052631579,0.2873662289008525,0.8774671052631579,0.879443602000603,2.40020862159729,0.7542,0.580792626319146,0.7542,0.7569202226408003
4,2.4828099509647914,0.8968415178571428,0.461064644411867,0.8968415178571428,0.896858430814947,2.502010859941181,0.8928865131578947,0.5829815823866622,0.8928865131578947,0.8929279829799711,2.2939660774230957,0.7631,0.6363777063739716,0.7631,0.7658023722915713
5,2.324122655051095,0.9085825892857143,0.3851824504132415,0.9085825892857143,0.9081207063823507,2.344514959736874,0.9012129934210527,0.6784575729642272,0.9012129934210527,0.9008857771815526,2.1615864696502687,0.7665,0.589787039495767,0.7665,0.7686629088502005
6,2.1873594869886124,0.9141629464285714,0.8120700046864119,0.9141629464285714,0.9135609397478738,2.2076430822673596,0.906969572368421,0.8889024352727478,0.906969572368421,0.9064304700882722,2.049106588745117,0.7686,0.549121355672405,0.7686,0.7706521109455142
7,2.097937686102731,0.9195424107142857,0.8962307359544315,0.9195424107142857,0.9187311802844456,2.120541133378681,0.9104646381578947,0.7423960759445897,0.9104646381578947,0.9099303899413745,1.9901616973876952,0.7699,0.700211876666193,0.7699,0.7718874442728222
8,2.010218354633876,0.9235044642857143,0.6910288165883419,0.9235044642857143,0.9225463439450577,2.032471819927818,0.9118009868421053,0.7438576955668518,0.9118009868421053,0.911168735659546,1.9172444641113282,0.7722,0.551605390635381,0.7722,0.7737887443983885
9,1.950884622165135,0.9268526785714286,0.9045880137089307,0.9268526785714286,0.9260875116629592,1.972578575736598,0.9163240131578947,0.8959634842703821,0.9163240131578947,0.915657264840225,1.8619055654525756,0.7748,0.7045294623472024,0.7748,0.7768058237293861
10,1.8786065537588936,0.9318415178571429,0.9130938773774091,0.9318415178571429,0.9313526777833228,1.9015767135118182,0.9213610197368421,0.9040953084300651,0.9213610197368421,0.9210093146299086,1.7987405652999877,0.7767,0.6473283776533704,0.7767,0.7787241141223145
11,1.781098930495126,0.9352120535714286,0.8344038482486155,0.9352120535714286,0.9348728874202974,1.8052368289545964,0.925061677631579,0.8269484887871106,0.925061677631579,0.9248007039298557,1.7072309022903442,0.782,0.6013366692806662,0.782,0.7835423884849023
12,1.749904007911682,0.93796875,0.836868875137614,0.93796875,0.9377007902928535,1.7733477416791414,0.9261924342105263,0.8282898378956822,0.9261924342105263,0.9259748540845668,1.6965055637359618,0.7775,0.647936736896073,0.7775,0.7793535264873627
13,1.6961924164635795,0.9398995535714286,0.9233457162099563,0.9398995535714286,0.9395140255789456,1.719612767821864,0.9282483552631579,0.9135651736358119,0.9282483552631579,0.9278555107473571,1.657964384651184,0.7791,0.7082955135198251,0.7791,0.7809662668742958
14,1.6495010253361293,0.9415178571428572,0.9239042649496702,0.9415178571428572,0.9410563588920594,1.6727286514483,0.9306126644736842,0.8290764852335516,0.9306126644736842,0.9300937118094244,1.6247885747909545,0.7798,0.6497414388164389,0.7798,0.7815207139576985
15,1.5922941650663103,0.9426227678571428,0.9268714683216361,0.9426227678571428,0.9422158455764253,1.6156900493722213,0.9336965460526315,0.9193830100555017,0.9336965460526315,0.9332615434995912,1.5849602764129638,0.78,0.6498026950426423,0.78,0.7816247604783927
16,1.5684623050689697,0.9447544642857143,0.9297036548447638,0.9447544642857143,0.9444498238727288,1.5944564593465704,0.9300986842105263,0.9148371462309937,0.9300986842105263,0.9297223161589869,1.5598134086608886,0.7812,0.6507858082763001,0.7812,0.7828584246747503
17,1.5342121253694807,0.946484375,0.929472113285477,0.946484375,0.94607598683076,1.5576813911136829,0.9359580592105263,0.9195380641831328,0.9359580592105263,0.9355573700813289,1.5445021835327148,0.78,0.7090162459736761,0.78,0.7816946255117152
