global_round,train_loss,train_r2,train_mse,train_mape,train_mae,dev_loss,dev_r2,dev_mse,dev_mape,dev_mae,test_loss,test_r2,test_mse,test_mape,test_mae
1,160966580.57263157,-0.20086496789739505,160966581.89142704,1.012792762956404,5197.605295612896,144761544.0,-0.24516489195099633,144761545.84284014,1.0111275939787578,5346.99530644633,131728051.78711061,-0.09162217334002798,131728050.29495668,1.0037961499692152,3330.3403707782318
2,160847061.54947367,-0.19997331502393423,160847062.77886105,1.0148810659472032,5194.8820719751375,144644764.30769232,-0.24416040212043444,144644764.92362574,1.0125196406679275,5344.203019617556,131694657.19535881,-0.0913454503179667,131694657.62022167,1.003822420917916,3329.0714253359606
3,160722815.3768421,-0.19904638718526502,160722815.3323627,1.0182213060525191,5192.364716521295,144522001.64102563,-0.24310446354048754,144522002.6275344,1.0149778277202115,5341.449844434919,131662464.44974145,-0.09107864493716034,131662461.72545134,1.0039861128409655,3327.8461959003203
4,160588390.58526316,-0.19804353653487738,160588391.0251709,1.0206758044066628,5189.07356855468,144387826.46153846,-0.24195035427203937,144387827.11162314,1.0169001749007827,5337.920280981721,131623707.34897213,-0.09075743889637566,131623701.20324056,1.003514611079419,3325.716040447623
5,160428204.98526317,-0.19684849501651613,160428205.03126538,1.02289897240031,5184.756486280913,144226467.69230768,-0.24056241230914077,144226466.45538545,1.0181475327733522,5333.202093392854,131577350.14579391,-0.09037325493437187,131577341.01973997,1.0025438963732698,3322.858041384949
6,160280699.43578947,-0.19574804271515545,160280697.98407862,1.025709949807558,5181.071591681499,144076325.74358973,-0.2392709553937613,144076323.04814017,1.0200833470730344,5329.026853148141,131534463.11918275,-0.0900179324375614,131534463.6021921,1.0017533835862518,3320.318524744362
7,160087200.4294737,-0.19430448367857256,160087200.155356,1.0265537661610467,5175.1603935356015,143875569.43589744,-0.23754416876460804,143875568.67143643,1.019721558439153,5322.402243588926,131473070.62000252,-0.08950917320074847,131473070.69174045,0.999695202369787,3315.7497213507063
8,159876939.68,-0.1927358828118264,159876941.44465837,1.0272295250276464,5168.817401181765,143664426.05128205,-0.23572803376152462,143664426.74782044,1.01952795296497,5315.60023249278,131411576.90452768,-0.0889995991397814,131411579.45496327,0.9978026122247596,3311.5431830635935
9,159682101.62526315,-0.1912823009514335,159682100.13458458,1.0300241153330754,5163.877520095145,143456502.97435898,-0.23393956840738128,143456501.6681577,1.0204611240334747,5309.437665083413,131349265.27809307,-0.08848314580738226,131349258.08388199,0.9959018797149644,3307.391704696207
10,159447217.98736843,-0.18952998344025263,159447215.6407375,1.0288994242550256,5156.27177881594,143216868.92307693,-0.2318783696752742,143216868.89608234,1.01871156019557,5301.2928315159415,131280959.10884096,-0.0879171387715767,131280956.97650181,0.9929763950722872,3301.839867576399
