global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
1,1575278.6467236467,-13.434012510652053,1.0015351846199645,1575278.6498208626,1211.418121406811,1575435.6602564103,-12.327474609124863,1.0015423420113825,1575435.6272603748,1207.7289108256803,131751570.45100264,-0.0918171003116004,1.0017384694375582,131751572.49022005,3328.986311547411
2,1574049.1438746438,-13.422746794731227,1.0025189460397772,1574049.1482008572,1211.8446376395782,1574234.8237179487,-12.317316348718869,1.0025098475569452,1574234.8232203033,1208.152745115767,131753895.9235717,-0.09183633910460198,1.003162931117726,131753894.07066612,3329.760083678019
3,1568552.123931624,-13.37237854917007,1.0019388777766929,1568552.130527991,1210.453478159323,1568790.782051282,-12.271262357690343,1.00190167310701,1568790.798724155,1206.751241366744,131744874.70374574,-0.09176168100756432,1.0028213693884045,131744884.9411324,3328.514461621396
4,1560370.9643874643,-13.297415916241842,1.0003557046195424,1560370.965720281,1207.902474731679,1560568.4743589743,-12.201705109099386,1.0002438818576496,1560568.463227123,1204.140359381284,131728790.30949679,-0.09162829114536852,1.0015414890453542,131728788.54175054,3326.136080226882
5,1550918.709045584,-13.210806492914164,0.9984300637090051,1550918.7101301807,1204.8682904631607,1551195.7467948718,-12.122416056305974,0.9982627951612062,1551195.7349131673,1201.0738425108511,131709150.33295497,-0.09146550691364319,1.0000926289593,131709145.06987207,3323.3828324606384
6,1542913.8992165243,-13.13745976996889,0.9970302931547024,1542913.9001991414,1202.4259783149841,1543286.1955128205,-12.055504758656872,0.996836002054433,1543286.1762552618,1198.6281892316154,131692018.26535502,-0.09132361485841689,0.9991960786432167,131692022.69525951,3321.1197089469165
7,1532016.83511396,-13.03761180077906,0.994639833619049,1532016.8350915257,1198.7750842740302,1532520.907051282,-11.964435254142684,0.9944487717247285,1532520.8852923084,1195.0050378470212,131667601.22789758,-0.09112122570128967,0.9973695995694096,131667600.02437545,3317.6087345989718
8,1520251.7813390314,-12.929810523285704,0.9919397910988005,1520251.7731772885,1194.7246226925931,1520920.173076923,-11.866298586197711,0.9917341618390475,1520920.1876691235,1190.9735237376328,131643754.72594275,-0.09092365611000375,0.9954822953355016,131643758.93934323,3314.0066746444936
9,1508201.6267806268,-12.819397030690975,0.989148736849486,1508201.6230608,1190.5263986221119,1508941.967948718,-11.764968172335099,0.9888918898045966,1508941.9585742508,1186.7485170466825,131615079.191323,-0.09068605864189294,0.9932644590890527,131615087.6169813,3309.844750710748
10,1495258.7966524216,-12.70080410423282,0.9859512496911361,1495258.7975691743,1185.8496195461537,1496064.0897435897,-11.65602719304137,0.9856927906037265,1496064.0874785169,1182.0950218899181,131585019.20822299,-0.09043700885669792,0.9909589243241037,131585034.32250696,3305.5698641529184
11,1484128.4419515668,-12.598818582501492,0.9833146551241972,1484128.4473040877,1181.865216927482,1485047.4166666667,-11.562831061110364,0.9830480415848916,1485047.4087097996,1178.1288514953042,131556338.9405978,-0.09019930055556857,0.9887757918054366,131556349.62572135,3301.3141021990155
