global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,train_f1_binary,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,dev_f1_binary,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted,test_f1_binary
1,0.0363172948951676,0.9890164150280899,0.9657926496094538,0.9890164150280899,0.9889455924788224,0.9376071306136442,0.033587610937262834,0.9896175986842105,0.9672231762535894,0.9896175986842105,0.989497842414528,0.940130409010077,0.07619440425038337,0.9808,0.5665742024965326,0.9808,0.9888506241331483,0.14285714285714285
2,0.033504500070173464,0.9896939738412921,0.9676737306791449,0.9896939738412921,0.989590120304926,0.9409935449419673,0.03231715293307053,0.9905427631578947,0.969966522681085,0.9905427631578947,0.9904047704870369,0.9451073985680191,0.06156666472554207,0.989,0.6099063917192348,0.989,0.9931531862136662,0.22535211267605634
3,0.02967024346933899,0.990333128511236,0.9699779369403517,0.990333128511236,0.9902845749676947,0.945257402056731,0.0300635324398938,0.9908511513157895,0.9711174523422719,0.9908511513157895,0.9907456235137919,0.947243627741553,0.06268661732077599,0.9813,0.5683326027304925,0.9813,0.9891109568034823,0.1461187214611872
4,0.02795763063084941,0.9907857487710674,0.9713607187819618,0.9907857487710674,0.9907357347877096,0.9477743053935973,0.029277072141045017,0.9913651315789473,0.9728420129890072,0.9913651315789473,0.9912821303007251,0.9504132231404959,0.04244181787967682,0.9833,0.5761850513107937,0.9833,0.9901537870149699,0.16080402010050251
5,0.02665627797610346,0.9911725333567416,0.9725833084550759,0.9911725333567416,0.9911279450781791,0.9500077675935995,0.02750019459544044,0.9920847039473685,0.9750652241973076,0.9920847039473685,0.9920021159530606,0.9544648137196925,0.043587538808584216,0.9812,0.5679749977019947,0.9812,0.9890588804118025,0.14545454545454545
6,0.02600949900970386,0.9913700403792135,0.9732110156780434,0.9913700403792135,0.9913287775688668,0.9511551360079493,0.026892973747300476,0.9922902960526315,0.9757647385915148,0.9922902960526315,0.9922182937482449,0.9557522123893806,0.03971764689087868,0.9853,0.585677286575183,0.9853,0.9912001418843905,0.1787709497206704
7,0.025167401223391127,0.9915565747893258,0.973800338434905,0.9915565747893258,0.9915178801241525,0.9522316717362965,0.027093531024691305,0.9925986842105263,0.976796045744272,0.9925986842105263,0.992539631002506,0.9576470588235294,0.046147604030370715,0.9824,0.5724768360176606,0.9824,0.9896841738697841,0.15384615384615385
8,0.024845020718652796,0.9915949789325843,0.9738196603467753,0.9915949789325843,0.9915401818588429,0.9522473661243065,0.025969160132502254,0.9921875,0.975428487942435,0.9921875,0.9921124036054181,0.9551357733175915,0.03529927201867104,0.9875,0.5987611026815277,0.9875,0.992357755193556,0.20382165605095542
9,0.0241106483860339,0.9917815133426966,0.9745211657389601,0.9917815133426966,0.9917475729703306,0.9535503875968993,0.025605377496073122,0.9923930921052632,0.9761768321651949,0.9923930921052632,0.9923365190578768,0.9565217391304348,0.04264966661930084,0.9829,0.5744988978028467,0.9829,0.989944991964001,0.15763546798029557
10,0.02382737229541572,0.9917595681179775,0.9743972036838764,0.9917595681179775,0.9917164224688508,0.95331344025861,0.025207171559725936,0.992907072368421,0.9777273289402209,0.992907072368421,0.9928446976288956,0.9593400117855039,0.04201049780845642,0.9841,0.5797563062323726,0.9841,0.9905718075157017,0.16753926701570682
11,0.02339412187019447,0.9919845066713483,0.9751281965259234,0.9919845066713483,0.9919477731393027,0.9546526786268545,0.02538705622091105,0.9932154605263158,0.9787070536466518,0.9932154605263158,0.9931576437118514,0.9611307420494699,0.042869886392354964,0.9838,0.5783845570070926,0.9838,0.9904149776543815,0.16494845360824742
12,0.023347674081562443,0.9920037087429775,0.9752926457935261,0.9920037087429775,0.9919841440822972,0.9549730456139267,0.02540455998754815,0.9930098684210527,0.9781316712049373,0.9930098684210527,0.9929616589086374,0.960093896713615,0.051362022686004635,0.9791,0.5611013123070762,0.9791,0.9879662494469141,0.13278008298755187
13,0.02319617377655591,0.9920393697331461,0.97524220983215,0.9920393697331461,0.9919937225406887,0.9548495503625105,0.025071858820554457,0.9931126644736842,0.9783729136086202,0.9931126644736842,0.9930520976976233,0.9605185621685327,0.03714483408331871,0.9849,0.5836218337680487,0.9849,0.9909905008422695,0.17486338797814208
14,0.02281345316310926,0.9921655547752809,0.9757117654707844,0.9921655547752809,0.9921332004016236,0.9557209302325581,0.024718882123890677,0.9931126644736842,0.9784189100750946,0.9931126644736842,0.9930595787782115,0.9606114050558495,0.05570768539905548,0.9773,0.5560266063280095,0.9773,0.9870306758624574,0.12355212355212356
15,0.022589711672194784,0.9922012157654494,0.9757642877129,0.9922012157654494,0.9921595506179786,0.9558053133112593,0.025015927998251038,0.9932154605263158,0.9786843447220805,0.9932154605263158,0.9931539493289372,0.9610849056603774,0.04382152288556099,0.9815,0.5690569872051855,0.9815,0.9892151253543343,0.14746543778801843
16,0.022442674281970294,0.9922725377457865,0.9759582457064844,0.9922725377457865,0.9922267399249988,0.9561535947203761,0.024862171101726983,0.9931126644736842,0.9783498331417533,0.9931126644736842,0.9930483424150985,0.96047197640118,0.03876173707246781,0.9861,0.5900622839901037,0.9861,0.991620110600606,0.1871345029239766
17,0.022020932284361694,0.9923027124297753,0.9760679399286485,0.9923027124297753,0.9922596720337356,0.9563567362428842,0.024667654431572084,0.9928042763157895,0.9773924868264491,0.9928042763157895,0.9927390371670547,0.9587264150943396,0.049420029616355894,0.9805,0.5655536150283693,0.9805,0.9886944799242324,0.14096916299559473
18,0.021822366988406717,0.9923932364817416,0.9763596887484307,0.9923932364817416,0.9923523807596987,0.9568907889623008,0.02486528725804467,0.993421052631579,0.9793522944452382,0.993421052631579,0.9933649878417953,0.9623085983510011,0.05088234531879425,0.98,0.5639068365453048,0.98,0.9884343208808385,0.13793103448275862
19,0.021653827585232852,0.9924206680126404,0.976446263436772,0.9924206680126404,0.9923801752928155,0.9570489203936017,0.024757376970037034,0.992907072368421,0.9777273289402209,0.992907072368421,0.9928446976288956,0.9593400117855039,0.04735369715690613,0.9818,0.5701671435764549,0.9818,0.9893714197993295,0.14953271028037382
20,0.021601468017926503,0.9923932364817416,0.9763264413700773,0.9923932364817416,0.9923469597634135,0.9568236667964188,0.024491844355667893,0.9930098684210527,0.9780384157742648,0.9930098684210527,0.992946493247996,0.9599056603773585,0.04984674203395843,0.9788,0.560208311896946,0.9788,0.9878102761891799,0.13114754098360656
