global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,0.5940234081121789,0.8679245283018868,0.7928603749411705,0.8679245283018868,0.8809958318814735,0.5949670484191493,0.8622532894736842,0.7839699967756716,0.8622532894736842,0.8757817546735458,0.6149005558894708,0.7825950031492757,0.7164468370499806,0.7825950031492757,0.7870087147320801
2,0.48781998901354334,0.9055445586253369,0.8410628258633995,0.9055445586253369,0.9126168174380563,0.4902129534043764,0.899671052631579,0.8316338053424761,0.899671052631579,0.9071965178880063,0.545040686203606,0.8051648120932186,0.7320527824127327,0.8051648120932186,0.804165692716556
3,0.3941541700510966,0.9206009939353099,0.8623212289912692,0.9206009939353099,0.9256345593149864,0.3969032513467889,0.9175575657894737,0.8579382863202716,0.9175575657894737,0.92291213769991,0.4844894794363598,0.8120932185597313,0.7361773109584864,0.8120932185597313,0.8090922374764727
4,0.3247033793810564,0.9263708726415094,0.8706722872402771,0.9263708726415094,0.9306611533858068,0.32770935328383194,0.9241365131578947,0.8669400297654902,0.9241365131578947,0.9285307240174555,0.44715468983126616,0.8149275666596683,0.7375259137931732,0.8149275666596683,0.810962471355276
5,0.2800397540359805,0.9275606469002695,0.8724739980536036,0.9275606469002695,0.9317153991153557,0.28330071505747345,0.9247532894736842,0.8678342511510337,0.9247532894736842,0.9290685799730832,0.4278690478592992,0.815767373504094,0.7382933726638485,0.815767373504094,0.8116567521976948
6,0.2428759452949637,0.9351520384097035,0.8828061683041617,0.9351520384097035,0.9381662039116454,0.24651193069784264,0.9298930921052632,0.8729067287886767,0.9298930921052632,0.9329899868878962,0.4185256881171256,0.8208062145706487,0.7403363534920878,0.8208062145706487,0.8148123252389438
7,0.2137726648959188,0.9389214117250674,0.8877002170886445,0.9389214117250674,0.9413066713540057,0.2176538431330731,0.93359375,0.8775261414356226,0.93359375,0.9360299906638425,0.41754704425997174,0.8220659248372875,0.7392287266579309,0.8220659248372875,0.8149532505290954
8,0.19058267137593016,0.9397953167115903,0.8892403649918355,0.9397953167115903,0.9421305858088903,0.19482762092038206,0.9337993421052632,0.8778426285399095,0.9337993421052632,0.9362130278058343,0.42120028708428114,0.8226957799706067,0.7399713654248583,0.8226957799706067,0.8155364922796011
9,0.17310674998638123,0.9421222203504043,0.891770741899539,0.9421222203504043,0.9439479967799297,0.17776516550465635,0.9356496710526315,0.8797067669131347,0.9356496710526315,0.9376229359861019,0.43247687727769785,0.8229057316817132,0.736686444777698,0.8229057316817132,0.81431701900718
10,0.1610701844056019,0.9431224730458221,0.8929933938555742,0.9431224730458221,0.9447603859184812,0.16626891964360288,0.9364720394736842,0.8806173397385311,0.9364720394736842,0.9382683883981391,0.44413381952611736,0.8235355868150326,0.7363006335010478,0.8235355868150326,0.8144443003864351
11,0.15148895418627886,0.9435541610512129,0.8934033451070751,0.9435541610512129,0.9450822809322339,0.15717292537814692,0.936266447368421,0.8797857599573944,0.936266447368421,0.9379605291743908,0.4582014439137523,0.8230107075372665,0.7345082730916684,0.8230107075372665,0.8134846273205765
12,0.14451254846031134,0.9428697776280324,0.8930853514553572,0.9428697776280324,0.9446519079894057,0.15037073822397934,0.9364720394736842,0.8812440606267048,0.9364720394736842,0.9384200869639153,0.47024497959810524,0.8239554902372455,0.7377784485791745,0.8239554902372455,0.8152289009611214
13,0.1382625156817732,0.9441332547169812,0.8950031871325586,0.9441332547169812,0.9457682012463113,0.14450598547333166,0.9381167763157895,0.883708152949184,0.9381167763157895,0.9398666178247246,0.4869437804373277,0.8234306109594793,0.7362864869046267,0.8234306109594793,0.8143915564556159
14,0.13359816286040124,0.9454072607816711,0.8959985650644045,0.9454072607816711,0.9466654416740942,0.14039545976801923,0.9379111842105263,0.8820080530840382,0.9379111842105263,0.9393471666707648,0.5053786124698559,0.823745538526139,0.7344004308536844,0.823745538526139,0.8137679943752061
15,0.12950332798164166,0.9460074123989218,0.8965545962202557,0.9460074123989218,0.9471084055348968,0.13641351696692014,0.9389391447368421,0.8830156339191886,0.9389391447368421,0.9401198076176193,0.5236202791636665,0.8233256351039261,0.7329825899355943,0.8233256351039261,0.8130049082330447
16,0.125981857071347,0.9456704851752021,0.8966856112521139,0.9456704851752021,0.9469678001027961,0.13334709327471883,0.938733552631579,0.8835708603279582,0.938733552631579,0.9401505154565823,0.5391766694121167,0.8238505143816922,0.735092793428226,0.8238505143816922,0.8140958573454571
17,0.12457482050853277,0.946891846361186,0.8980613262591577,0.946891846361186,0.9479288653477446,0.13225916773080826,0.9391447368421053,0.8838518977456808,0.9391447368421053,0.9404298505040604,0.5503256785101233,0.8236405626705857,0.7333108477198488,0.8236405626705857,0.8132780629035098
18,0.12255331797580514,0.9471761287061995,0.8983651620411567,0.9471761287061995,0.9481483582645013,0.13037785417155215,0.9399671052631579,0.8849223788689029,0.9399671052631579,0.941112506823086,0.5623456075390222,0.8235355868150326,0.73260808990638,0.8235355868150326,0.8129451114775171
19,0.12088324784268588,0.9477973382749326,0.898488505292713,0.9477973382749326,0.9484945777176519,0.12885822747883044,0.9399671052631579,0.883520892278673,0.9399671052631579,0.9407672878453359,0.5765926378653777,0.8236405626705857,0.7312170648665934,0.8236405626705857,0.8124226730337962
20,0.11954898433383263,0.9479552729110512,0.8980051611134743,0.9479552729110512,0.948455037062791,0.12770786646165347,0.9403782894736842,0.8832790561967785,0.9403782894736842,0.9409153780876938,0.5864896699582832,0.8241654419483518,0.7309548961865338,0.8241654419483518,0.8125452936538076
21,0.11843661658686769,0.9483237870619946,0.8986365883311734,0.9483237870619946,0.9487975250912797,0.12653242561377978,0.9412006578947368,0.8847591970362711,0.9412006578947368,0.9416980855756281,0.599176410777264,0.8234306109594793,0.7297794290015491,0.8234306109594793,0.8117409127835608
22,0.1171275928536194,0.9488397068733153,0.8990844998570424,0.9488397068733153,0.9491687273458698,0.12521541432330482,0.9422286184210527,0.8861954781240552,0.9422286184210527,0.9425733872303809,0.6134535123664693,0.82280075582616,0.727367939534942,0.82280075582616,0.8104737348431921
23,0.11673726735892642,0.9492713948787062,0.8981364173674744,0.9492713948787062,0.9491482915921814,0.12523168168569865,0.9449013157894737,0.8895047705588369,0.9449013157894737,0.9447404663550061,0.6306225750818238,0.8215410455595213,0.722010298366435,0.8215410455595213,0.8077115101600608
24,0.11430474047390919,0.949481974393531,0.8999453395451715,0.949481974393531,0.94970583361009,0.12260505478633077,0.9428453947368421,0.8869602785331265,0.9428453947368421,0.9430741642183778,0.6388443726690382,0.8229057316817132,0.7269548779057902,0.8229057316817132,0.8103490323828985
25,0.11452258647371817,0.9499347203504043,0.8990231926590029,0.9499347203504043,0.9497014478811114,0.12311312791548278,0.9436677631578947,0.8867663931529122,0.9436677631578947,0.943436725112631,0.65132520778475,0.8217509972706277,0.7219016656037991,0.8217509972706277,0.8077566971070919
