global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,2.8345370243505106,0.8688788659793815,0.08634427036755413,0.8688788659793815,0.873035349833557,2.8247118623633134,0.869140625,0.14313630971621644,0.869140625,0.874133901789318,2.8282309825897216,0.8695,0.13642061333216943,0.8695,0.873953930068995
2,2.511973457238109,0.8924170425257731,0.14415478563855352,0.8924170425257731,0.8945066137079762,2.503967473381444,0.8930921052631579,0.23545227225500756,0.8930921052631579,0.8954515892882757,2.5126871677398683,0.89,0.24765608270712328,0.89,0.8922252024267145
3,2.226358516929076,0.9047197164948454,0.20117343809837418,0.9047197164948454,0.9058683822377619,2.22148471129568,0.9040912828947368,0.3350428408693839,0.9040912828947368,0.9052018702172043,2.232779795074463,0.9001,0.3463767377122148,0.9001,0.9011571546926196
4,1.9742696322116655,0.9145457474226805,0.20789740083931163,0.9145457474226805,0.9152967177254466,1.9707281589508057,0.9130345394736842,0.4348120916593929,0.9130345394736842,0.9136429699585056,1.9812021980285643,0.9097,0.3791278214757014,0.9097,0.9104328244008935
5,1.7948600139814554,0.9203044458762887,0.27069815340634196,0.9203044458762887,0.9208176944377576,1.7925407635538202,0.9181743421052632,0.5738025220685099,0.9181743421052632,0.918586855624037,1.806022595024109,0.915,0.43574519095989334,0.915,0.915589204591115
6,1.667093086488468,0.9254188144329897,0.34278525243934105,0.9254188144329897,0.9259265206988879,1.6666704792725413,0.9236225328947368,0.7103770306122343,0.9236225328947368,0.9239547900520407,1.6767495254516602,0.9236,0.5772906222800601,0.9236,0.9240736001300606
7,1.5041583985397495,0.9306741301546392,0.4229353117538965,0.9306741301546392,0.9308423570720054,1.5054588317871094,0.9271175986842105,0.7129496603519213,0.9271175986842105,0.9272984959092395,1.5151405158996583,0.9232,0.5769309332252246,0.9232,0.9235070036970013
8,1.391547666382544,0.9333521262886598,0.40572713013516354,0.9333521262886598,0.9335684279224926,1.3942954352027492,0.9302014802631579,0.774900060014756,0.9302014802631579,0.9303343129433799,1.4051229946136474,0.9265,0.6175609096409106,0.9265,0.9268326280599928
9,1.3081786239270083,0.9364328286082474,0.46811173278146434,0.9364328286082474,0.9366017303473287,1.3121440473355745,0.9320518092105263,0.8469405057047457,0.9320518092105263,0.9321171357974469,1.3201079778671265,0.93,0.6641905627979702,0.93,0.930265560601891
10,1.25441295215764,0.938587306701031,0.5519778028075546,0.938587306701031,0.9387151163123301,1.257744130335356,0.9354440789473685,0.9349661247614722,0.9354440789473685,0.9354585733084877,1.2676559837341308,0.9338,0.6669083680714903,0.9338,0.9340719665829167
11,1.1795325869137478,0.9405001610824743,0.5876409265636385,0.9405001610824743,0.9405641838326302,1.186459315450568,0.9358552631578947,0.935312337039093,0.9358552631578947,0.9358491942264299,1.193212095451355,0.9339,0.6225368081369255,0.9339,0.9342245891694971
12,1.117088604219181,0.9427351804123711,0.7249804791506099,0.9427351804123711,0.9427974720997654,1.1282124080156024,0.9375,0.9370248045147124,0.9375,0.937480485311791,1.1326608938217164,0.9353,0.7192989575069106,0.9353,0.9354751245399857
13,1.0579334970602055,0.9453125,0.5907028569002649,0.9453125,0.9454193673059625,1.0692035085276554,0.9395559210526315,0.9391287229814609,0.9395559210526315,0.9395356889068492,1.0742589015960693,0.9363,0.7200863069028856,0.9363,0.9365221823483147
14,1.013537932302534,0.9458158827319587,0.525417472164839,0.9458158827319587,0.9460300400083475,1.0253450745030452,0.9395559210526315,0.8538408203464627,0.9395559210526315,0.9396226603067737,1.0307168758392333,0.9391,0.7223032214551577,0.9391,0.9393362104480255
15,0.9661950886864024,0.9477891430412371,0.6317705912529282,0.9477891430412371,0.9479491434738078,0.9789004953284013,0.942639802631579,0.8566581160457765,0.942639802631579,0.942698243248181,0.9861969745635987,0.9392,0.722293708848389,0.9392,0.9393971396041423
16,0.9235598825916802,0.950769168814433,0.5003580664943401,0.950769168814433,0.9509176931555354,0.9392005581604806,0.9468544407894737,0.8604596030390158,0.9468544407894737,0.9468515316091525,0.9447503371238708,0.9415,0.6723836499337196,0.9415,0.9416885607529619
17,0.8902314188554115,0.9505074097938144,0.6788468470531319,0.9505074097938144,0.9506184263020686,0.9063871251909357,0.9447985197368421,0.9444075669050843,0.9447985197368421,0.9447531196458235,0.9109988339424133,0.9409,0.6718912286660258,0.9409,0.9410564844296172
18,0.8659973900342725,0.9523195876288659,0.634794364867476,0.9523195876288659,0.952451186836296,0.8847457076373854,0.946546052631579,0.7885963214060818,0.946546052631579,0.9466645299555442,0.8886204607963561,0.9425,0.6730363320916678,0.9425,0.942636526049751
19,0.8156308648512536,0.9521585051546392,0.5289317692317348,0.9521585051546392,0.9523143439358475,0.833240386686827,0.9469572368421053,0.7283065358422814,0.9469572368421053,0.9470834067064194,0.8385852824211121,0.9427,0.6732586155683273,0.9427,0.9428759390647269
20,0.795641454224734,0.952782699742268,0.7938368152642457,0.952782699742268,0.9528397901652088,0.8155572884961179,0.9446957236842105,0.9443194206854857,0.9446957236842105,0.9447029768572012,0.8204742259979249,0.9429,0.7856056291141641,0.9429,0.9430422200493173
21,0.7692062621264114,0.9543129832474226,0.6360926227403033,0.9543129832474226,0.9543474454869436,0.7881081919921072,0.9476768092105263,0.8612218894483141,0.9476768092105263,0.947672218988519,0.7942831330299377,0.9447,0.7265489067286238,0.9447,0.9448243134750033
22,0.7263644362233349,0.9554405605670103,0.5619405127393996,0.9554405605670103,0.9555069582481645,0.7449908664352015,0.9487047697368421,0.862185433793838,0.9487047697368421,0.9487054268609733,0.7500591848373414,0.9455,0.7271594168812698,0.9455,0.9456225413309783
23,0.6993419528007507,0.9565681378865979,0.6831551601178967,0.9565681378865979,0.9566179685803934,0.7219516007523787,0.947985197368421,0.9476120216159492,0.947985197368421,0.9479409592586251,0.7264841822624206,0.9457,0.8594814275571513,0.9457,0.9457457824845388
24,0.6788063288963947,0.9574138208762887,0.7363333521999651,0.9574138208762887,0.9574261172821298,0.7012185579852054,0.9503495065789473,0.9500083625698824,0.9503495065789473,0.9502932001990066,0.7058471717834472,0.9462,0.859919230384713,0.9462,0.9462176969713578
25,0.6635364908532998,0.9587427512886598,0.5045734187323779,0.9587427512886598,0.9589064885096058,0.6862269389001947,0.9507606907894737,0.8640906395388451,0.9507606907894737,0.9507974018637545,0.6923056051254273,0.9482,0.7292472090240755,0.9482,0.9483326283177501
26,0.6386345403710592,0.9594474871134021,0.6852307702383437,0.9594474871134021,0.9595201276798331,0.6624611490651181,0.9515830592105263,0.9512268855739846,0.9515830592105263,0.9515771205460964,0.6701034748077392,0.9478,0.7289744932839586,0.9478,0.9479765967289173
27,0.6209558217795854,0.9603535760309279,0.6401298894525991,0.9603535760309279,0.9603809706039175,0.6465389038387098,0.9517886513157895,0.8649644899680932,0.9517886513157895,0.9518022845921856,0.6516720817565917,0.9461,0.7881984285300799,0.9461,0.9461563254684988
28,0.6030434708005374,0.9606556056701031,0.5650355043505991,0.9606556056701031,0.960728690803935,0.628561070090846,0.952405427631579,0.8655775167747006,0.952405427631579,0.9524257013486309,0.6369738668441772,0.9476,0.7895244179282553,0.9476,0.9476967630047957
29,0.5759759041451916,0.9616221005154639,0.6409953166655983,0.9616221005154639,0.9616520135790493,0.6062714426141036,0.9502467105263158,0.7916282450982108,0.9502467105263158,0.9503015439134955,0.610805651473999,0.9477,0.7895515329154742,0.9477,0.9477647385141532
30,0.5649396519071048,0.9618838595360825,0.5657549944806544,0.9618838595360825,0.9619504915456315,0.592215801540174,0.9536389802631579,0.8667009581663055,0.9536389802631579,0.9536583875960385,0.5992124555587769,0.9487,0.7904380057062879,0.9487,0.9488037936293993
31,0.5548046901053989,0.9621254832474226,0.6871644839376501,0.9621254832474226,0.9622044271449854,0.5850830140866732,0.9517886513157895,0.8649887993730814,0.9517886513157895,0.9518090758157305,0.5897943110466003,0.949,0.7298481633771936,0.949,0.9491212960782796
32,0.5315734848533709,0.9632530605670103,0.6879414928625277,0.9632530605670103,0.963283545221913,0.5618520081043243,0.9527138157894737,0.8658562183753329,0.9527138157894737,0.9527487163232624,0.5656848194122315,0.9492,0.8626583619740955,0.9492,0.949230682919864
