global_round,train_loss,train_mse,train_mae,train_mape,train_r2,dev_loss,dev_mse,dev_mae,dev_mape,dev_r2,test_loss,test_mse,test_mae,test_mape,test_r2
1,15140579621.805906,15140579403.712727,47635.105976253486,1.0018722452055422,-0.1751790180092545,15359558117.052631,15359558190.126635,48290.14955712216,1.0011030382262553,-0.17787700964634512,131694884.14251482,131694890.31628345,3323.6763219241443,0.997045317787413,-0.09134737865578191
2,15118616506.869198,15118616701.742136,47590.749564126105,0.9937439629086245,-0.17347432059666423,15337418967.578947,15337419367.88119,48237.07596028525,0.9910647487597901,-0.17617925184493122,131490104.64976668,131490083.57820746,3295.362042827252,0.9753044075397109,-0.08965015793451103
3,15087050077.974684,15087050232.623363,47513.65385090849,0.9765234464974716,-0.17102419955493442,15305811752.421053,15305812013.385225,48147.292859447996,0.97000578482885,-0.17375538159191373,131117939.25942741,131117937.69548146,3243.590474032261,0.9384656903061018,-0.08656620811219717
4,15045621911.223629,15045621987.664244,47426.52784014697,0.9635760622238633,-0.1678086288075582,15265654352.842106,15265654363.575134,48055.93436959626,0.9564948091665417,-0.17067581563778744,130678200.71408753,130678190.95800304,3196.054488496351,0.9118497949128705,-0.08292205420412269
5,14996242604.827003,14996242643.40984,47307.33800738252,0.9418048436556469,-0.16397591093438324,15219819897.263159,15219819959.162733,47932.81701461853,0.934274039044447,-0.16716091693172275,130135915.9901627,130135916.73198077,3136.446637555711,0.8789809590151187,-0.07842826136477488
6,14938755430.616034,14938755321.292963,47155.40043403466,0.9096071128402244,-0.15951386936041767,15164467846.736841,15164467901.576847,47779.33471934105,0.9019998377237277,-0.16291613884240608,129432214.59654433,129432216.97888565,3055.344372760274,0.8357412290240543,-0.07259674520604875
7,14870690794.396624,14870690779.139862,46970.95024479228,0.8708146242844644,-0.15423084685012234,15099929600.0,15099929636.110853,47581.469258417426,0.8647484357516446,-0.15796689888420778,128599257.44129147,128599255.76741724,2968.302657151556,0.80073890301684,-0.06569404736807827
8,14798289902.7173,14798289937.768686,46774.801368563894,0.8341055797856411,-0.1486112501757204,15032725234.526316,15032725191.142738,47426.43853895717,0.8365328601328464,-0.15281319786663095,127911037.55706899,127911045.73883358,2897.749216451848,0.7792019712612741,-0.05999089359456744
9,14720310466.43038,14720310370.720882,46565.850001947285,0.7925393304673354,-0.1425586448833791,14960334686.31579,14960334730.187231,47228.054828367734,0.7968482919460257,-0.14726179732361233,127239425.473578,127239417.23893887,2819.3457904324464,0.7528296952067082,-0.05442514991969705
10,14634551931.13924,14634551864.215082,46326.41413053984,0.7489459177495117,-0.13590225513935694,14877316688.842106,14877316602.197525,46978.74603195567,0.756810280309869,-0.14089539386769734,126524945.26043637,126524941.72137286,2747.816522662494,0.752970494536268,-0.04850433566990531
11,14540240399.122362,14540240471.190859,46074.66397236118,0.7129457783017445,-0.12858200884718962,14789032582.736841,14789032722.387342,46761.118726661334,0.7339219012078166,-0.13412517619192843,126125201.18829612,126125216.45227697,2711.564372745494,0.7922892206520143,-0.04519183718524444
12,14443812669.56962,14443812931.929743,45829.14095059377,0.6888814205760241,-0.1210975118622104,14698462800.842106,14698462776.553091,46543.36680933049,0.7069219840219753,-0.12717964718370123,125754889.43221088,125754897.19038855,2697.103323821117,0.8615623766443212,-0.04212302445639016
13,14340059680.405064,14340059658.812971,45603.93893784159,0.7082536346709617,-0.11304440726393361,14596748126.31579,14596747949.647852,46329.0226279058,0.7373856216645788,-0.11937945171786724,125691554.00832388,125691555.36259696,2721.4671976717564,0.9802236060685038,-0.04159811466259633
14,14231838382.98734,14231838373.812788,45387.30216522257,0.7424516353910717,-0.10464450524941582,14492979900.631578,14492979920.63322,46115.792819173716,0.7705385810456647,-0.11142180253293055,125965890.57787867,125965896.39763242,2785.2765015895466,1.1277578110674442,-0.04387156178514329
15,14118705337.78903,14118705389.420832,45184.270877778785,0.7855546585194598,-0.09586336775413651,14392014955.789474,14392015109.667782,45952.883381692984,0.814457579290452,-0.10367912346967945,126502609.62517342,126502608.1562649,2865.9751298788715,1.2743780920909757,-0.048319258802624665
16,14007642224.337553,14007642236.62339,44967.472577451656,0.8409046994876985,-0.08724288610932551,14292307321.263159,14292307239.135714,45757.454121006165,0.8717852992479188,-0.09603283528047801,127001359.84058519,127001361.43370712,2964.9484080423967,1.4567628627605937,-0.0524523962434571
17,13881153065.046413,13881153057.027967,44725.834233507325,0.8873157588440324,-0.07742506963730245,14177262969.263159,14177263096.361591,45556.2829792876,0.9335294693133598,-0.08721045580896325,128465548.12132677,128465542.33977816,3127.228072683272,1.6814200800538557,-0.06458597249596632
18,13756636821.063292,13756636944.349184,44504.46640378513,0.953095487882651,-0.06776039835079262,14057730425.263159,14057730485.58955,45357.11693885452,1.0073669259699207,-0.07804386960976539,129475833.49627948,129475830.78402925,3261.439194189373,1.8811539547939342,-0.07295817010114036
19,13624454900.118143,13624454927.172703,44286.06626133174,1.036552787489671,-0.057500716141679176,13929607383.578947,13929607306.821922,45179.284971827736,1.1057440973116877,-0.0682184993220829,132252869.44179595,132252874.62992598,3493.2202131502536,2.168880670024524,-0.09597136001574436
20,13477559408.337553,13477559475.643625,44060.795646014594,1.119498941284005,-0.04609900898933361,13796545643.789474,13796545307.60392,44962.206984897195,1.1480955913600355,-0.05801438617010368,134904087.7760121,134904090.20383835,3688.536978452319,2.3949049368720563,-0.11794181885353061
21,13356988264.776371,13356988360.192709,43854.35321894678,1.2009578283484559,-0.036740539852997856,13688541076.210526,13688541055.345507,44799.636440866874,1.2424048052317325,-0.04973187412747171,138020890.65909952,138020888.04759398,3940.65862887004,2.702631617190615,-0.14377052905187981
22,13210153733.400845,13210153716.840532,43625.904276995716,1.2794834764491563,-0.025343552499790034,13544460072.421053,13544459989.178461,44603.110631064366,1.3429776528420765,-0.038682742813747506,142496848.16496405,142496834.47750452,4195.994291592522,2.9731220640632072,-0.1808624191894168
23,13064824067.240507,13064823963.26241,43393.47259493619,1.3779085059461134,-0.014063371435148353,13401740988.631578,13401741188.280134,44376.68439850054,1.4272847309098662,-0.027738079409920235,147623458.55114138,147623461.33763945,4505.8569501900165,3.313752796081824,-0.22334645764920524
24,12900304131.240507,12900304185.182251,43143.942129808136,1.4765550303560029,-0.001293702184582468,13247209579.789474,13247209554.94134,44169.95369679049,1.5415458669858855,-0.015887526423971066,152688985.97099257,152688979.988349,4771.496872881589,3.5834197809414725,-0.265324096171907
25,12754446271.189873,12754446291.91665,42909.1226068036,1.5751804592929877,0.01002747194001763,13116928754.526316,13116928642.311255,44006.30543707546,1.6641414579144211,-0.005896686200365986,157676886.63387564,157676887.75738266,5065.7457809457865,3.8999460864135287,-0.30665857813729147
26,12587487923.308018,12587487959.533735,42636.876604282406,1.6713039872772824,0.022986416499966578,12979649589.894737,12979649626.783411,43731.885376917686,1.7219985511227018,0.004630816888952727,165146009.2743095,165146015.8175385,5414.976650654195,4.251089900862504,-0.3685547785875798
27,12437564843.746836,12437564827.755314,42426.22636921295,1.7888712258985435,0.03462312564314729,12826802984.421053,12826802837.628746,43578.4840513907,1.882905580957638,0.01635216438573639,173364303.49552277,173364305.83121806,5791.707545826634,4.626317621765593,-0.43665923762863956
28,12286542398.64979,12286542368.318615,42289.539825374064,1.9225263607877197,0.046345162220865155,12676066896.842106,12676066839.374512,43478.79347094736,2.0242739796599785,0.027911641857157776,181398593.03115147,181398598.8872186,6133.386121469152,4.964288983644619,-0.5032389253064264
29,12113769474.160337,12113769486.368711,42062.87817687727,2.0018742365608286,0.059755419538938925,12516784990.31579,12516785159.930462,43316.45562316242,2.1320574630153564,0.040126461186766216,190191941.3696557,190191941.7751758,6453.393976029449,5.275349076455169,-0.5761088118095854
30,11926756697.654009,11926756675.428427,41898.448435239145,2.1571422861416716,0.07427094933841694,12336080842.105263,12336080801.194925,43188.26902503716,2.3015851932643154,0.05398411952971882,203907774.9718754,203907784.94114563,6920.061628434288,5.716532467186867,-0.689771152461417
31,11780866983.42616,11780866991.131681,41868.44150793804,2.3444775542863754,0.0855945910140774,12190931536.842106,12190931669.434986,43172.340249676454,2.4893181694226656,0.0651151574901766,216010466.2893177,216010465.40451938,7356.349617996437,6.131653675825661,-0.7900653139637355
32,11594080647.021097,11594080630.9969,41676.91047707791,2.486216474362216,0.10009254419193847,12036878551.578947,12036878440.254503,43032.05871352396,2.6441777024133426,0.07692902314095507,227640228.45049816,227640226.29017183,7776.167054631337,6.517771382369565,-0.8864404202907048
33,11422502987.611814,11422502991.009476,41512.71507101723,2.605189273857802,0.11341002941468525,11871952734.31579,11871952685.459509,42953.99074595853,2.811299910687177,0.08957666915179352,242696630.07087904,242696621.35163736,8181.667064730736,6.894009566244745,-1.0112118312609644
34,11235738973.974684,11235738933.068438,41334.67437417296,2.759966178240493,0.12790625154451674,11686964224.0,11686963938.003126,42844.83309285264,2.973173883814411,0.10376288401389888,261210050.61117417,261210045.62942848,8694.62593875134,7.368066499134548,-1.1646314286879074
35,11036973040.877638,11036973025.566423,41208.94543351906,2.9733446360985534,0.14333403127232935,11520118999.578947,11520118744.645514,42732.69773482021,3.160775637221807,0.11655772583117585,276141086.2101148,276141089.81807745,9165.669688295635,7.784264018524888,-1.2883640647586092
36,10891798798.042194,10891798802.18611,41059.72420885895,3.076407484951591,0.15460214041949305,11372805712.842106,11372805751.88772,42622.88851967611,3.2975331725863275,0.1278547035986185,293169383.046538,293169385.98509943,9584.967156573673,8.166158678228207,-1.4294764977483951
