global_round,train_loss,train_mse,train_r2,train_mae,train_mape,dev_loss,dev_mse,dev_r2,dev_mae,dev_mape,test_loss,test_mse,test_r2,test_mae,test_mape
1,137518040.94047618,137518038.4939895,-0.09404211864417156,3438.2658200732717,1.000407623582987,181046996.87179488,181046995.22168237,-0.06677278451550794,3366.520675810007,1.0003725526954257,131745268.50372052,131745270.25484689,-0.09176487407839073,3327.8273320588864,1.0003737506064587
2,137519214.0952381,137519212.36867398,-0.09405145755244071,3438.6080493384748,1.000732345381604,181047846.46153846,181047857.68047756,-0.06677786633180283,3366.841787225946,1.000691316589831,131745996.66843234,131745997.02568981,-0.09177089678323824,3328.1460043939146,1.0006910724666684
3,137520265.16666666,137520266.3852756,-0.09405984291459779,3439.074749618578,1.0011920038125903,181048529.76923078,181048543.58931798,-0.06678190787296567,3367.282209593529,1.0011511893402851,131746501.21579014,131746503.19297215,-0.09177509136007744,3328.5827500652485,1.0011485999060141
4,137519146.41666666,137519147.02347374,-0.09405093769044948,3439.4727228609263,1.0016990929303868,181046963.82051283,181046963.23735258,-0.06677259605608321,3367.6550329978927,1.0016369587021297,131744831.90011351,131744835.6422197,-0.09176127247053589,3328.9480500755267,1.001633119809864
5,137516034.48809522,137516032.47480887,-0.09402615950529469,3439.802901907803,1.0022930193123005,181043840.64102563,181043846.48151526,-0.06675423137513858,3367.964568312253,1.0021396626526191,131741247.64283012,131741251.15863074,-0.0917315680776074,3329.245713211298,1.0021336791949413
6,137510786.23809522,137510787.85310927,-0.09398443525516309,3439.9015784254243,1.0027656238791558,181039121.12820512,181039138.21124026,-0.06672648910531875,3368.0582490323714,1.0025011504712733,131736042.22878043,131736043.5212029,-0.09168841270960315,3329.3307642934,1.0024966475641872
7,137504156.80952382,137504156.8774874,-0.09393168169135802,3439.7940901529005,1.003090155821916,181033367.35897437,181033360.73105514,-0.06669244679151487,3367.9577235516886,1.0026965945355295,131729602.2383655,131729599.94840012,-0.09163501522189055,3329.2278586646253,1.0026979843997041
8,137498752.32142857,137498750.1075028,-0.09388866745007207,3439.923464900333,1.0035952433582669,181029292.56410256,181029288.15170786,-0.06666845016674272,3368.105563976908,1.0030742205714795,131724540.52339514,131724545.76790133,-0.09159313154192872,3329.364919275594,1.0030829206642622
9,137492614.0952381,137492613.4074655,-0.09383984615808849,3439.839655244813,1.003920353142604,181024614.05128205,181024608.12873408,-0.06664087433686938,3368.0378501924247,1.0032644353660851,131719070.07718502,131719069.05499683,-0.09154774636215746,3329.297310607477,1.0032869389826469
10,137487736.27380952,137487738.35447374,-0.09380106205847527,3439.92897263593,1.0043847239636707,181021045.64102563,181021046.6780969,-0.06661988940636276,3368.1349102942445,1.0035607836975227,131715446.56728466,131715446.30806564,-0.09151772488328747,3329.3950203554814,1.0035970038086433
11,137480550.7142857,137480552.45616013,-0.09374389373712999,3439.8433551340286,1.004796199394493,181015836.07692307,181015829.15159363,-0.06658914647539427,3368.085076090308,1.0037902180836973,131709964.60032791,131709974.24866048,-0.09147237826677612,3329.337459686534,1.0038313811540278
12,137475573.7857143,137475570.3620239,-0.09370425805817639,3440.033285268979,1.0053268890456633,181011825.58974358,181011825.04790267,-0.06656555332578873,3368.248554152935,1.004123224139065,131705273.10228276,131705281.30836922,-0.0914334881619836,3329.4880031601224,1.0041651347126073
13,137468190.76190478,137468194.67360443,-0.09364557983768051,3439.989034094509,1.0057194365837585,181007150.3846154,181007159.11233234,-0.06653806050231137,3368.2381998502324,1.0043485501801042,131700430.32538782,131700438.66650102,-0.09139335748951827,3329.4653351916595,1.0044028818103043
14,137462398.73809522,137462396.74349785,-0.09359945367265499,3440.1512073696804,1.0062797027469714,181004097.84615386,181004091.00162444,-0.06651998245026158,3368.4601790173306,1.0047224427371015,131696755.91348216,131696755.71514946,-0.0913628371003552,3329.67787612194,1.0047711472692158
15,137454836.54761904,137454835.88851458,-0.09353930233618146,3440.0554813790527,1.0066507168008187,180998611.15384614,180998616.9227621,-0.06648772785060086,3368.374030363599,1.0048648292743114,131691224.31857738,131691231.98943329,-0.09131706232833281,3329.58722279858,1.0049294161807891
16,137448286.1309524,137448284.37955174,-0.093487180979416,3440.1065578303323,1.0070204430282037,180994661.92307693,180994657.3957593,-0.0664643973576482,3368.445877284211,1.0050357632863118,131686819.15525287,131686806.94740734,-0.09128039227982998,3329.6322120835694,1.005108609158738
17,137439438.64285713,137439439.32943308,-0.0934168130663966,3439.7266607951815,1.0070745041393938,180989724.17948717,180989714.15714735,-0.06643527059742693,3368.186439593575,1.004980610288349,131681489.16105436,131681487.28714903,-0.09123630858558562,3329.3551373761225,1.0050482142652537
18,137430316.05952382,137430314.78120255,-0.0933442215708582,3439.5251622796472,1.0073469567902837,180984526.3846154,180984521.33428204,-0.06640467322628174,3368.087125390833,1.0050837132496862,131675119.89557321,131675121.75479303,-0.0911835578142095,3329.196768780852,1.0051214976367253
19,137422930.64285713,137422925.31218165,-0.09328543371704767,3439.4353806655163,1.0075909920310189,180980190.41025642,180980187.93196592,-0.06637913976934962,3368.0402086024583,1.0051678882677375,131670263.37243032,131670266.39806952,-0.09114332177452789,3329.1253156968073,1.0052080853064922
20,137415913.82142857,137415912.840448,-0.09322964511275678,3439.600951655872,1.0080302043935778,180977155.33333334,180977162.42704347,-0.06636131276091595,3368.2076156249145,1.0053467221168257,131664501.90969858,131664514.59043688,-0.09109565690182597,3329.2193673145957,1.0053536029027665
21,137406354.44047618,137406356.66645628,-0.09315361976397685,3439.287332007742,1.0081998189795707,180970873.4871795,180970876.70663962,-0.06632427577253797,3367.9121916168297,1.0052574660098743,131660717.11237231,131660724.15008114,-0.0910642457579598,3328.9036966458852,1.0052685699182897
22,137401567.58333334,137401570.3363698,-0.09311554151063883,3439.53471961663,1.008554252453605,180970814.87179488,180970810.11130318,-0.06632388337667194,3368.2022542345385,1.0054433106598382,131661178.59402195,131661176.52205902,-0.09106799453645098,3329.1086624913423,1.0054512547621346
23,137397584.8690476,137397582.76097667,-0.09308381785111641,3439.64797100721,1.0087623603717486,180969599.46153846,180969602.44799063,-0.06631676753167759,3368.3658225723657,1.0056280205777637,131659003.61407492,131659005.13462125,-0.09105000038358324,3329.2083045730456,1.005575552668476
24,137388084.17857143,137388084.05896708,-0.09300824972794697,3439.583712184594,1.008945764225102,180967458.6153846,180967465.4642289,-0.06630417590531468,3368.384967563221,1.005708174695696,131655930.40282507,131655925.01279598,-0.09102447560527271,3329.1874496259406,1.0056566422799653
25,137377517.16666666,137377518.6635419,-0.09292419539062613,3439.298054682908,1.0092077138603541,180961744.97435898,180961737.50571623,-0.06627042538520977,3368.070114630773,1.0055375528974415,131651779.085635,131651783.90150326,-0.09099015847312608,3328.892588446515,1.0055012523222333
26,137374387.92857143,137374390.3527098,-0.09289930771881205,3439.48493618128,1.0092727499706786,180961592.46153846,180961612.32996374,-0.06626968781933162,3368.2322081245306,1.005616396709642,131651340.7478875,131651342.12819672,-0.09098649752516597,3329.076193854521,1.0055421164437883
27,137360200.79761904,137360201.0450368,-0.09278642289003858,3439.095577043098,1.0093197830884957,180955402.82051283,180955405.72438,-0.06623311699465217,3367.931355325928,1.0055421735790153,131643898.11930886,131643901.753158,-0.09092483959921904,3328.7071431945574,1.0054234400467525
28,137356484.69047618,137356485.62678406,-0.09275686441100994,3439.1645767487144,1.0094358139285888,180955691.7948718,180955697.71243635,-0.06623483745906289,3368.0197076108434,1.0055895885229182,131644819.9124732,131644823.25579758,-0.09093247603437393,3328.8666961335803,1.0055111610303509
29,137346895.45238096,137346896.46751028,-0.09268057664365381,3438.9188018469576,1.0093191071804373,180949151.2820513,180949144.57911587,-0.06619622480895493,3367.667558602506,1.005466617364862,131637890.75167108,131637892.06906006,-0.09087503772026162,3328.4887286497706,1.0053429589007696
30,137335034.64285713,137335036.64411813,-0.09258622432120367,3439.213148252266,1.0095075933384714,180947570.3846154,180947566.84647352,-0.0661869284257588,3367.765632624038,1.005678532166131,131637219.91095977,131637222.54115535,-0.09086948938408868,3328.6184833713346,1.0056100544353084
31,137337013.83333334,137337017.13056588,-0.0926019803312006,3439.529845152728,1.0095416718195769,180950240.35897437,180950239.26737544,-0.06620267497755017,3368.091353768087,1.0057982771295373,131644206.2403834,131644209.89400762,-0.09092739314330633,3328.9974385143128,1.005709154524017
32,137319614.4047619,137319614.63244447,-0.09246353256010842,3439.2003367334823,1.0096969713307975,180940793.74358973,180940791.15239164,-0.06614700439369225,3367.7536941539342,1.0056302472034044,131633680.86921428,131633685.70557319,-0.09084017984723358,3328.5667873057473,1.005543134057546
33,137313616.58333334,137313619.28267118,-0.09241583579799761,3438.599573477252,1.0093447823055393,180936090.8974359,180936088.36992574,-0.06611929445937403,3367.1763809891254,1.005188020088836,131632685.17341405,131632685.82839413,-0.09083189392713664,3327.9015563653506,1.0050466998186292
34,137300406.33333334,137300408.94663268,-0.09231073930167,3438.2406484291896,1.0090639446719702,180929515.7948718,180929527.8947793,-0.06608063854944768,3366.722760034385,1.0049173810176564,131622701.83907177,131622711.80424322,-0.09074923980832006,3327.406467867837,1.004724116742095
35,137300222.6190476,137300231.28343555,-0.092309325879673,3438.929344561422,1.0097348343494503,180936171.92307693,180936157.41572776,-0.06611970129397737,3367.613707422049,1.0055494918309225,131630319.47710934,131630319.3378037,-0.09081228296655741,3328.3851036115802,1.0053756513752143
36,137291790.51190478,137291792.61374378,-0.09224219097745068,3438.39886907981,1.009358597750989,180928530.8974359,180928538.34625268,-0.0660748078896467,3366.9234146233543,1.005120007738005,131624561.55202422,131624563.69277768,-0.09076458629361484,3327.696476855445,1.0048977033958435
37,137274253.7142857,137274254.1081506,-0.09210266118174415,3437.7074748793675,1.0091587653297345,180920536.87179488,180920543.11219743,-0.06602769803242126,3366.268419393122,1.0046495548562635,131616077.82545088,131616080.60511965,-0.09069428747293728,3327.0051122373684,1.0043966155705535
38,137266553.0,137266553.6719427,-0.09204139938921418,3438.1044711697054,1.0095119584890053,180923304.17948717,180923294.9649958,-0.06604391261620224,3366.6861326179455,1.0050946384131016,131620695.59515701,131620690.2693774,-0.0907324874744111,3327.36248348269,1.0047806852557544
39,137253757.66666666,137253753.16172367,-0.09193956331393904,3436.984274910194,1.0087833588759179,180913767.97435898,180913758.4354677,-0.06598772107241624,3365.7021598245274,1.004448462561032,131613389.0848783,131613382.59068078,-0.09067192919481148,3326.4116146414794,1.0041699554427486
40,137241428.83333334,137241427.04640356,-0.0918415013471805,3436.5226352093887,1.0085255402426172,180911571.05128205,180911568.1920967,-0.06597481562752461,3365.367513467395,1.0040615625416183,131608281.12624542,131608288.33244082,-0.09062971339309733,3326.0385920198078,1.003747980697261
41,137231560.23809522,137231562.66205248,-0.09176302399197134,3436.6484473962787,1.0083115427672509,180916262.92307693,180916277.37721545,-0.06600256328782561,3365.2297979465534,1.0039402969812492,131606010.98322614,131606005.0271902,-0.09061079178426379,3325.8501179416166,1.0035303985159838
42,137212222.66666666,137212220.56725055,-0.09160914551458843,3435.855179991262,1.0080453087498193,180911683.53846154,180911687.6490192,-0.06597551949667024,3364.5220613993392,1.0034300929713775,131600436.47849666,131600431.93313855,-0.09056460789991072,3325.160376919828,1.0029875365885428
43,137212926.42857143,137212931.80088833,-0.09161480382359621,3436.524024232637,1.0084644890292025,180917557.4871795,180917563.644823,-0.06601014228838098,3365.062964370119,1.0038453740057274,131606555.32147811,131606553.45464218,-0.09061533656850451,3325.634074736253,1.003253225009511
44,137186827.0357143,137186830.03991675,-0.09140714796850702,3434.6924184397967,1.0073404977900284,180897977.17948717,180897976.4149148,-0.06589472958150577,3363.3112394430177,1.0025474710478712,131588367.13532601,131588357.26018694,-0.09046454583491914,3323.9471019886923,1.0020178916677676
45,137172411.67857143,137172416.6547501,-0.0912924804629398,3433.1684120600717,1.0063877929246128,180886777.30769232,180886766.48405227,-0.06582867795139835,3361.7416453941914,1.0013073031776982,131580375.93870601,131580367.57203838,-0.09039833578533973,3322.4638796071395,1.0008108996563299
46,137166899.95238096,137166901.9885835,-0.09124860783995481,3432.3113835513636,1.0054128954639294,180889986.74358973,180889981.78744233,-0.06584762329841332,3360.929438644738,1.0006082888708996,131577748.35389078,131577752.2779422,-0.09037666300555736,3321.7199370107273,1.0001731817274755
47,137134832.23809522,137134830.15331024,-0.09099345630496014,3431.616280867463,1.0051923714420452,180880698.7179487,180880701.0468854,-0.06579293892525295,3360.224003013858,1.0002575277393366,131570556.45882204,131570553.61775161,-0.090317008155548,3320.9021186218433,0.9996904150335362
48,137125337.17857143,137125338.6230532,-0.09091794523757346,3431.838999206858,1.0057176050720966,180880881.0,180880876.24505123,-0.06579397123531683,3360.436001427361,1.0005269903189713,131565605.92609408,131565606.56330582,-0.09027601222253545,3321.1972370999038,1.0000671374359993
49,137117786.44047618,137117783.19613782,-0.09085783708477924,3430.03928442847,1.0039402584176416,180871091.84615386,180871098.5962102,-0.06573635895808794,3358.6738507893947,0.9990106587175012,131554946.26485054,131554936.37065046,-0.09018758899854995,3319.5443005142965,0.998661085272669
50,137096255.05952382,137096250.52830988,-0.09068653122710035,3429.5829537082996,1.0038185101251842,180869417.41025642,180869417.96820793,-0.06572645629048757,3358.542653857914,0.9989376621924273,131552833.3030647,131552837.87291755,-0.09017019887814048,3319.302453433825,0.9985530688472664
51,137076707.7857143,137076710.31640917,-0.09053107660412363,3428.5309298151883,1.0038281680752348,180850221.25641027,180850231.0798549,-0.06561340249310477,3357.173788404922,0.9981385874015702,131542559.7936688,131542555.24134731,-0.09008498734880233,3317.811788900732,0.9976788292557999
52,137060469.35714287,137060474.4498417,-0.09040191011766097,3427.219766849649,1.0027228343986794,180850031.43589744,180850053.91559172,-0.06561235859831882,3355.926512093328,0.9970875559356285,131528989.28566024,131528990.35895868,-0.0899725760107386,3316.494020685653,0.9965494734396247
53,137056095.14285713,137056096.10945174,-0.09036707767786734,3426.3135828738573,1.0019617045721265,180842433.64102563,180842448.7540777,-0.06556754714306612,3354.789156466812,0.9961796536462085,131523944.64699206,131523944.82639855,-0.08993076399570765,3315.524765690777,0.9957929388803158
54,137037085.6190476,137037084.9610912,-0.09021583208668504,3425.5418149146703,1.0018027068309439,180833449.94871795,180833453.23860213,-0.065514543385228,3353.90285973934,0.9957274381669726,131515845.36435868,131515849.33278595,-0.0898636771428174,3314.710472645909,0.9954577713527766
55,137024570.72619048,137024570.34686533,-0.0901162704930818,3426.6507840135987,1.002786366677265,180849402.05128205,180849413.32725412,-0.0656085840965448,3355.1922941576922,0.9966717884425057,131527839.56337495,131527839.06429964,-0.08996303530338712,3315.9545934104253,0.9963356581028037
56,136979481.95238096,136979478.52747327,-0.08975753683049126,3423.2881094034237,1.0008211947940786,180819588.82051283,180819575.195312,-0.06543277058990427,3351.922114972791,0.9942970729645446,131494607.60978685,131494607.54608461,-0.08968764777540006,3312.583275968129,0.9938959029423822
57,136985308.89285713,136985311.16754836,-0.0898039391350538,3424.209156004093,1.0014580082281992,180832284.05128205,180832278.4858232,-0.065507621457076,3353.0223121165423,0.9950200049954214,131506139.33106318,131506141.17895566,-0.08978322627483903,3313.7757210542427,0.9947214658941256
58,136976687.16666666,136976693.38582274,-0.08973537928443087,3422.793317096071,1.0007534585512388,180817731.7948718,180817723.3617552,-0.06542185913767384,3351.0076032729776,0.9935060292244742,131491305.5734645,131491307.47293508,-0.08966030027412297,3311.88302543805,0.9932582529628019
59,136939172.2142857,136939171.96735215,-0.08943687290223079,3422.350620254627,1.0009111712920802,180812748.46153846,180812740.72639284,-0.06539250024224885,3350.725401648192,0.9935341829106312,131477335.70639426,131477337.28064209,-0.08954453015804886,3311.6880537830543,0.993341856967005
60,136919127.3809524,136919132.2858828,-0.08927744468603604,3421.91479165697,1.000834124564484,180807726.1025641,180807722.7370749,-0.0653629330327472,3350.3361321706625,0.9932996777319297,131470275.48442426,131470270.97012791,-0.0894859720815897,3311.2991922221677,0.9931141277737113
61,136911245.64285713,136911242.892757,-0.08921467962288743,3421.512556763551,0.9991285465935219,180812586.2820513,180812601.5047391,-0.06539167991451555,3350.014729043439,0.9929263503431333,131480364.05851936,131480362.34261976,-0.08956959865882119,3311.2888496041464,0.992966861744447
62,136897495.07142857,136897500.26506823,-0.08910534841312745,3420.5247214187207,0.9983928595004579,180801936.82051283,180801945.34178495,-0.0653288912191663,3348.7724031802677,0.9920303138371386,131466325.0979947,131466333.35336065,-0.08945334129593996,3309.923709796324,0.9920448647104769
63,136875570.2142857,136875567.81904715,-0.08893086206955592,3420.3405964685717,0.9978479372009031,180798436.6153846,180798428.63428733,-0.06530816992608446,3348.467832924237,0.9920730485987799,131467545.19107075,131467543.47209613,-0.08946336947476041,3309.8842118043913,0.9922760057805606
64,136832038.47619048,136832034.36292252,-0.08858452616270251,3419.5510201600223,0.998121295313174,180786245.58974358,180786241.3683707,-0.0652363596009169,3347.5376044557765,0.9914108659440134,131442158.70097111,131442153.15146919,-0.08925296146429829,3308.9824062845814,0.9916533480524689
65,136820377.85714287,136820383.37786797,-0.0884918352800157,3419.1053172900174,0.9973316051382058,180789839.7179487,180789837.4032197,-0.0652575483099831,3347.3606048223996,0.9913080995813102,131450573.42968848,131450577.18616423,-0.08932277091673857,3309.0847367376805,0.9916936001605128
66,136819792.52380952,136819790.13178834,-0.08848711563592437,3418.297283740868,0.9970238430261783,180785037.17948717,180785028.6728224,-0.06522921410476945,3346.3678171368083,0.9905043998123779,131442170.90831126,131442173.6885601,-0.08925313165389559,3308.134908073084,0.9910318665533799
67,136825032.70238096,136825032.77434096,-0.08852882414070207,3418.4183561326895,0.9956028181885163,180794972.33333334,180794985.4574069,-0.06528788189322432,3346.8235404186207,0.9905636904342368,131454526.51355782,131454520.80783732,-0.08935545146467017,3308.6339628951464,0.991013391341689
68,136771299.4642857,136771298.31333247,-0.08810133285148836,3416.6564611473336,0.9955502496595436,180772666.4871795,180772665.94606346,-0.06515636992178431,3344.7213840482323,0.9890914787571785,131434731.55051078,131434734.55571899,-0.08919148402196297,3306.552254360108,0.989561380290575
69,136728062.85714287,136728062.23669878,-0.08775736278472324,3416.0592417446132,0.9960314197562072,180768851.35897437,180768851.93973687,-0.06513389687193238,3344.125333524345,0.9884863467183925,131432836.09105814,131432833.22945923,-0.08917572784930838,3306.1737117756134,0.9892254275201242
70,136720463.76190478,136720460.13750416,-0.08769688332471848,3413.5163774431953,0.9920121469708528,180749721.07692307,180749727.99594885,-0.06502121395918548,3341.707683225446,0.9867577759492937,131407494.74713078,131407499.51863416,-0.08896578896075957,3303.822285337265,0.9875801306369482
71,136689925.66666666,136689930.9929232,-0.08745400486031119,3412.329005969892,0.9922980352698436,180746110.30769232,180746112.96253607,-0.06499991330597554,3340.9243162504,0.9859990082974398,131408597.4284273,131408599.78677338,-0.08897490681450981,3302.9202334309666,0.9868660580716679
72,136721165.94047618,136721167.62094408,-0.08770251179855393,3411.9989948009897,0.9910534842332135,180733179.02564102,180733174.7907505,-0.06492367846139668,3340.2981014746265,0.9855430623243495,131402588.95068735,131402583.93949866,-0.08892505386168903,3302.4128886369094,0.9864669700339784
73,136686954.19047618,136686952.6763716,-0.0874303104869345,3410.3379518073525,0.9895509699742353,180727850.43589744,180727855.84586376,-0.06489233794872717,3338.5917136194093,0.9840592557621517,131393321.41127506,131393318.05924994,-0.08884826808741875,3300.7351719121725,0.985018884271228
74,136615308.64285713,136615306.9429671,-0.08686032380864783,3410.5689054760287,0.9892861694370276,180735579.7179487,180735591.3350211,-0.06493791732604781,3339.353188066245,0.9846968677503457,131397942.18489091,131397938.30559339,-0.08888655578197957,3301.523187621479,0.9857502915111429
75,136612235.32142857,136612237.1323587,-0.08683590154275,3410.656527720609,0.9890044521545168,180734040.5128205,180734040.04701227,-0.06492877676104292,3338.9919188308427,0.9843248018771096,131392230.84348594,131392234.81689988,-0.08883929132532598,3301.266947582975,0.9854233417543473
76,136641061.5,136641063.23745266,-0.08706523126148813,3409.826839322535,0.9883333062229085,180726206.07692307,180726209.5832483,-0.06488263777031666,3337.8119069504587,0.9833739329033111,131388621.77121957,131388619.17226484,-0.0888093287027436,3300.1080148735973,0.9844858055899449
77,136593908.7142857,136593901.28632665,-0.08669002840450779,3409.58119520781,0.9883239121354885,180727600.2051282,180727600.4591509,-0.06489083314830535,3337.944704829805,0.9833931581481059,131381950.7902636,131381941.36078423,-0.08875399009365248,3300.102253984632,0.9844710447693844
78,136607025.45238096,136607026.15780777,-0.08679444497675814,3406.2481478548616,0.986406830330716,180699148.58974358,180699146.36182502,-0.06472317470913569,3334.4128580333854,0.980847657966058,131355258.26510279,131355261.13701837,-0.08853289273597276,3296.6955049169337,0.982138951886495
79,136573051.0952381,136573053.934043,-0.08652417466117135,3406.2066474887097,0.9867031743702289,180695117.3846154,180695110.3519805,-0.06469939356073895,3334.318817629879,0.981026394501982,131342619.1456678,131342624.49380906,-0.08842817365835054,3296.5493279992443,0.982289480884453
80,136526812.97619048,136526809.43499446,-0.08615627071003318,3403.923881509153,0.9854596877733631,180674284.25641027,180674291.07311255,-0.06457672132272463,3332.1341151149154,0.9793033695309217,131337591.50460336,131337592.21476096,-0.08838647147435075,3294.4658694438067,0.9806027124829478
81,136498126.1547619,136498126.9485585,-0.08592808356766257,3402.8805804114077,0.9846636406987618,180665787.30769232,180665789.40893427,-0.06452662745644777,3331.0156360625956,0.9784837727219644,131330310.5395384,131330305.21140806,-0.08832608453004065,3293.2942644697387,0.979741068008482
82,136507416.8452381,136507418.67706993,-0.08600200508703426,3403.0717850190426,0.985138020851822,180669385.56410256,180669379.98438093,-0.06454778399739203,3331.261557570223,0.9786959719393007,131334832.24063565,131334830.2930707,-0.08836358360080099,3293.3548018309007,0.9799231164948128
83,136461918.94047618,136461918.50709206,-0.08564002273979887,3401.376131627559,0.9845516101757623,180648857.66666666,180648871.3577421,-0.06442694219761891,3329.4784707145122,0.9776636498544266,131320785.71900618,131320782.2923393,-0.08824716869102911,3291.458963530905,0.9788020829580159
84,136428971.83333334,136428974.98977286,-0.08537793642822677,3399.444215972215,0.981945105834451,180648479.7179487,180648471.1065767,-0.06442458382072536,3328.048252542303,0.9756114714373464,131320259.91171649,131320257.63270614,-0.08824282086922697,3289.8329601298665,0.976649443838011
85,136366680.54761904,136366683.26769873,-0.08488236676814243,3397.5208667566462,0.9809323295855062,180632182.7179487,180632187.3927093,-0.06432863623118745,3326.1941036156927,0.9742414314255523,131297915.92432842,131297918.21166696,-0.08805769547420805,3287.8825679271904,0.9751872176145635
