global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,3.5236095410656243,0.510133701188455,0.04016175006645144,0.510133701188455,0.5119358479834226,3.4722717686703333,0.5191200657894737,0.07440972078777593,0.5191200657894737,0.5192633218434926,2.794966283253261,0.7417142857142857,0.08082676318488058,0.7417142857142857,0.745546590694923
2,3.1533512996291466,0.556352132852292,0.048000340973977124,0.556352132852292,0.5598764508776909,3.097435336363943,0.5657894736842105,0.11283432170285149,0.5657894736842105,0.5675565470524696,2.300484986441476,0.8259285714285715,0.13372018014340092,0.8259285714285715,0.8296583213141175
3,2.9463709578651724,0.5801013370118846,0.05532000815960921,0.5801013370118846,0.5838448430708598,2.88995287292882,0.5890213815789473,0.14688160617001628,0.5890213815789473,0.5899833579846361,2.0985349131992885,0.8485714285714285,0.16679556771148912,0.8485714285714285,0.8514464885138487
4,2.783073661687621,0.5917206069609507,0.06099754342565126,0.5917206069609507,0.5949812987594513,2.7304895300614205,0.5968338815789473,0.15671670472696783,0.5968338815789473,0.5974850376268067,1.9541706134251187,0.8645714285714285,0.19678445251134036,0.8645714285714285,0.8666425259599553
5,2.6603231438149417,0.6004682194397284,0.06449865646938947,0.6004682194397284,0.603266117738639,2.613096601084659,0.6036184210526315,0.1881810618009752,0.6036184210526315,0.6036754860632672,1.8732944765090942,0.8710714285714286,0.20269346928740725,0.8710714285714286,0.8724642815002486
6,2.559526104676096,0.6068879987266553,0.09408637861055229,0.6068879987266553,0.6084466760554185,2.5197820537968685,0.6097861842105263,0.253144313904939,0.6097861842105263,0.6086263215843791,1.8086199159622192,0.8775,0.30254378581807895,0.8775,0.8782473032346362
7,2.483583508606475,0.6106549766553481,0.11608262015159637,0.6106549766553481,0.6119931366811111,2.4474746804488334,0.6114309210526315,0.3583918403832863,0.6114309210526315,0.6099726012593887,1.7686633852549962,0.8835,0.3841071872768335,0.8835,0.8842814034109966
8,2.3990091860597933,0.6148861948217318,0.12617505153550768,0.6148861948217318,0.6149458430674737,2.369945300252814,0.61328125,0.4694673338508423,0.61328125,0.6108422458069926,1.7039279593058996,0.8852142857142857,0.38467112430787037,0.8852142857142857,0.8856344937798931
9,2.3249061605521497,0.6186067487266553,0.14797442224117074,0.6186067487266553,0.6180457676932987,2.302173840372186,0.6188322368421053,0.5130553662831504,0.6188322368421053,0.6159919664105461,1.6455952758789063,0.8899285714285714,0.3705521835078103,0.8899285714285714,0.8901246363518156
10,2.267428515924865,0.6206958297962648,0.20129507677168093,0.6206958297962648,0.6206961228781027,2.248420150656449,0.618421052631579,0.5130087593033539,0.618421052631579,0.6159359989197715,1.6121924610137939,0.8902857142857142,0.4447653179606653,0.8902857142857142,0.8903754851725002
11,2.2160640839607484,0.6236338073005093,0.23225241877990171,0.6236338073005093,0.6234772809757168,2.2042532971030786,0.6217105263157895,0.5628797832255903,0.6217105263157895,0.6195177404870593,1.5722950611114501,0.8924285714285715,0.5244083894068933,0.8924285714285715,0.8923423461385451
12,2.1645382474760044,0.6261274405772496,0.2736785412249856,0.6261274405772496,0.6257471277473116,2.1568458456742134,0.6233552631578947,0.6211156136014121,0.6233552631578947,0.6209095642846095,1.5268960978644235,0.8957857142857143,0.5592968973458273,0.8957857142857143,0.8956628451611968
13,2.116895156319558,0.6285215938030561,0.21792630000698807,0.6285215938030561,0.6282619820497871,2.113388513263903,0.6245888157894737,0.6228823622771553,0.6245888157894737,0.6226049617193247,1.4907300504956926,0.8982142857142857,0.5606690385949817,0.8982142857142857,0.8978560571857742
14,2.0637950079550365,0.6303520267402377,0.3519515054114806,0.6303520267402377,0.6296943728514466,2.064418303339105,0.6258223684210527,0.6243028874376328,0.6258223684210527,0.6236047083683937,1.4358933260781424,0.9013571428571429,0.7501605856512374,0.9013571428571429,0.9009786839582887
