global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,0.8656910378592355,0.6192857142857143,0.4832978764479104,0.6192857142857143,0.605721594513824,0.875273092796928,0.6186266447368421,0.4688157419077969,0.6186266447368421,0.6038079819202866,1.0093378856941386,0.5992616369629011,0.2423501540735201,0.5992616369629011,0.5713544052719177
2,0.8306668404170445,0.6348325892857143,0.5552064691742877,0.6348325892857143,0.6313094200549554,0.8433133206869426,0.629625822368421,0.5434877351765405,0.629625822368421,0.6248880795878465,1.093695529224132,0.5193841811312961,0.2186107924350707,0.5193841811312961,0.5164453801533537
3,0.803062288420541,0.6483147321428572,0.558473692909267,0.6483147321428572,0.6436460698905934,0.8180088024390372,0.6408305921052632,0.5461437652149556,0.6408305921052632,0.635402417274317,1.0854693455196425,0.5532645456657745,0.22907535328493117,0.5532645456657745,0.5416947567699862
4,0.7726922416687012,0.6658035714285714,0.5840786750011155,0.6658035714285714,0.660822888805117,0.7927535050793698,0.6533717105263158,0.5626204893781888,0.6533717105263158,0.6473632490247819,1.0862427024672328,0.5807939554056264,0.2361490771046376,0.5807939554056264,0.555148379373135
5,0.7446146379198347,0.679765625,0.5996577192440495,0.679765625,0.676571937165578,0.7678696826884621,0.669921875,0.5860170383071072,0.669921875,0.6661700842770932,1.0711490666580188,0.6145538411228626,0.2547611974251995,0.6145538411228626,0.5829507338373671
6,0.7147900775500706,0.6943303571428572,0.6135709094556241,0.6943303571428572,0.6908240398720844,0.7376447069017511,0.6821546052631579,0.5926983469517936,0.6821546052631579,0.6777863990148218,1.0443987961569567,0.6277290603512818,0.23056624356372551,0.6277290603512818,0.5871554647770657
7,0.6816578756059919,0.7067522321428571,0.6241235464567555,0.7067522321428571,0.7033176758175018,0.7079653520333139,0.6902754934210527,0.5910913663105728,0.6902754934210527,0.6856341473076988,1.0402248590777088,0.6317651007288968,0.21987626856868012,0.6317651007288968,0.5870417149546723
8,0.6615864372253418,0.7155580357142857,0.6313981061800006,0.7155580357142857,0.7124044345273616,0.689372574028216,0.700452302631579,0.6071053209684633,0.700452302631579,0.6965280467242785,1.0813616093434677,0.6301988761047477,0.21908750261029392,0.6301988761047477,0.5843909810325872
9,0.6473706323759897,0.7228794642857143,0.6421913791810742,0.7228794642857143,0.7193461603107992,0.6756100340893394,0.7080592105263158,0.6146468580170433,0.7080592105263158,0.7037023322304364,1.1033669093908325,0.630835692710171,0.21882761245197052,0.630835692710171,0.5842855188174679
10,0.6306245582444328,0.7296651785714285,0.6539669824657842,0.7296651785714285,0.726453088296241,0.6592953612929896,0.7130962171052632,0.6275721864154943,0.7130962171052632,0.7089173928369759,1.1005324518024118,0.6256809204581637,0.214790218460474,0.6256809204581637,0.578284990157669
