global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,0.6376025920199062,0.8361482418111753,0.5926249080622448,0.8361482418111753,0.798602512785266,0.6371492178816545,0.8342927631578947,0.5836209112286016,0.8342927631578947,0.7952373712833785,0.6437416553822681,0.7754566449716566,0.5472629324466349,0.7754566449716566,0.7128661767276945
2,0.5492231300341142,0.842914559248555,0.5573639839722856,0.842914559248555,0.7898609936204559,0.5487470093526339,0.8406661184210527,0.5432377411448694,0.8406661184210527,0.7846662277695623,0.5677376412904841,0.7711526348939743,0.5028644564561252,0.7711526348939743,0.6910265570238536
3,0.4514805701541533,0.8770923651252408,0.7139574905107353,0.8770923651252408,0.8552246374092698,0.45227614358851786,0.8741776315789473,0.7048801186519991,0.8741776315789473,0.8512921371604838,0.48711612668579024,0.801595633004409,0.6283412182568009,0.801595633004409,0.7590811732969701
4,0.38048931077725623,0.8920475072254336,0.7692878030476871,0.8920475072254336,0.879344296506998,0.3826612971330944,0.8881578947368421,0.7588095949083062,0.8881578947368421,0.8745040596061487,0.4353521486465455,0.8170270837707327,0.6805062434447885,0.8170270837707327,0.7881093082142977
5,0.33436761426098777,0.8906099470134875,0.7599086663598686,0.8906099470134875,0.8757545591827967,0.33757910759825455,0.8858963815789473,0.7471622580626731,0.8858963815789473,0.8698397261511688,0.4099335600892811,0.8118832668486248,0.6639797791736732,0.8118832668486248,0.7788390066275754
6,0.3023795459656357,0.8897293473025049,0.7540355568155729,0.8897293473025049,0.87350824332141,0.3065027218115957,0.8856907894736842,0.7430543309719984,0.8856907894736842,0.8684516148534474,0.3988367397445304,0.8085240394709217,0.6518828441152786,0.8085240394709217,0.772195048623181
7,0.28421915079931764,0.8972558405587668,0.7827985103519595,0.8972558405587668,0.8859096728006016,0.28898194745967265,0.8920641447368421,0.7688818655621219,0.8920641447368421,0.8794024911466497,0.39557797013274165,0.8189166491706907,0.6875346255963208,0.8189166491706907,0.7919255875038823
8,0.26780640952619283,0.9003115968208093,0.7951265248608412,0.9003115968208093,0.8911267825520176,0.27288641035556793,0.8930921052631579,0.7774786521045252,0.8930921052631579,0.8825398220313375,0.39749833194368056,0.8208062145706487,0.6974257294421564,0.8208062145706487,0.7969738834797432
9,0.25688803428514845,0.9030211343930635,0.804969773028936,0.9030211343930635,0.8954034635849065,0.2624786041284862,0.8949424342105263,0.7866935981835643,0.8949424342105263,0.8862262941667968,0.4015713085678729,0.8232206592483728,0.7065847926860676,0.8232206592483728,0.8018976187080114
10,0.24913255103750725,0.9045640655105973,0.8118696095626019,0.9045640655105973,0.8982288543612275,0.2548689528515464,0.8951480263157895,0.7916708657671858,0.8951480263157895,0.8878430459036653,0.4048690945504469,0.8262649590594163,0.7161623771718901,0.8262649590594163,0.8072433601322776
