global_round,train_loss,train_mae,train_mse,train_r2,train_mape,dev_loss,dev_mae,dev_mse,dev_r2,dev_mape,test_loss,test_mae,test_mse,test_r2,test_mape
1,39237891.88052632,1743.4888050296736,39237890.20548926,-0.08386908902112444,1.001342047472138,15737507.275641026,1719.2173176352585,15737507.59882422,-0.2309675515360332,1.001248930444147,131742480.06381637,3328.55467023528,131742479.7383477,-0.09174174924143497,1.0013082129627557
2,39228607.03,1743.4271341811852,39228607.36854739,-0.0836126690156902,1.0018207642897081,15729856.416666666,1719.271732784091,15729856.31773344,-0.23036907819511265,1.0016954543479477,131716604.88056502,3327.7445599083676,131716597.95092794,-0.09152726847617787,1.0015986892199704
3,39216613.83894737,1743.1537833155323,39216613.51735738,-0.08328136260509855,1.0022434945671814,15719482.314102564,1719.1670030080056,15719482.899960013,-0.2295576828329544,1.0020838625066004,131687531.06318577,3326.1487672754474,131687531.70152624,-0.09128639827221097,1.0013466417090335
4,39199779.51868421,1742.259395441588,39199779.095689125,-0.08281634501158863,1.0022102779701898,15703330.833333334,1718.169517806767,15703330.75059216,-0.22829428253690764,1.0017355544177298,131646017.05334847,3323.1782414697545,131646013.27668183,-0.09094233766354898,1.0001398820927576
5,39177560.72394737,1740.2705237535176,39177561.10287432,-0.08220261691596575,1.0013284495350525,15680295.17948718,1715.401350138326,15680294.993929705,-0.226492455354395,0.9999021824115797,131593821.60095851,3318.701125810717,131593828.42940708,-0.09050988507452251,0.9977999795367094
6,39153799.64315789,1737.9570215235701,39153800.29443309,-0.08154627159095651,1.000070379460034,15653296.166666666,1711.3810200781222,15653295.928459935,-0.22438062326749164,0.9969369454892026,131535966.4232564,3312.8463463815983,131535965.65444234,-0.09003037985129136,0.994081301933973
7,39124325.31684211,1733.8912252767914,39124324.57958564,-0.08073206328279747,0.9973554124453544,15620075.73076923,1705.4131066358443,15620076.070871998,-0.22178220884255095,0.9924345089939055,131464830.73098752,3305.7405014041037,131464835.16890709,-0.08944092593440067,0.9895786411880988
8,39091316.99263158,1729.6212130778938,39091317.90416959,-0.07982031917455257,0.9946092313757762,15581297.397435898,1698.1608793963126,15581297.692038063,-0.218749014053224,0.9868437558460093,131394195.87564637,3297.8709878599993,131394195.49697508,-0.08885553935936374,0.9841835787904983
9,39063397.65473684,1725.9838825399654,39063397.49786126,-0.07904907318777732,0.9921619576369269,15545073.032051282,1691.4997518020682,15545073.091338048,-0.21591557249654447,0.9819175641707273,131341295.38605121,3291.414166794133,131341298.0492515,-0.08841718149466571,0.9798660043143301
10,39034098.80631579,1721.6967503824187,39034099.67837568,-0.07823977888704325,0.9891341204186576,15507020.935897436,1683.5545466395217,15507021.423233405,-0.2129392200834006,0.9758352671104393,131274084.81826207,3283.7230709615055,131274086.5431986,-0.08786020391740212,0.9744037671542229
11,38987894.904473685,1714.0829152910756,38987895.327891625,-0.07696347511521195,0.9836606648039538,15453429.775641026,1672.7134074529959,15453429.504790654,-0.20874732932729878,0.9677674784233432,131184358.07087906,3273.025399225847,131184354.28979224,-0.08711659830521246,0.9670727856610584
