global_round,train_loss,train_mape,train_mse,train_mae,train_r2,dev_loss,dev_mape,dev_mse,dev_mae,dev_r2,test_loss,test_mape,test_mse,test_mae,test_r2
1,64614002.4,1.0065739935274642,64614003.06970089,3144.4111544267225,-0.18025594808365408,42659629.333333336,1.0063207131629717,42659629.47319603,3157.780709017309,-0.30427207141570833,131734538.9595157,1.002966509255873,131734541.01929875,3329.7005276268205,-0.09167596156961899
2,64583790.616842106,1.00964200737403,64583790.54749581,3143.3661396335947,-0.17970407840610614,42629435.692307696,1.0089908402277608,42629435.662371635,3156.762342845977,-0.3033489282784101,131703481.27254383,1.0037358690825915,131703488.30225077,3328.897233752381,-0.09141862963161396
3,64546906.58947369,1.0110418123035008,64546906.12119314,3141.2457444534207,-0.17903033801753399,42594184.461538464,1.0099819808413038,42594184.334085755,3154.7616570165346,-0.3022711570100858,131667224.87930383,1.0035777742824408,131667219.19361158,3327.083763187882,-0.0911180697803966
4,64505210.20631579,1.0121098589115514,64505208.58330269,3138.6381519567303,-0.17826868009854469,42553059.179487176,1.0107236102126143,42553058.78548507,3152.1151342302464,-0.3010137878035568,131623918.39677134,1.0031777248450036,131623920.23549308,3324.7025284008582,-0.09075925400305196
5,64451560.18736842,1.0120474125974148,64451560.779275015,3134.4069982070178,-0.17728873555406266,42501075.025641024,1.0104655841201187,42501074.953686886,3147.910005321817,-0.29942443832216625,131567537.58784209,1.0015651378998607,131567531.3608032,3320.6569626968703,-0.09029196289987884
6,64400516.51368421,1.0125987388296942,64400516.95944032,3130.584047383361,-0.17635635605255096,42450880.15384615,1.0107876542497856,42450880.60533171,3143.95871029723,-0.2978898003632571,131512056.41821162,1.0000535788909322,131512054.05978502,3316.934555931318,-0.08983222595112039
7,64334617.22947369,1.0128828479789207,64334618.59119089,3125.034859475524,-0.17515263956076366,42387177.12820513,1.0110269577628845,42387177.188571505,3138.4397900857252,-0.2959421372363118,131442196.5617354,0.99738750301641,131442183.98281345,3311.2889433423543,-0.08925321696173394
8,64267682.55578947,1.0139412990511651,64267682.600439265,3119.802892063527,-0.17392996959028895,42323235.897435896,1.0119473282942595,42323236.14923465,3133.2937973028224,-0.29398720905586995,131374841.02005297,0.9951972049922703,131374836.93392937,3306.1153982254245,-0.0886951161494447
9,64210821.30736842,1.0153923772123616,64210821.659185745,3115.9569598878084,-0.1728913330573425,42267259.384615384,1.0128729792330207,42267258.36638006,3129.2662805738973,-0.2922757488369554,131313486.5793921,0.9937848485816827,131313485.94557388,3302.1937083632774,-0.08818670431843989
10,64142111.85473684,1.015568187910604,64142110.6437787,3110.4997717837537,-0.17163624003136868,42205576.87179487,1.0124955360011434,42205577.08278998,3124.077806183752,-0.2903899102464875,131239596.45251608,0.9911664682112156,131239594.21292046,3296.617214402886,-0.08757436811813646
11,64068305.01263158,1.0159194719944733,64068304.394814365,3104.5424263239593,-0.1702880761627421,42133298.41025641,1.0125928325506912,42133298.952712744,3118.030045221655,-0.28818008452605737,131167585.24404086,0.9885023585405593,131167580.96085134,3290.630824050434,-0.08697759876979383
12,63996188.00631579,1.0158888510063855,63996187.758309625,3098.6686727590927,-0.16897077518854475,42062903.84615385,1.0119619259337114,42062904.13963858,3111.9328559404894,-0.2860278391878073,131088693.2553916,0.9852069671059546,131088691.97906025,3284.291144141917,-0.0863238506761832
13,63907360.67368421,1.0139283101250183,63907360.95414261,3091.034338023417,-0.1673482420070873,41983307.43589743,1.009960538990937,41983308.20665812,3104.74394121998,-0.28359427955152583,131007163.56488839,0.9819082450769715,131007166.87765005,3277.4635810645814,-0.08564825722297464
14,63835912.53684211,1.0141073784965091,63835913.57062554,3085.4338481915847,-0.16604316577956957,41920497.333333336,1.0096949979839966,41920497.492383026,3099.662727734507,-0.28167390983837226,130934322.65027116,0.978983126942127,130934316.7649538,3271.505618350516,-0.08504455286257873
15,63713645.93473684,1.0108674921029441,63713647.95550109,3073.6979396733495,-0.16380983070294408,41801324.92307692,1.0066244685122332,41801324.2761749,3087.631794309706,-0.27803031753622376,130807238.86341278,0.9730966109319853,130807254.22312267,3259.8241789630165,-0.08399159346818053
16,63639680.52,1.0088626716978157,63639682.24874181,3067.421108487675,-0.16245875413734767,41732202.35897436,1.0040881813206035,41732202.5745751,3081.29833269813,-0.27591699620552634,130730800.21389835,0.9695292787688843,130730803.00947356,3253.2643901340703,-0.08335804700779303
17,63542196.473684214,1.0080241889971797,63542195.03538473,3058.815918084862,-0.16067802770096384,41639431.43589743,1.0027300605490141,41639430.71955869,3072.4389616754684,-0.27308059699143206,130618763.65544204,0.9643399079806959,130618764.92371565,3242.9773101611268,-0.08242959434795294
18,63452618.09263158,1.0061975619386483,63452618.6381965,3051.249911960427,-0.15904180226117393,41558410.307692304,1.0006905162166928,41558411.24172996,3065.089257442112,-0.27060351400975513,130530582.79682179,0.9613566897010353,130530579.03907934,3236.1613993320943,-0.08169880339774105
19,63346757.49894737,1.0000787140917962,63346757.405312635,3039.697619159217,-0.15710811383688816,41452325.384615384,0.9951114348633023,41452324.883708246,3052.9650993381497,-0.2673600382544661,130408908.51305334,0.954049569363354,130408905.20596625,3223.8897931846245,-0.0806904998978859
20,63236845.408421054,0.9979241722546787,63236844.17946607,3030.396667447569,-0.155100410670153,41362220.666666664,0.99274585727896,41362220.532570556,3044.215652420353,-0.2646051950888506,130306425.01803505,0.9488930777225641,130306430.5758044,3214.5389259065337,-0.079841299000742
21,63121168.12842105,0.9967951590165903,63121170.6253484,3020.0668892985236,-0.15298748787018224,41261222.87179487,0.9913787061637168,41261222.97150498,3034.28420816741,-0.26151730380133453,130183193.95257914,0.9436836185100133,130183200.52479607,3203.853339937036,-0.0788200992198198
22,63031803.68,0.9919481767760674,63031803.46198763,3010.9302070884737,-0.15135508434913514,41169495.07692308,0.9870988769078567,41169495.538442135,3025.480219915396,-0.2587128366598259,130090585.86429562,0.9389615715459665,130090588.3419836,3194.4059779223044,-0.07805262781146638
