global_round,train_loss,train_mse,train_mae,train_r2,train_mape,dev_loss,dev_mse,dev_mae,dev_r2,dev_mape,test_loss,test_mse,test_mae,test_r2,test_mape
1,161499996.5128205,161499996.33610266,5744.307634176927,-0.2558738459596761,1.014606634098864,173277837.33333334,173277837.54225218,6076.896387547156,-0.26995033585265626,1.0141821497882462,131733406.4388952,131733398.0686754,3330.509614788802,-0.09166649000877314,1.0035917752558172
2,161395076.23931623,161395076.05887404,5742.197365241345,-0.25505795348245264,1.0166533358159993,173170030.97435898,173170032.71143562,6074.743533624543,-0.26916023607392003,1.0160276722738018,131705712.06381637,131705717.33469772,3329.3959776091547,-0.09143710148509343,1.0035282797511738
3,161292403.92022792,161292403.7179092,5740.230031149677,-0.2542595416518241,1.0194268702610363,173064612.7179487,173064612.9489281,6072.746390395599,-0.26838761642041553,1.0184539846008986,131679470.39651911,131679479.35232386,3328.3215277121712,-0.09121966895436917,1.0035390682734586
4,161181798.76923078,161181798.88384813,5738.228366791633,-0.2533994443051657,1.0231298431913425,172951673.43589744,172951673.47724423,6070.672761408195,-0.26755988494574856,1.0215547154282512,131649074.35691765,131649073.71498436,3327.0591176250923,-0.0909676993257289,1.0035886651951513
5,161058977.45868945,161058977.59651726,5735.596444876691,-0.252444348045195,1.0258121429387053,172826084.5128205,172826085.89952812,6067.932541032441,-0.26663945571624237,1.023628928056773,131613002.00681044,131612993.7748456,3324.997806750488,-0.09066870710212838,1.002860504625719
6,160917386.78062677,160917386.33402252,5732.435759229307,-0.2513432906618034,1.0294680506936134,172678884.92307693,172678882.55518252,6064.609955004358,-0.2655606048993009,1.0267307762878999,131568587.07882456,131568579.75682569,3322.1307697584657,-0.09030065089261874,1.0017686780551747
7,160785725.85754985,160785725.8416635,5729.535145902514,-0.2503194580138093,1.0323048966589108,172543885.12820512,172543884.2975275,6061.611902585176,-0.2645712049559483,1.0291605434735243,131528827.19712448,131528829.55059466,3319.481669056574,-0.08997124340181117,1.0007225114665659
8,160631015.977208,160631015.45768684,5726.117413823884,-0.2491163822903255,1.0356752263296793,172384651.8974359,172384653.52986535,6058.050397333138,-0.26340420535727627,1.0318185317790634,131480014.98221718,131480021.87143292,3316.278379066076,-0.08956677719523687,0.9994107287839741
9,160472340.60398862,160472340.90577072,5722.371999485984,-0.24788247997272972,1.037971094510796,172220603.69230768,172220602.36494628,6054.131844594924,-0.26220187714876997,1.033826046326029,131433470.52919662,131433466.38838725,3312.8741492815516,-0.08918097479802989,0.9977314615462084
10,160298206.86039886,160298207.1870946,5717.530231857266,-0.2465283624003063,1.0380297484936187,172038586.05128205,172038586.28708497,6049.034940273908,-0.2608678843976533,1.0333465107392485,131372955.19510657,131372962.74497204,3307.897542851741,-0.0886795848619304,0.9950092869750049
