global_round,train_loss,train_mse,train_r2,train_mae,train_mape,dev_loss,dev_mse,dev_r2,dev_mae,dev_mape,test_loss,test_mse,test_r2,test_mae,test_mape
1,120569705.26582278,120569705.32177617,-0.4941697141230239,6341.858244698521,0.9961924066257709,101333071.15789473,101333070.7339486,-0.6496112400212419,6344.667783400325,0.9948384935779425,131488884.43385042,131488891.89481196,-0.08964028252820833,3305.5766545063607,0.9867592991374033
2,119341927.12236287,119341926.47731258,-0.47895436661808866,6293.29359894526,0.9895530423878988,99813107.36842105,99813105.34093887,-0.6248675706683684,6274.364629425411,0.9830848197912352,131002046.16950434,131002046.05879724,-0.08560582131511119,3256.6128657217555,0.9554396424563465
3,117317211.5443038,117317212.60092123,-0.4538629380059447,6203.98118089788,0.9756000812149696,97363095.78947368,97363097.51410739,-0.5849836470883518,6156.200846769883,0.9631771418709995,130229592.88863665,130229591.35824415,-0.07920453717603526,3173.225177227797,0.9047243106822375
4,114873035.35864979,114873036.76365341,-0.42357329350287176,6097.0204183875885,0.9598798711928385,94212076.63157895,94212078.47282156,-0.5336878915134184,5996.999875350237,0.9369984575444952,129299674.03203431,129299671.85062213,-0.07149835195831855,3073.5598094097104,0.8535467787683062
5,111983456.47257385,111983458.78984384,-0.3877639674077249,5965.313652053209,0.9403427902857376,90130492.0,90130490.80569756,-0.46724331577863687,5782.391721302643,0.9049011416132998,128232748.80590238,128232745.47712626,-0.06265679935033952,2992.782201238923,0.8354338497543727
6,108621616.84388186,108621617.30155061,-0.34610207794648584,5809.67553052158,0.9201409173051034,85912420.0,85912421.06642413,-0.3985769346781596,5547.026395194526,0.8713540217607778,127167873.4924959,127167875.77631956,-0.05383229026122982,2932.5915774271307,0.8455712381285116
7,105184988.60759494,105184987.77522734,-0.3035133717438028,5634.352137566687,0.8927504990936607,81190196.21052632,81190198.07426292,-0.32170339211861165,5293.640996085872,0.8408602753288528,125943076.04615967,125943073.24333058,-0.043682427722613104,2894.8694076069305,0.8744404081733476
8,101573685.89029536,101573687.2968534,-0.2587600418008975,5447.940987055911,0.865647041615452,76820962.10526316,76820963.16752298,-0.25057617806847343,5050.582592794721,0.8096993687578893,125236100.86896203,125236111.88749114,-0.03782388286446903,2872.963755632307,0.9152479484951306
9,97215502.48101266,97215502.44194719,-0.20475088749989268,5229.685278253966,0.845411315677031,72500010.10526316,72500010.29225767,-0.1802349520598967,4807.852140525674,0.7869426855138562,124441287.77172405,124441296.7244389,-0.031237298961101834,2897.3683018248385,1.0067256707722831
10,93245314.092827,93245316.12763608,-0.15555003613812035,5026.787152571036,0.8165541152159848,68605993.89473684,68605993.19823992,-0.11684385653105589,4611.176287415682,0.7690894209437098,123960147.02232312,123960156.68946336,-0.027250121366923175,2914.1276837487676,1.0717340303053233
