, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, abs_title_sentiment_polarity, abs_title_subjectivity, average_token_length, avg_negative_polarity, avg_positive_polarity, data_channel_is_bus, data_channel_is_entertainment, data_channel_is_lifestyle, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, global_rate_negative_words, global_rate_positive_words, global_sentiment_polarity, global_subjectivity, is_weekend, kw_avg_avg, kw_avg_max, kw_avg_min, kw_max_avg, kw_max_max, kw_max_min, kw_min_avg, kw_min_max, kw_min_min, max_negative_polarity, max_positive_polarity, min_negative_polarity, min_positive_polarity, n_non_stop_unique_tokens, n_non_stop_words, n_tokens_content, n_tokens_title, n_unique_tokens, num_hrefs, num_imgs, num_keywords, num_self_hrefs, num_videos, rate_negative_words, rate_positive_words, self_reference_avg_sharess, self_reference_max_shares, self_reference_min_shares, title_sentiment_polarity, title_subjectivity, weekday_is_friday, weekday_is_monday, weekday_is_saturday, weekday_is_sunday, weekday_is_thursday, weekday_is_tuesday, weekday_is_wednesday, shares
0,5,0,1,0,0,1,4,7,8,3,1.0,0.0,0.0,0.0,0.0,1.0,2,3,5,4,0.0,1,5,1,0,8,0,5,0,0,8,7,6,1,6,9,2,7,4,0,0,7,0,0,2,6,0,1,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
1,0,0,2,0,4,0,5,8,7,4,0.0,0.0,0.0,0.0,1.0,0.0,2,2,6,5,1.0,1,3,0,0,9,0,4,0,0,9,5,6,2,6,9,1,2,5,0,0,7,0,0,4,3,0,0,2,4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1200
2,0,0,0,9,0,5,3,7,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0,3,5,4,1.0,2,2,0,1,9,0,9,0,0,8,7,9,1,4,9,0,5,5,0,2,7,0,0,2,8,0,0,0,8,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1400
3,0,0,0,5,0,0,9,9,7,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6,5,1.0,2,2,0,0,9,0,5,0,0,9,9,1,1,5,9,1,3,4,2,0,8,0,0,1,6,0,2,0,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1400
4,2,0,2,0,0,1,2,7,8,2,1.0,0.0,0.0,0.0,1.0,0.0,2,3,5,5,0.0,1,1,0,0,9,0,5,0,0,9,8,6,1,6,9,1,5,5,0,0,7,0,0,3,7,0,1,0,5,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100
5,0,0,1,0,0,0,9,7,6,4,0.0,0.0,0.0,0.0,0.0,0.0,3,2,5,6,0.0,1,0,2,0,0,0,3,0,9,8,9,0,2,6,9,0,4,4,1,0,6,0,0,3,7,0,0,0,5,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
6,3,0,9,0,0,2,9,8,4,5,0.0,1.0,0.0,0.0,0.0,1.0,1,4,4,4,0.0,2,3,0,0,9,0,0,0,0,5,9,4,1,6,9,3,5,5,0,0,7,0,0,5,6,0,0,0,8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
7,7,9,0,0,0,0,9,7,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,5,0.0,2,6,0,0,9,0,8,0,0,7,9,7,1,8,9,0,6,7,0,0,4,0,0,2,7,0,0,5,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1100
8,0,0,0,9,0,2,2,7,1,3,0.0,1.0,0.0,0.0,0.0,0.0,5,2,3,5,0.0,2,5,0,1,9,0,7,0,0,7,5,4,2,6,9,0,9,6,0,2,9,0,0,5,4,0,3,0,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
9,0,0,6,1,5,0,9,7,8,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5,4,0.0,2,7,0,1,0,0,6,0,0,8,2,8,1,8,9,0,4,6,0,0,3,0,0,6,7,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1000
